,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,54,78,60,4,0,90,4,bowled,1,v Zimbabwe,Lahore,31-May-15
2,25,48,30,3,0,83.33,4,lbw,2,v Sri Lanka,Dambulla,11-Jul-15
3,12,23,19,1,0,63.15,4,bowled,1,v Sri Lanka,Pallekele,15-Jul-15
4,62*,79,62,2,4,100,6,not out,2,v England,Abu Dhabi,11-Nov-15
5,4,8,6,0,0,66.66,2,lbw,2,v England,Abu Dhabi,13-Nov-15
6,22,44,30,2,0,73.33,2,caught,1,v England,Sharjah,17-Nov-15
7,51,65,51,5,1,100,4,caught,2,v England,Dubai (DICS),20-Nov-15
8,62,105,76,6,0,81.57,4,caught,2,v New Zealand,Wellington,25-Jan-16
9,83,129,77,10,1,107.79,4,caught,1,v New Zealand,Auckland,31-Jan-16
10,29,-,29,2,0,100,4,caught,1,v Ireland,Dublin (Malahide),18-Aug-16
11,40,44,42,4,0,95.23,4,lbw,1,v England,Southampton,24-Aug-16
12,30,49,33,5,0,90.9,4,bowled,1,v England,Lord's,27-Aug-16
13,9,31,19,0,0,47.36,4,caught,2,v England,Nottingham,30-Aug-16
14,12,31,21,0,0,57.14,4,caught,1,v England,Leeds,01-Sep-16
15,31,38,29,6,0,106.89,3,bowled,2,v England,Cardiff,04-Sep-16
16,120,177,131,8,3,91.6,3,caught,1,v West Indies,Sharjah,30-Sep-16
17,123,164,126,9,1,97.61,3,caught,1,v West Indies,Sharjah,02-Oct-16
18,117,-,106,8,1,110.37,3,bowled,1,v West Indies,Abu Dhabi,05-Oct-16
19,33,70,46,3,0,71.73,4,caught,2,v Australia,Brisbane,13-Jan-17
20,34,75,49,5,0,69.38,3,caught,2,v Australia,Melbourne,15-Jan-17
21,84,157,100,4,1,84,3,caught,1,v Australia,Perth,19-Jan-17
22,31,47,39,4,0,79.48,3,caught,2,v Australia,Sydney,22-Jan-17
23,100,153,109,7,1,91.74,3,caught,2,v Australia,Adelaide,26-Jan-17
24,13,-,21,0,0,61.9,4,caught,1,v West Indies,Providence,07-Apr-17
25,125*,-,132,7,3,94.69,3,not out,1,v West Indies,Providence,09-Apr-17
