,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,0,3,2,0,0,0,5,caught,2,v Pakistan,Dubai (DICS),21-Feb-12
2,14,12,9,1,1,155.55,7,caught,1,v India,Mohali,23-Jan-13
3,DNB,-,-,-,-,-,-,-,2,v India,Dharamsala,27-Jan-13
4,21,18,13,0,2,161.53,6,caught,1,v New Zealand,Hamilton,17-Feb-13
5,DNB,-,-,-,-,-,-,-,2,v New Zealand,Napier,20-Feb-13
6,3,5,4,0,0,75,6,caught,2,v New Zealand,Auckland,23-Feb-13
7,14,41,25,1,0,56,6,caught,1,v New Zealand,Lord's,31-May-13
8,2,5,3,0,0,66.66,6,caught,2,v New Zealand,Southampton,02-Jun-13
9,47*,28,16,6,3,293.75,7,not out,1,v New Zealand,Nottingham,05-Jun-13
10,1,1,2,0,0,50,7,bowled,1,v Australia,Birmingham,08-Jun-13
11,0,4,2,0,0,0,6,caught,1,v Sri Lanka,The Oval,13-Jun-13
12,14,17,9,2,0,155.55,6,caught,1,v New Zealand,Cardiff,16-Jun-13
13,DNB,-,-,-,-,-,-,-,2,v South Africa,The Oval,19-Jun-13
14,0,7,1,0,0,0,7,bowled,2,v India,Birmingham,23-Jun-13
15,DNB,-,-,-,-,-,-,-,2,v Ireland,Dublin (Malahide),03-Sep-13
16,75,85,65,5,3,115.38,7,caught,2,v Australia,Manchester,08-Sep-13
17,DNB,-,-,-,-,-,-,-,1,v Australia,Birmingham,11-Sep-13
18,65*,72,48,5,2,135.41,7,not out,2,v Australia,Cardiff,14-Sep-13
19,42,53,37,4,0,113.51,7,bowled,2,v Australia,Southampton,16-Sep-13
20,34*,31,24,1,1,141.66,8,not out,1,v Australia,Melbourne,12-Jan-14
21,49,54,36,3,1,136.11,7,caught,1,v Australia,Brisbane,17-Jan-14
22,4,17,8,0,0,50,7,bowled,1,v Australia,Sydney,19-Jan-14
23,71,52,43,6,4,165.11,7,caught,1,v Australia,Perth,24-Jan-14
24,5,17,9,0,0,55.55,7,caught,2,v Australia,Adelaide,26-Jan-14
25,12,15,17,1,0,70.58,6,caught,2,v West Indies,North Sound,28-Feb-14
26,0,1,1,0,0,0,6,caught,2,v West Indies,North Sound,02-Mar-14
27,99,102,84,7,4,117.85,6,caught,1,v West Indies,North Sound,05-Mar-14
28,9,11,5,1,0,180,4,caught,1,v Scotland,Aberdeen,09-May-14
29,26*,38,20,1,1,130,7,not out,1,v Sri Lanka,The Oval,22-May-14
30,4,10,6,1,0,66.66,7,caught,2,v Sri Lanka,Chester-le-Street,25-May-14
