,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,1,-,8,0,0,12.5,4,bowled,1,v India,Toronto,11-Sep-99
2,15,-,22,3,0,68.18,4,lbw,1,v India,Toronto,12-Sep-99
3,7,-,22,1,0,31.81,4,caught,2,v India,Toronto,14-Sep-99
4,6,-,15,1,0,40,7,caught,2,v Pakistan,Toronto,18-Sep-99
5,0,-,1,0,0,0,7,bowled,1,v Pakistan,Toronto,19-Sep-99
6,7,-,18,0,0,38.88,7,caught,1,v Sri Lanka,Sharjah,17-Oct-99
7,22,-,42,3,0,52.38,3,caught,2,v Pakistan,Sharjah,19-Oct-99
8,4,14,12,0,0,33.33,3,caught,1,v Zimbabwe,Kingston,01-Apr-00
9,58*,62,45,5,1,128.88,5,not out,1,v Zimbabwe,Kingston,02-Apr-00
10,15,-,13,1,0,115.38,5,caught,1,v Pakistan,Kingstown,12-Apr-00
11,42,-,49,4,0,85.71,4,caught,1,v Pakistan,St George's,16-Apr-00
12,8,-,16,0,0,50,4,run out,2,v Pakistan,Bridgetown,19-Apr-00
13,33,-,35,4,0,94.28,5,run out,1,v Pakistan,Port of Spain,22-Apr-00
14,0,-,2,0,0,0,5,caught,1,v Pakistan,Port of Spain,23-Apr-00
15,41,102,86,6,0,47.67,2,run out,1,v Zimbabwe,Bristol,06-Jul-00
16,TDNB,-,-,-,-,-,-,-,-,v England,Lord's,09-Jul-00
17,6,17,13,1,0,46.15,1,caught,2,v Zimbabwe,Canterbury,11-Jul-00
18,26,72,59,3,0,44.06,5,caught,1,v England,Chester-le-Street,15-Jul-00
19,3,5,4,0,0,75,5,caught,1,v Zimbabwe,Chester-le-Street,16-Jul-00
20,37,80,71,4,0,52.11,2,caught,1,v England,Nottingham,20-Jul-00
21,27,69,34,4,0,79.41,2,caught,2,v South Africa,Kingston,28-Apr-01
22,50,109,72,7,0,69.44,2,caught,1,v South Africa,St John's,02-May-01
23,1,2,3,0,0,33.33,1,caught,2,v South Africa,St George's,05-May-01
24,9,30,27,0,1,33.33,1,caught,1,v South Africa,St George's,06-May-01
25,6,21,15,0,0,40,2,caught,1,v South Africa,Bridgetown,09-May-01
26,28,66,39,5,0,71.79,2,bowled,2,v South Africa,Kingstown,16-May-01
27,53,113,76,7,0,69.73,2,caught,1,v Zimbabwe,Harare,23-Jun-01
28,0,6,5,0,0,0,2,lbw,1,v India,Bulawayo,30-Jun-01
29,76,130,95,6,0,80,2,caught,2,v Zimbabwe,Bulawayo,01-Jul-01
30,23,64,43,2,0,53.48,2,caught,1,v India,Harare,04-Jul-01
31,43,54,45,8,0,95.55,2,caught,1,v India,Harare,07-Jul-01
32,152,-,150,17,1,101.33,1,bowled,1,v Kenya,Nairobi,15-Aug-01
33,10,-,22,0,1,45.45,2,caught,2,v Kenya,Nairobi (Gym),18-Aug-01
34,70,-,70,9,2,100,2,caught,2,v Kenya,Nairobi (Gym),19-Aug-01
35,0,5,5,0,0,0,1,run out,1,v Zimbabwe,Colombo (SSC),09-Dec-01
36,21,44,32,3,0,65.62,1,caught,1,v Sri Lanka,Colombo (RPS),11-Dec-01
37,8,8,9,2,0,88.88,1,lbw,1,v Sri Lanka,Kandy,15-Dec-01
38,85,101,79,17,1,107.59,2,caught,2,v Zimbabwe,Kandy,16-Dec-01
39,60,111,87,8,0,68.96,2,caught,2,v Sri Lanka,Colombo (RPS),19-Dec-01
40,50,86,53,10,0,94.33,2,bowled,1,v Pakistan,Sharjah,14-Feb-02
41,62,76,46,8,3,134.78,2,caught,2,v Pakistan,Sharjah,15-Feb-02
42,19,29,17,4,0,111.76,2,caught,1,v Pakistan,Sharjah,17-Feb-02
43,16,53,43,2,0,37.2,1,caught,1,v India,Bridgetown,29-May-02
44,84,76,67,9,3,125.37,1,caught,2,v India,Port of Spain,01-Jun-02
45,3,18,10,0,0,30,1,bowled,2,v India,Port of Spain,02-Jun-02
46,TDNB,-,-,-,-,-,-,-,-,v New Zealand,Kingston,05-Jun-02
47,30,49,37,4,0,81.08,1,caught,2,v New Zealand,Gros Islet,08-Jun-02
48,37,71,47,6,0,78.72,1,bowled,2,v New Zealand,Gros Islet,09-Jun-02
49,60,93,60,4,2,100,1,caught,2,v New Zealand,Port of Spain,12-Jun-02
50,67,108,79,7,1,84.81,1,caught,2,v New Zealand,Kingstown,16-Jun-02
51,49,62,55,8,1,89.09,1,caught,1,v South Africa,Colombo (SSC),13-Sep-02
52,33,52,42,4,2,78.57,1,caught,1,v Kenya,Colombo (SSC),17-Sep-02
53,7,23,15,1,0,46.66,2,caught,2,v India,Jamshedpur,06-Nov-02
54,103,173,116,8,3,88.79,1,bowled,2,v India,Nagpur,09-Nov-02
55,72,98,68,12,2,105.88,1,bowled,1,v India,Rajkot,12-Nov-02
56,140,162,127,12,5,110.23,1,caught,1,v India,Ahmedabad,15-Nov-02
57,101,173,107,10,3,94.39,1,caught,2,v India,Vadodara,18-Nov-02
58,27,67,38,4,0,71.05,1,lbw,1,v India,Jodhpur,21-Nov-02
59,5,-,8,0,0,62.5,1,caught,1,v India,Vijayawada,24-Nov-02
60,38,105,70,5,0,54.28,1,run out,1,v Bangladesh,Chattogram,29-Nov-02
61,21,50,43,3,0,48.83,1,caught,1,v Bangladesh,Dhaka,02-Dec-02
62,73,125,90,11,0,81.11,1,caught,1,v Bangladesh,Dhaka,03-Dec-02
63,2,29,21,0,0,9.52,1,bowled,1,v South Africa,Cape Town,09-Feb-03
64,22,35,29,5,0,75.86,1,caught,2,v New Zealand,Gqeberha,13-Feb-03
65,0,22,5,0,0,0,2,caught,1,v Bangladesh,Benoni,18-Feb-03
66,8,17,13,1,0,61.53,1,caught,2,v Canada,Centurion,23-Feb-03
67,55,125,76,8,0,72.36,1,lbw,2,v Sri Lanka,Cape Town,28-Feb-03
68,119,175,151,8,2,78.8,1,caught,1,v Kenya,Kimberley,04-Mar-03
69,37,61,50,6,0,74,1,caught,2,v Australia,Kingston,17-May-03
70,28,72,55,4,0,50.9,1,caught,1,v Australia,Kingston,18-May-03
71,43,-,46,5,1,93.47,1,caught,2,v Australia,Gros Islet,21-May-03
72,84,-,113,7,1,74.33,1,lbw,2,v Australia,Port of Spain,24-May-03
73,5,-,4,1,0,125,1,lbw,1,v Australia,Port of Spain,25-May-03
74,18,-,21,3,0,85.71,1,caught,2,v Australia,St George's,30-May-03
75,60,-,68,8,0,88.23,1,bowled,2,v Australia,St George's,01-Jun-03
