,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,9,32,21,1,0,42.85,3,caught,1,v New Zealand,Hamilton,31-Jan-19
2,7,13,11,1,0,63.63,3,caught,1,v New Zealand,Wellington,03-Feb-19
3,33,-,39,3,1,84.61,2,lbw,1,v Australia,Canberra,02-Dec-20
4,64,83,53,6,2,120.75,2,run out,1,v West Indies,Port of Spain,22-Jul-22
5,43,70,49,5,0,87.75,2,caught,2,v West Indies,Port of Spain,24-Jul-22
6,98*,162,98,7,2,100,2,not out,1,v West Indies,Port of Spain,27-Jul-22
7,82*,130,72,10,1,113.88,2,not out,2,v Zimbabwe,Harare,18-Aug-22
8,33,62,34,6,0,97.05,3,caught,2,v Zimbabwe,Harare,20-Aug-22
9,130,145,97,15,1,134.02,3,caught,1,v Zimbabwe,Harare,22-Aug-22
10,3,13,7,0,0,42.85,2,bowled,2,v South Africa,Lucknow,06-Oct-22
11,28,34,26,5,0,107.69,2,caught,2,v South Africa,Ranchi,09-Oct-22
12,49,82,57,8,0,85.96,2,lbw,2,v South Africa,Delhi,11-Oct-22
13,50,93,65,1,3,76.92,2,caught,1,v New Zealand,Auckland,25-Nov-22
14,45*,-,42,4,1,107.14,2,not out,1,v New Zealand,Hamilton,27-Nov-22
15,13,34,22,2,0,59.09,2,caught,1,v New Zealand,Christchurch,30-Nov-22
16,70,89,60,11,0,116.66,2,lbw,1,v Sri Lanka,Guwahati,10-Jan-23
17,21,25,12,5,0,175,2,caught,2,v Sri Lanka,Eden Gardens,12-Jan-23
18,116,147,97,14,2,119.58,2,bowled,1,v Sri Lanka,Thiruvananthapuram,15-Jan-23
19,208,225,149,19,9,139.59,2,caught,1,v New Zealand,Hyderabad,18-Jan-23
20,40*,88,53,6,0,75.47,2,not out,2,v New Zealand,Raipur,21-Jan-23
21,112,120,78,13,5,143.58,2,caught,1,v New Zealand,Indore,24-Jan-23
22,20,57,31,3,0,64.51,2,caught,2,v Australia,Wankhede,17-Mar-23
23,0,4,2,0,0,0,2,caught,1,v Australia,Visakhapatnam,19-Mar-23
24,37,62,49,4,1,75.51,2,lbw,2,v Australia,Chennai,22-Mar-23
25,7,19,16,1,0,43.75,2,caught,2,v West Indies,Bridgetown,27-Jul-23
26,34,72,49,5,0,69.38,2,caught,1,v West Indies,Bridgetown,29-Jul-23
27,85,168,92,11,0,92.39,2,caught,1,v West Indies,Tarouba,01-Aug-23
28,10,75,32,1,0,31.25,2,bowled,1,v Pakistan,Pallekele,02-Sep-23
29,67*,87,62,8,1,108.06,2,not out,2,v Nepal,Pallekele,04-Sep-23
30,58,83,52,10,0,111.53,2,caught,1,v Pakistan,Colombo (RPS),10-Sep-23
31,19,54,25,2,0,76,2,bowled,1,v Sri Lanka,Colombo (RPS),12-Sep-23
32,121,185,133,8,5,90.97,2,caught,2,v Bangladesh,Colombo (RPS),15-Sep-23
33,27*,26,19,6,0,142.1,2,not out,2,v Sri Lanka,Colombo (RPS),17-Sep-23
34,74,110,63,6,2,117.46,2,bowled,2,v Australia,Mohali,22-Sep-23
35,104,155,97,6,4,107.21,2,caught,1,v Australia,Indore,24-Sep-23
36,16,11,11,4,0,145.45,2,caught,2,v Pakistan,Ahmedabad,14-Oct-23
37,53,80,55,5,2,96.36,2,caught,2,v Bangladesh,Pune,19-Oct-23
38,26,53,31,5,0,83.87,2,caught,2,v New Zealand,Dharamsala,22-Oct-23
39,9,18,13,1,0,69.23,2,bowled,1,v England,Lucknow,29-Oct-23
40,92,136,92,11,2,100,2,caught,1,v Sri Lanka,Wankhede,02-Nov-23
41,23,54,24,4,1,95.83,2,bowled,1,v South Africa,Eden Gardens,05-Nov-23
42,51,49,32,3,4,159.37,2,caught,1,v Netherlands,Bengaluru,12-Nov-23
43,80*,116,66,8,3,121.21,2,not out,1,v New Zealand,Wankhede,15-Nov-23
44,4,21,7,0,0,57.14,2,caught,1,v Australia,Ahmedabad,19-Nov-23
