,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,0,7,9,0,0,0,4,bowled,1,v India,Dambulla,10-Aug-10
2,0,3,2,0,0,0,4,caught,1,v Sri Lanka,Dambulla,13-Aug-10
3,TDNB,-,-,-,-,-,-,-,-,v Sri Lanka,Dambulla,19-Aug-10
4,13,33,27,1,0,48.14,6,bowled,2,v India,Dambulla,25-Aug-10
5,108,193,132,6,2,81.81,5,caught,2,v Bangladesh,Mirpur,14-Oct-10
6,0,7,6,0,0,0,5,caught,2,v Bangladesh,Mirpur,17-Oct-10
7,25,73,51,0,0,49.01,3,caught,2,v India,Guwahati,28-Nov-10
8,29,56,46,4,0,63.04,3,bowled,1,v India,Jaipur,01-Dec-10
9,21,71,50,1,0,42,3,lbw,1,v India,Vadodara,04-Dec-10
10,42,77,63,1,0,66.66,5,bowled,2,v Pakistan,Christchurch,29-Jan-11
11,15,51,36,1,0,41.66,5,caught,1,v Pakistan,Napier,01-Feb-11
12,34*,38,27,4,0,125.92,6,not out,1,v Canada,Wankhede,13-Mar-11
13,5,12,8,0,0,62.5,5,stumped,2,v Sri Lanka,Wankhede,18-Mar-11
14,38*,63,41,1,1,92.68,6,not out,1,v South Africa,Mirpur,25-Mar-11
15,22,23,16,3,0,137.5,6,lbw,1,v Sri Lanka,Colombo (RPS),29-Mar-11
16,DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Harare,20-Oct-11
17,14*,27,18,1,0,77.77,5,not out,2,v Zimbabwe,Harare,22-Oct-11
18,100*,94,69,11,1,144.92,6,not out,1,v Zimbabwe,Bulawayo,25-Oct-11
19,35,67,53,4,0,66.03,4,caught,1,v Zimbabwe,Dunedin,03-Feb-12
20,4,7,8,0,0,50,5,caught,1,v Zimbabwe,Whangarei,06-Feb-12
21,38,49,40,3,0,95,5,lbw,1,v Zimbabwe,Napier,09-Feb-12
22,55,114,69,4,0,79.71,4,caught,1,v South Africa,Wellington,25-Feb-12
23,13,35,18,0,0,72.22,4,caught,1,v South Africa,Napier,29-Feb-12
24,22,69,43,1,0,51.16,4,run out,1,v South Africa,Auckland,03-Mar-12
25,24,67,52,1,0,46.15,4,caught,1,v West Indies,Kingston,05-Jul-12
26,58,103,65,4,1,89.23,4,lbw,2,v West Indies,Kingston,07-Jul-12
27,9,26,17,1,0,52.94,4,bowled,1,v West Indies,Basseterre,11-Jul-12
28,3,13,12,0,0,25,5,lbw,2,v West Indies,Basseterre,14-Jul-12
29,69,122,84,5,1,82.14,5,caught,2,v West Indies,Basseterre,16-Jul-12
30,DNB,-,-,-,-,-,-,-,1,v Sri Lanka,Pallekele,04-Nov-12
31,5,9,6,0,0,83.33,7,caught,1,v Sri Lanka,Pallekele,06-Nov-12
32,21,50,29,2,0,72.41,5,bowled,1,v Sri Lanka,Hambantota,10-Nov-12
33,TDNB,-,-,-,-,-,-,-,-,v Sri Lanka,Hambantota,12-Nov-12
34,5,24,15,1,0,33.33,4,caught,2,v South Africa,Paarl,19-Jan-13
35,145*,207,136,17,1,106.61,3,not out,1,v South Africa,Kimberley,22-Jan-13
36,6,17,17,1,0,35.29,3,caught,1,v South Africa,Potchefstroom,25-Jan-13
37,74,136,99,6,0,74.74,3,run out,2,v England,Hamilton,17-Feb-13
38,33,82,47,3,0,70.21,3,bowled,1,v England,Napier,20-Feb-13
39,7,12,12,1,0,58.33,3,caught,1,v England,Auckland,23-Feb-13
40,0,3,2,0,0,0,3,caught,2,v England,Lord's,31-May-13
41,55,87,63,3,0,87.3,3,bowled,1,v England,Southampton,02-Jun-13
42,19,41,28,1,0,67.85,3,lbw,2,v England,Nottingham,05-Jun-13
43,16,29,22,1,0,72.72,3,lbw,2,v Sri Lanka,Cardiff,09-Jun-13
44,18*,45,37,1,0,48.64,3,not out,2,v Australia,Birmingham,12-Jun-13
45,67,92,54,8,1,124.07,3,caught,2,v England,Cardiff,16-Jun-13
46,absent,-,-,-,-,-,-,-,2,v Bangladesh,Mirpur,29-Oct-13
47,8,44,22,0,0,36.36,3,caught,1,v West Indies,Auckland,26-Dec-13
48,47,61,55,3,0,85.45,3,caught,1,v West Indies,Nelson,04-Jan-14
49,16,27,21,2,0,76.19,3,lbw,2,v West Indies,Hamilton,08-Jan-14
50,71,110,88,7,0,80.68,3,caught,1,v India,Napier,19-Jan-14
51,77,99,87,5,1,88.5,3,stumped,1,v India,Hamilton,22-Jan-14
