,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,4,6,7,1,0,57.14,1,caught,2,v England,Manchester,09-Jul-11
2,60,110,82,3,0,73.17,2,caught,1,v Scotland,Edinburgh,13-Jul-11
3,0,1,1,0,0,0,1,lbw,1,v New Zealand,Hambantota,10-Nov-13
4,4,9,8,0,0,50,1,caught,1,v New Zealand,Hambantota,12-Nov-13
5,16*,35,12,1,0,133.33,9,not out,2,v Pakistan,Dubai (DICS),20-Dec-13
6,0,2,4,0,0,0,3,caught,2,v Pakistan,Sharjah,22-Dec-13
7,5,17,8,0,0,62.5,1,lbw,1,v New Zealand,Christchurch,11-Jan-15
8,21,48,38,3,0,55.26,1,lbw,2,v New Zealand,Hamilton,15-Jan-15
9,TDNB,-,-,-,-,-,-,-,-,v New Zealand,Auckland,17-Jan-15
10,5,19,16,0,0,31.25,1,lbw,1,v New Zealand,Nelson,20-Jan-15
11,12,16,13,1,0,92.3,9,caught,2,v New Zealand,Dunedin,23-Jan-15
12,26,33,34,2,0,76.47,5,caught,2,v New Zealand,Dunedin,25-Jan-15
13,DNB,-,-,-,-,-,-,-,1,v New Zealand,Wellington,29-Jan-15
14,14,32,21,0,0,66.66,5,bowled,2,v New Zealand,Christchurch,14-Feb-15
15,23,47,32,3,0,71.87,4,caught,2,v Afghanistan,Dunedin,22-Feb-15
16,DNB,-,-,-,-,-,-,-,1,v Bangladesh,Melbourne,26-Feb-15
17,DNB,-,-,-,-,-,-,-,2,v England,Wellington,01-Mar-15
18,77,-,88,7,0,87.5,2,caught,1,v Scotland,Edinburgh,21-May-19
19,52*,146,84,4,0,61.9,2,not out,1,v New Zealand,Cardiff,01-Jun-19
20,30,57,45,3,0,66.66,1,caught,1,v Afghanistan,Cardiff,04-Jun-19
21,97,132,108,9,0,89.81,1,caught,2,v Australia,The Oval,15-Jun-19
22,1,9,8,0,0,12.5,1,caught,1,v England,Leeds,21-Jun-19
23,0,3,1,0,0,0,1,caught,1,v South Africa,Chester-le-Street,28-Jun-19
24,32,69,48,4,0,66.66,1,caught,1,v West Indies,Chester-le-Street,01-Jul-19
25,10,16,17,2,0,58.82,1,caught,1,v India,Leeds,06-Jul-19
26,36,-,37,4,0,97.29,2,caught,1,v Bangladesh,Colombo (RPS),26-Jul-19
27,15,-,29,1,0,51.72,2,bowled,2,v Bangladesh,Colombo (RPS),28-Jul-19
28,46,-,60,6,0,76.66,2,caught,1,v Bangladesh,Colombo (RPS),31-Jul-19
29,52,-,57,7,0,91.22,2,caught,2,v West Indies,Colombo (SSC),22-Feb-20
30,1,-,8,0,0,12.5,2,caught,1,v West Indies,Hambantota,26-Feb-20
31,44,-,54,5,0,81.48,2,caught,1,v West Indies,Pallekele,01-Mar-20
32,52,89,61,4,0,85.24,2,caught,1,v West Indies,North Sound,10-Mar-21
33,1,12,3,0,0,33.33,2,bowled,1,v West Indies,North Sound,12-Mar-21
34,31,69,46,1,1,67.39,2,bowled,1,v West Indies,North Sound,14-Mar-21
35,4,13,6,1,0,66.66,2,caught,1,v Afghanistan,Hambantota,02-Jun-23
36,52,99,62,7,0,83.87,2,lbw,1,v Afghanistan,Hambantota,04-Jun-23
37,56*,66,45,7,0,124.44,2,not out,2,v Afghanistan,Hambantota,07-Jun-23
38,52,-,54,7,0,96.29,2,lbw,1,v U.A.E.,Bulawayo,19-Jun-23
39,61*,58,51,8,0,119.6,2,not out,2,v Oman,Bulawayo,23-Jun-23
40,103,172,103,8,0,100,2,bowled,1,v Ireland,Bulawayo,25-Jun-23
41,7,19,9,1,0,77.77,2,bowled,1,v Scotland,Bulawayo,27-Jun-23
42,33,87,51,2,0,64.7,2,caught,1,v Netherlands,Bulawayo,30-Jun-23
43,30,88,56,2,0,53.57,2,caught,2,v Zimbabwe,Bulawayo,02-Jul-23
44,83,137,92,7,0,90.21,2,lbw,2,v West Indies,Harare,07-Jul-23
45,1,11,3,0,0,33.33,2,bowled,2,v Bangladesh,Pallekele,31-Aug-23
46,32,37,35,6,0,91.42,2,caught,1,v Afghanistan,Lahore,05-Sep-23
47,18,27,17,3,0,105.88,2,caught,1,v Bangladesh,Colombo (RPS),09-Sep-23
48,2,37,18,0,0,11.11,2,caught,2,v India,Colombo (RPS),12-Sep-23
49,15,25,21,1,0,71.42,2,lbw,1,v Afghanistan,Pune,30-Oct-23
50,0,10,1,0,0,0,2,lbw,2,v India,Wankhede,02-Nov-23
