,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,12,33,22,1,0,54.54,2,lbw,1,v Sri Lanka,Dambulla,18-Aug-08
2,37,82,67,6,0,55.22,2,caught,2,v Sri Lanka,Dambulla,20-Aug-08
3,25,40,38,4,0,65.78,1,run out,1,v Sri Lanka,Colombo (RPS),24-Aug-08
4,54,87,66,7,0,81.81,1,bowled,1,v Sri Lanka,Colombo (RPS),27-Aug-08
5,31,45,46,3,1,67.39,1,lbw,2,v Sri Lanka,Colombo (RPS),29-Aug-08
6,2*,6,2,0,0,100,7,not out,1,v Sri Lanka,Colombo (RPS),14-Sep-09
7,16,28,24,1,0,66.66,4,caught,2,v Pakistan,Centurion,26-Sep-09
8,TDNB,-,-,-,-,-,-,-,-,v Australia,Centurion,28-Sep-09
9,79*,121,104,9,2,75.96,4,not out,2,v West Indies,Johannesburg,30-Sep-09
10,30,53,41,3,0,73.17,4,caught,2,v Australia,Vadodara,25-Oct-09
11,10,32,16,1,0,62.5,3,caught,2,v Australia,Mohali,02-Nov-09
12,27,20,19,4,0,142.1,7,bowled,1,v Sri Lanka,Rajkot,15-Dec-09
13,54,93,65,7,0,83.07,4,lbw,1,v Sri Lanka,Nagpur,18-Dec-09
14,107,-,114,11,1,93.85,4,caught,2,v Sri Lanka,Eden Gardens,24-Dec-09
15,TDNB,-,-,-,-,-,-,-,-,v Sri Lanka,Delhi,27-Dec-09
16,9,19,12,1,0,75,3,caught,1,v Sri Lanka,Mirpur,05-Jan-10
17,91,136,102,7,0,89.21,3,caught,2,v Bangladesh,Mirpur,07-Jan-10
18,71*,98,68,9,0,104.41,3,not out,2,v Sri Lanka,Mirpur,10-Jan-10
19,102*,128,95,11,0,107.36,3,not out,2,v Bangladesh,Mirpur,11-Jan-10
20,2,6,8,0,0,25,3,caught,1,v Sri Lanka,Mirpur,13-Jan-10
21,31,-,46,1,0,67.39,5,caught,1,v South Africa,Jaipur,21-Feb-10
22,DNB,-,-,-,-,-,-,-,1,v South Africa,Gwalior,24-Feb-10
23,57,-,71,4,1,80.28,3,caught,2,v South Africa,Ahmedabad,27-Feb-10
24,0,3,0,0,0,-,3,run out,1,v Zimbabwe,Bulawayo,28-May-10
25,82,125,92,4,0,89.13,3,caught,2,v Sri Lanka,Bulawayo,30-May-10
26,18,28,29,1,0,62.06,3,caught,1,v Zimbabwe,Harare,03-Jun-10
27,68,123,95,5,0,71.57,3,caught,1,v Sri Lanka,Harare,05-Jun-10
28,11,35,22,0,0,50,3,stumped,2,v Bangladesh,Dambulla,16-Jun-10
29,18,31,27,1,0,66.66,3,bowled,2,v Pakistan,Dambulla,19-Jun-10
30,10,13,14,1,0,71.42,3,caught,1,v Sri Lanka,Dambulla,22-Jun-10
31,28,57,34,4,0,82.35,3,caught,1,v Sri Lanka,Dambulla,24-Jun-10
32,0,5,3,0,0,0,3,caught,2,v Sri Lanka,Dambulla,16-Aug-10
33,8,22,16,1,0,50,3,caught,1,v New Zealand,Dambulla,25-Aug-10
34,37,98,57,5,0,64.91,3,caught,2,v Sri Lanka,Dambulla,28-Aug-10
35,118,193,121,11,1,97.52,3,caught,2,v Australia,Visakhapatnam,20-Oct-10
36,105,162,104,10,0,100.96,3,caught,1,v New Zealand,Guwahati,28-Nov-10
37,64,78,73,8,0,87.67,3,caught,2,v New Zealand,Jaipur,01-Dec-10
38,63*,83,70,6,2,90,3,not out,2,v New Zealand,Vadodara,04-Dec-10
39,0,3,2,0,0,0,3,caught,2,v New Zealand,Bengaluru,07-Dec-10
40,2,10,8,0,0,25,3,caught,2,v New Zealand,Chennai,10-Dec-10
41,54,122,70,2,1,77.14,3,caught,2,v South Africa,Durban,12-Jan-11
42,22,43,34,1,0,64.7,3,run out,1,v South Africa,Johannesburg,15-Jan-11
43,28,51,41,5,0,68.29,3,caught,2,v South Africa,Cape Town,18-Jan-11
44,87*,126,92,7,2,94.56,3,not out,2,v South Africa,Gqeberha,21-Jan-11
45,2,11,6,0,0,33.33,3,caught,2,v South Africa,Centurion,23-Jan-11
46,100*,113,83,8,2,120.48,4,not out,1,v Bangladesh,Mirpur,19-Feb-11
47,8,12,5,1,0,160,7,bowled,1,v England,Bengaluru,27-Feb-11
48,34,82,53,3,0,64.15,4,run out,2,v Ireland,Bengaluru,06-Mar-11
49,12,16,20,2,0,60,5,bowled,2,v Netherlands,Delhi,09-Mar-11
50,1,2,3,0,0,33.33,7,caught,1,v South Africa,Nagpur,12-Mar-11
51,59,128,76,5,0,77.63,3,bowled,1,v West Indies,Chennai,20-Mar-11
52,24,38,33,1,0,72.72,4,caught,2,v Australia,Ahmedabad,24-Mar-11
53,9,20,21,0,0,42.85,4,caught,1,v Pakistan,Mohali,30-Mar-11
54,35,69,49,4,0,71.42,4,caught,2,v Sri Lanka,Wankhede,02-Apr-11
55,2,5,8,0,0,25,3,caught,2,v West Indies,Port of Spain,06-Jun-11
56,81,118,103,6,1,78.64,3,caught,2,v West Indies,Port of Spain,08-Jun-11
57,0,1,1,0,0,0,3,lbw,2,v West Indies,North Sound,11-Jun-11
58,22,68,33,1,0,66.66,3,stumped,2,v West Indies,North Sound,13-Jun-11
59,94,135,104,10,0,90.38,3,run out,1,v West Indies,Kingston,16-Jun-11
60,55,92,73,4,0,75.34,4,bowled,1,v England,Chester-le-Street,03-Sep-11
61,9,9,9,0,0,100,4,caught,1,v England,Southampton,06-Sep-11
62,7,18,18,0,0,38.88,4,caught,1,v England,The Oval,09-Sep-11
63,16,40,36,1,0,44.44,4,caught,1,v England,Lord's,11-Sep-11
64,107,102,93,9,1,115.05,4,hit wicket,1,v England,Cardiff,16-Sep-11
65,37,70,63,0,0,58.73,4,caught,1,v England,Hyderabad,14-Oct-11
66,112*,134,98,16,0,114.28,4,not out,2,v England,Delhi,17-Oct-11
67,35,42,30,5,0,116.66,4,lbw,2,v England,Mohali,20-Oct-11
68,86*,-,99,11,0,86.86,4,not out,2,v England,Wankhede,23-Oct-11
69,0,5,5,0,0,0,3,bowled,1,v England,Eden Gardens,25-Oct-11
70,3,13,6,0,0,50,4,bowled,2,v West Indies,Cuttack,29-Nov-11
