,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,DNB,-,-,-,-,-,-,-,2,v India,Wankhede,14-Jan-20
2,46,-,47,4,0,97.87,4,caught,2,v India,Rajkot,17-Jan-20
3,54,-,64,5,0,84.37,4,caught,1,v India,Bengaluru,19-Jan-20
4,41,74,51,2,0,80.39,4,caught,2,v South Africa,Paarl,29-Feb-20
5,0,2,1,0,0,0,4,caught,1,v South Africa,Bloemfontein,04-Mar-20
6,108,163,108,8,0,100,4,bowled,1,v South Africa,Potchefstroom,07-Mar-20
7,56,-,52,2,0,107.69,5,caught,1,v New Zealand,Sydney,13-Mar-20
8,21,46,30,1,0,70,4,lbw,1,v England,Manchester,11-Sep-20
9,48,99,59,3,0,81.35,4,lbw,2,v England,Manchester,13-Sep-20
10,20,57,31,1,0,64.51,4,run out,2,v England,Manchester,16-Sep-20
11,2,-,2,0,0,100,6,caught,1,v India,Sydney,27-Nov-20
12,70,-,61,5,0,114.75,4,caught,1,v India,Sydney,29-Nov-20
13,7,-,13,1,0,53.84,1,bowled,2,v India,Canberra,02-Dec-20
14,25,52,35,1,0,71.42,4,caught,1,v Pakistan,Lahore,29-Mar-22
15,59,69,49,5,0,120.4,4,caught,1,v Pakistan,Lahore,31-Mar-22
16,4,19,10,1,0,40,4,caught,1,v Pakistan,Lahore,02-Apr-22
17,24,36,31,1,0,77.41,4,caught,2,v Sri Lanka,Pallekele,14-Jun-22
18,18,40,30,0,0,60,5,caught,2,v Sri Lanka,Pallekele,16-Jun-22
19,29,57,36,1,0,80.55,4,stumped,1,v Sri Lanka,Colombo (RPS),19-Jun-22
20,14,37,21,0,0,66.66,4,lbw,2,v Sri Lanka,Colombo (RPS),21-Jun-22
21,31,102,58,2,0,53.44,5,lbw,2,v Sri Lanka,Colombo (RPS),24-Jun-22
22,0,13,7,0,0,0,4,lbw,2,v New Zealand,Cairns,06-Sep-22
23,5,17,12,0,0,41.66,4,lbw,1,v New Zealand,Cairns,08-Sep-22
24,52,122,78,2,0,66.66,4,caught,1,v New Zealand,Cairns,11-Sep-22
25,4,10,6,0,0,66.66,4,caught,2,v England,Adelaide,17-Nov-22
26,58,73,55,4,1,105.45,4,caught,1,v England,Sydney,19-Nov-22
27,8*,3,4,1,0,200,7,not out,1,v England,Melbourne,22-Nov-22
28,15,44,22,1,0,68.18,4,caught,1,v India,Wankhede,17-Mar-23
29,DNB,-,-,-,-,-,-,-,2,v India,Visakhapatnam,19-Mar-23
30,28,58,45,1,1,62.22,5,caught,1,v India,Chennai,22-Mar-23
31,80*,123,93,8,0,86.02,8,not out,2,v South Africa,Bloemfontein,07-Sep-23
32,124,135,99,19,1,125.25,4,caught,1,v South Africa,Bloemfontein,09-Sep-23
33,15,21,16,1,1,93.75,4,stumped,2,v South Africa,Potchefstroom,12-Sep-23
34,20,36,22,3,0,90.9,4,caught,2,v South Africa,Centurion,15-Sep-23
35,44,76,63,3,0,69.84,4,caught,2,v South Africa,Johannesburg,17-Sep-23
36,39,61,49,3,0,79.59,4,stumped,1,v India,Mohali,22-Sep-23
37,27,49,31,4,0,87.09,4,bowled,2,v India,Indore,24-Sep-23
38,72,99,58,9,0,124.13,4,caught,1,v India,Rajkot,27-Sep-23
39,27,58,41,1,0,65.85,4,caught,1,v India,Chennai,08-Oct-23
40,46,125,74,3,0,62.16,4,caught,2,v South Africa,Lucknow,12-Oct-23
41,40,100,60,2,0,66.66,4,caught,2,v Sri Lanka,Lucknow,16-Oct-23
42,8,23,12,1,0,66.66,7,caught,1,v Pakistan,Bengaluru,20-Oct-23
43,62,60,47,7,2,131.91,4,caught,1,v Netherlands,Delhi,25-Oct-23
44,18,36,26,2,0,69.23,5,caught,1,v New Zealand,Dharamsala,28-Oct-23
45,71,111,83,7,0,85.54,4,lbw,1,v England,Ahmedabad,04-Nov-23
46,14,53,28,2,0,50,4,run out,2,v Afghanistan,Wankhede,07-Nov-23
47,DNB,-,-,-,-,-,-,-,2,v Bangladesh,Pune,11-Nov-23
48,18,28,31,2,0,58.06,5,lbw,2,v South Africa,Eden Gardens,16-Nov-23
49,58*,133,110,4,0,52.72,5,not out,2,v India,Ahmedabad,19-Nov-23
50,DNB,-,-,-,-,-,-,-,2,v West Indies,Melbourne,02-Feb-24
51,26,40,33,3,1,78.78,5,caught,1,v West Indies,Sydney,04-Feb-24
52,DNB,-,-,-,-,-,-,-,2,v West Indies,Canberra,06-Feb-24
