,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,DNB,-,-,-,-,-,-,-,2,v Bangladesh,Dunedin,20-Mar-21
2,12*,16,6,2,0,200,7,not out,2,v Bangladesh,Christchurch,23-Mar-21
3,100*,122,92,9,2,108.69,6,not out,1,v Bangladesh,Wellington,26-Mar-21
4,74*,100,62,8,1,119.35,5,not out,2,v Scotland,Edinburgh,31-Jul-22
5,20,-,32,3,0,62.5,6,lbw,1,v West Indies,Bridgetown,17-Aug-22
6,41,83,63,2,2,65.07,5,caught,1,v West Indies,Bridgetown,19-Aug-22
7,63,93,49,6,1,128.57,5,caught,2,v West Indies,Bridgetown,21-Aug-22
8,26,46,33,2,0,78.78,5,caught,1,v Australia,Cairns,06-Sep-22
9,10,57,31,1,0,32.25,5,lbw,2,v Australia,Cairns,08-Sep-22
10,16,29,23,2,0,69.56,5,caught,2,v Australia,Cairns,11-Sep-22
11,11,20,16,0,1,68.75,4,caught,2,v India,Auckland,25-Nov-22
12,TDNB,-,-,-,-,-,-,-,-,v India,Hamilton,27-Nov-22
13,DNB,-,-,-,-,-,-,-,2,v India,Christchurch,30-Nov-22
14,36,76,55,1,0,65.45,4,bowled,1,v Pakistan,Karachi,09-Jan-23
15,5,16,7,1,0,71.42,4,caught,1,v Pakistan,Karachi,11-Jan-23
16,31,47,36,1,1,86.11,4,caught,2,v Pakistan,Karachi,13-Jan-23
17,9,24,12,0,0,75,4,lbw,2,v India,Hyderabad,18-Jan-23
18,1,5,3,0,0,33.33,4,caught,1,v India,Raipur,21-Jan-23
19,24,47,31,2,0,77.41,4,caught,2,v India,Indore,24-Jan-23
20,47,81,58,3,2,81.03,4,caught,1,v Sri Lanka,Auckland,25-Mar-23
21,6,19,8,1,0,75,4,caught,2,v Sri Lanka,Hamilton,31-Mar-23
22,113,162,115,11,1,98.26,3,caught,1,v Pakistan,Rawalpindi,27-Apr-23
23,129,178,119,8,3,108.4,3,caught,1,v Pakistan,Rawalpindi,29-Apr-23
24,21,29,24,2,0,87.5,3,caught,2,v Pakistan,Karachi,03-May-23
25,34,76,48,1,0,70.83,3,caught,2,v Pakistan,Karachi,05-May-23
26,118*,94,91,7,7,129.67,4,not out,2,v England,Cardiff,08-Sep-23
27,57,73,52,6,1,109.61,4,caught,2,v England,Southampton,10-Sep-23
28,17,51,31,1,0,54.83,4,caught,2,v England,The Oval,13-Sep-23
29,4,13,14,0,0,28.57,4,bowled,2,v England,Lord's,15-Sep-23
30,DNB,-,-,-,-,-,-,-,2,v England,Ahmedabad,05-Oct-23
31,48,67,47,5,2,102.12,4,bowled,1,v Netherlands,Hyderabad,09-Oct-23
32,89*,103,67,6,4,132.83,4,not out,2,v Bangladesh,Chennai,13-Oct-23
33,1,6,7,0,0,14.28,4,caught,1,v Afghanistan,Chennai,18-Oct-23
34,130,192,127,9,5,102.36,4,caught,1,v India,Dharamsala,22-Oct-23
35,54,59,51,6,1,105.88,4,caught,2,v Australia,Dharamsala,28-Oct-23
36,24,40,30,4,0,80,4,caught,2,v South Africa,Pune,01-Nov-23
37,29,32,18,4,1,161.11,4,bowled,1,v Pakistan,Bengaluru,04-Nov-23
38,43,45,31,5,2,138.7,4,caught,2,v Sri Lanka,Bengaluru,09-Nov-23
39,134,180,119,9,7,112.6,4,caught,2,v India,Wankhede,15-Nov-23
