,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,DNB,-,-,-,-,-,-,-,2,v West Indies,Guwahati,21-Oct-18
2,17,18,13,2,0,130.76,6,lbw,1,v West Indies,Visakhapatnam,24-Oct-18
3,24,-,18,3,1,133.33,5,caught,2,v West Indies,Pune,27-Oct-18
4,36,-,24,4,1,150,5,caught,1,v Australia,Mohali,10-Mar-19
5,16,-,16,1,1,100,4,caught,2,v Australia,Delhi,13-Mar-19
6,32,58,29,4,0,110.34,4,caught,2,v England,Birmingham,30-Jun-19
7,48,56,41,6,1,117.07,4,caught,1,v Bangladesh,Birmingham,02-Jul-19
8,4,6,4,1,0,100,4,lbw,2,v Sri Lanka,Leeds,06-Jul-19
9,32,89,56,4,0,57.14,4,caught,2,v New Zealand,Manchester,09-Jul-19
10,TDNB,-,-,-,-,-,-,-,-,v West Indies,Providence,08-Aug-19
11,20,27,35,2,0,57.14,4,bowled,1,v West Indies,Port of Spain,11-Aug-19
12,0,3,1,0,0,0,4,caught,2,v West Indies,Port of Spain,14-Aug-19
13,71,-,69,7,1,102.89,5,caught,1,v West Indies,Chennai,15-Dec-19
14,39,-,16,3,4,243.75,5,caught,1,v West Indies,Visakhapatnam,18-Dec-19
15,7,-,6,1,0,116.66,5,bowled,2,v West Indies,Cuttack,22-Dec-19
16,28,-,33,2,1,84.84,6,caught,1,v Australia,Wankhede,14-Jan-20
17,77,79,40,3,7,192.5,5,caught,1,v England,Pune,26-Mar-21
18,78,79,62,5,4,125.8,4,caught,1,v England,Pune,28-Mar-21
19,16,44,22,1,0,72.72,4,stumped,2,v South Africa,Paarl,19-Jan-22
20,85,94,71,10,2,119.71,4,caught,1,v South Africa,Paarl,21-Jan-22
21,0,5,1,0,0,0,4,caught,2,v South Africa,Cape Town,23-Jan-22
22,11,23,9,2,0,122.22,4,run out,2,v West Indies,Ahmedabad,06-Feb-22
23,18,52,34,3,0,52.94,2,caught,1,v West Indies,Ahmedabad,09-Feb-22
24,56,91,54,6,1,103.7,5,caught,1,v West Indies,Ahmedabad,11-Feb-22
25,DNB,-,-,-,-,-,-,-,2,v England,The Oval,12-Jul-22
26,0,9,5,0,0,0,4,caught,2,v England,Lord's,14-Jul-22
27,125*,159,113,16,2,110.61,4,not out,2,v England,Manchester,17-Jul-22
28,15,35,23,2,0,65.21,4,bowled,1,v New Zealand,Auckland,25-Nov-22
29,DNB,-,-,-,-,-,-,-,1,v New Zealand,Hamilton,27-Nov-22
30,10,36,16,2,0,62.5,4,caught,1,v New Zealand,Christchurch,30-Nov-22
