,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,100*,176,115,7,1,86.95,1,not out,2,v Zimbabwe,Harare,11-Jun-16
2,33,66,50,4,0,66,1,bowled,2,v Zimbabwe,Harare,13-Jun-16
3,63*,99,70,4,2,90,1,not out,2,v Zimbabwe,Harare,15-Jun-16
4,8,28,18,1,0,44.44,1,bowled,2,v England,Pune,15-Jan-17
5,5,11,5,1,0,100,1,caught,1,v England,Cuttack,19-Jan-17
6,11,28,11,1,1,100,2,caught,2,v England,Eden Gardens,22-Jan-17
7,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Dambulla,20-Aug-17
8,4,-,6,0,0,66.66,3,bowled,2,v Sri Lanka,Pallekele,24-Aug-17
9,17,-,24,2,0,70.83,4,caught,2,v Sri Lanka,Pallekele,27-Aug-17
10,7,-,8,0,0,87.5,5,caught,1,v Sri Lanka,Colombo (RPS),31-Aug-17
11,9*,-,18,0,0,50,4,not out,2,v England,Nottingham,12-Jul-18
12,0,-,2,0,0,0,4,caught,2,v England,Lord's,14-Jul-18
13,60,-,66,5,1,90.9,1,lbw,2,v Afghanistan,Dubai (DICS),25-Sep-18
14,26,-,31,1,0,83.87,3,caught,1,v Australia,Mohali,10-Mar-19
15,26,71,42,2,0,61.9,4,caught,2,v South Africa,Southampton,05-Jun-19
16,11*,6,3,1,1,366.66,6,not out,1,v Australia,The Oval,09-Jun-19
17,57,94,78,3,2,73.07,1,caught,1,v Pakistan,Manchester,16-Jun-19
18,30,56,53,2,0,56.6,1,caught,1,v Afghanistan,Southampton,22-Jun-19
19,48,91,64,6,0,75,1,bowled,1,v West Indies,Manchester,27-Jun-19
20,0,10,9,0,0,0,1,caught,2,v England,Birmingham,30-Jun-19
21,77,135,92,6,1,83.69,1,caught,1,v Bangladesh,Birmingham,02-Jul-19
22,111,180,118,11,1,94.06,1,caught,2,v Sri Lanka,Leeds,06-Jul-19
23,1,18,7,0,0,14.28,1,caught,2,v New Zealand,Manchester,09-Jul-19
24,6,-,15,1,0,40,2,caught,1,v West Indies,Chennai,15-Dec-19
25,102,-,104,8,3,98.07,2,caught,1,v West Indies,Visakhapatnam,18-Dec-19
26,77,-,89,8,1,86.51,2,caught,2,v West Indies,Cuttack,22-Dec-19
27,47,-,61,4,0,77.04,3,caught,1,v Australia,Wankhede,14-Jan-20
28,80,-,52,6,3,153.84,5,run out,1,v Australia,Rajkot,17-Jan-20
29,19,-,27,2,0,70.37,2,lbw,2,v Australia,Bengaluru,19-Jan-20
30,88*,102,64,3,6,137.5,5,not out,1,v New Zealand,Hamilton,05-Feb-20
31,4,17,8,0,0,50,5,bowled,2,v New Zealand,Auckland,08-Feb-20
32,112,150,113,9,2,99.11,5,caught,1,v New Zealand,Mount Maunganui,11-Feb-20
33,12,-,15,1,0,80,5,caught,2,v Australia,Sydney,27-Nov-20
34,76,-,66,4,5,115.15,5,caught,2,v Australia,Sydney,29-Nov-20
