,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,DNB,-,-,-,-,-,-,-,1,v India,Rajkot,11-Jan-13
2,36,78,50,3,0,72,4,bowled,2,v India,Kochi,15-Jan-13
3,39,92,57,4,0,68.42,4,caught,1,v India,Ranchi,19-Jan-13
4,57*,61,45,8,1,126.66,6,not out,1,v India,Mohali,23-Jan-13
5,31,64,49,4,0,63.26,4,bowled,2,v India,Dharamsala,27-Jan-13
6,56,92,64,4,0,87.5,4,bowled,1,v New Zealand,Hamilton,17-Feb-13
7,79*,71,56,7,2,141.07,4,not out,2,v New Zealand,Napier,20-Feb-13
8,28*,80,56,2,0,50,4,not out,2,v New Zealand,Auckland,23-Feb-13
9,30,58,40,1,0,75,4,bowled,1,v New Zealand,Lord's,31-May-13
10,28,45,27,1,0,103.7,4,caught,2,v New Zealand,Southampton,02-Jun-13
11,33,52,50,1,0,66,4,run out,1,v New Zealand,Nottingham,05-Jun-13
12,12,23,17,1,0,70.58,4,caught,1,v Australia,Birmingham,08-Jun-13
13,68,74,55,5,0,123.63,4,caught,1,v Sri Lanka,The Oval,13-Jun-13
14,38,47,40,2,1,95,4,caught,1,v New Zealand,Cardiff,16-Jun-13
15,48,90,71,7,0,67.6,4,bowled,2,v South Africa,The Oval,19-Jun-13
16,7,8,9,0,0,77.77,4,caught,2,v India,Birmingham,23-Jun-13
17,3,26,15,0,0,20,4,bowled,2,v Australia,Manchester,08-Sep-13
18,12,36,24,1,0,50,4,caught,1,v Australia,Birmingham,11-Sep-13
19,0,1,1,0,0,0,4,caught,2,v Australia,Cardiff,14-Sep-13
20,21,62,36,0,0,58.33,3,bowled,2,v Australia,Southampton,16-Sep-13
21,3,25,23,0,0,13.04,3,lbw,1,v Australia,Melbourne,12-Jan-14
22,2,8,8,0,0,25,3,lbw,1,v Australia,Brisbane,17-Jan-14
23,55,114,86,3,1,63.95,4,caught,2,v Australia,Adelaide,26-Jan-14
24,37,86,48,2,0,77.08,4,caught,2,v West Indies,North Sound,28-Feb-14
25,23,51,43,2,0,53.48,4,caught,2,v West Indies,North Sound,02-Mar-14
26,107,163,122,7,0,87.7,4,caught,1,v West Indies,North Sound,05-Mar-14
27,17,7,6,4,0,283.33,6,caught,1,v Scotland,Aberdeen,09-May-14
28,45,55,41,2,1,109.75,5,lbw,1,v Sri Lanka,The Oval,22-May-14
29,0,2,3,0,0,0,4,bowled,2,v Sri Lanka,Chester-le-Street,25-May-14
30,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Manchester,28-May-14
31,43,90,68,1,0,63.23,4,caught,2,v Sri Lanka,Lord's,31-May-14
32,10,16,11,1,0,90.9,4,caught,1,v Sri Lanka,Birmingham,03-Jun-14
33,4,11,4,1,0,100,4,bowled,2,v India,Cardiff,27-Aug-14
34,2,7,7,0,0,28.57,4,stumped,1,v India,Nottingham,30-Aug-14
35,44,97,81,2,0,54.32,4,caught,1,v India,Birmingham,02-Sep-14
36,113,133,108,10,3,104.62,4,caught,1,v India,Leeds,05-Sep-14
37,2,7,8,0,0,25,4,caught,2,v Sri Lanka,Colombo (RPS),26-Nov-14
38,42,71,57,1,0,73.68,4,lbw,1,v Sri Lanka,Colombo (RPS),29-Nov-14
39,48*,90,48,2,2,100,4,not out,2,v Sri Lanka,Hambantota,03-Dec-14
40,36,77,49,1,1,73.46,4,bowled,1,v Sri Lanka,Colombo (RPS),07-Dec-14
41,104*,159,117,7,1,88.88,4,not out,2,v Sri Lanka,Pallekele,10-Dec-14
42,55,114,76,4,0,72.36,4,bowled,2,v Sri Lanka,Pallekele,13-Dec-14
43,80,142,99,5,0,80.8,4,lbw,2,v Sri Lanka,Colombo (RPS),16-Dec-14
44,5,15,15,1,0,33.33,4,caught,1,v Australia,Sydney,16-Jan-15
45,DNB,-,-,-,-,-,-,-,2,v India,Brisbane,20-Jan-15
46,69,101,70,6,0,98.57,4,caught,1,v Australia,Hobart,23-Jan-15
47,3,6,2,0,0,150,4,caught,2,v India,Perth,30-Jan-15
48,25,46,37,2,0,67.56,4,lbw,2,v Australia,Perth,01-Feb-15
49,5,20,12,0,0,41.66,4,caught,2,v Australia,Melbourne,14-Feb-15
50,46,123,70,3,0,65.71,4,caught,1,v New Zealand,Wellington,20-Feb-15
51,1,8,3,0,0,33.33,4,caught,1,v Scotland,Christchurch,23-Feb-15
52,121,151,108,14,2,112.03,4,lbw,1,v Sri Lanka,Wellington,01-Mar-15
53,29,79,47,2,0,61.7,4,caught,2,v Bangladesh,Adelaide,09-Mar-15
54,DNB,-,-,-,-,-,-,-,2,v Afghanistan,Sydney,13-Mar-15
55,104,108,78,13,2,133.33,3,caught,1,v New Zealand,Birmingham,09-Jun-15
56,6,11,10,0,0,60,3,caught,2,v New Zealand,The Oval,12-Jun-15
57,54,90,63,6,0,85.71,3,bowled,1,v New Zealand,Southampton,14-Jun-15
58,106*,139,97,13,0,109.27,3,not out,2,v New Zealand,Nottingham,17-Jun-15
59,4,8,5,1,0,80,3,stumped,2,v New Zealand,Chester-le-Street,20-Jun-15
60,0,8,7,0,0,0,3,lbw,1,v Pakistan,Abu Dhabi,11-Nov-15
