,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,DNB,-,-,-,-,-,-,-,1,v West Indies,Melbourne,19-Feb-10
2,41,63,53,3,0,77.35,7,caught,1,v England,Cardiff,24-Jun-10
3,20,30,21,1,0,95.23,7,lbw,1,v England,Manchester,27-Jun-10
4,18*,7,8,4,0,225,7,not out,1,v England,The Oval,30-Jun-10
5,15,16,13,1,0,115.38,7,caught,1,v England,Lord's,03-Jul-10
6,DNB,-,-,-,-,-,-,-,1,v India,Visakhapatnam,20-Oct-10
7,12,19,15,1,0,80,7,caught,1,v Sri Lanka,Melbourne,03-Nov-10
8,33,65,37,1,0,89.18,7,stumped,2,v Sri Lanka,Sydney,05-Nov-10
9,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Brisbane,07-Nov-10
10,5,6,4,1,0,125,4,caught,2,v England,Melbourne,16-Jan-11
11,0,4,2,0,0,0,7,bowled,1,v England,Hobart,21-Jan-11
12,26,52,37,2,1,70.27,7,caught,2,v England,Sydney,23-Jan-11
13,46*,67,47,4,0,97.87,7,not out,2,v England,Adelaide,26-Jan-11
14,24*,55,25,1,1,96,7,not out,1,v England,Brisbane,30-Jan-11
15,0,3,2,0,0,0,8,run out,2,v England,Sydney,02-Feb-11
16,11,4,4,1,1,275,7,caught,1,v Zimbabwe,Ahmedabad,21-Feb-11
17,DNB,-,-,-,-,-,-,-,2,v New Zealand,Nagpur,25-Feb-11
18,TDNB,-,-,-,-,-,-,-,-,v Sri Lanka,Colombo (RPS),05-Mar-11
19,17*,32,15,2,0,113.33,7,not out,1,v Kenya,Bengaluru,13-Mar-11
20,DNB,-,-,-,-,-,-,-,2,v Canada,Bengaluru,16-Mar-11
21,25,46,32,1,0,78.12,7,bowled,1,v Pakistan,Colombo (RPS),19-Mar-11
22,1,3,3,0,0,33.33,7,bowled,1,v Bangladesh,Mirpur,09-Apr-11
23,DNB,-,-,-,-,-,-,-,2,v Bangladesh,Mirpur,11-Apr-11
24,5,12,9,1,0,55.55,4,caught,1,v Bangladesh,Mirpur,13-Apr-11
25,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Pallekele,10-Aug-11
26,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Hambantota,14-Aug-11
27,18,34,28,0,0,64.28,7,run out,2,v Sri Lanka,Hambantota,16-Aug-11
28,DNB,-,-,-,-,-,-,-,1,v South Africa,Centurion,19-Oct-11
29,26,60,39,0,0,66.66,5,caught,2,v South Africa,Gqeberha,23-Oct-11
30,TDNB,-,-,-,-,-,-,-,-,v Ireland,Belfast,23-Jun-12
31,8,16,13,0,0,61.53,6,caught,2,v England,Lord's,29-Jun-12
32,21,21,20,2,0,105,5,caught,1,v England,Manchester,10-Jul-12
33,8,13,11,1,0,72.72,5,caught,1,v Sri Lanka,Adelaide,13-Jan-13
34,19,25,16,2,1,118.75,5,caught,2,v England,Perth,24-Jan-14
35,1,7,1,0,0,100,6,run out,1,v Zimbabwe,Harare,25-Aug-14
36,31,36,19,4,0,163.15,6,bowled,1,v South Africa,Harare,27-Aug-14
37,36,72,62,2,0,58.06,3,caught,1,v South Africa,Harare,02-Sep-14
38,10,20,15,2,0,66.66,3,caught,1,v South Africa,Harare,06-Sep-14
39,101,186,118,6,2,85.59,3,caught,1,v Pakistan,Sharjah,07-Oct-14
40,12,12,15,2,0,80,3,caught,2,v Pakistan,Dubai (DICS),10-Oct-14
41,77,151,105,3,0,73.33,3,bowled,1,v Pakistan,Abu Dhabi,12-Oct-14
42,10,31,20,2,0,50,4,caught,1,v South Africa,Perth,16-Nov-14
43,73*,77,55,8,0,132.72,4,not out,1,v South Africa,Canberra,19-Nov-14
44,104,180,112,7,0,92.85,4,bowled,2,v South Africa,Melbourne,21-Nov-14
45,67,103,74,6,1,90.54,4,caught,2,v South Africa,Sydney,23-Nov-14
46,37,62,47,2,1,78.72,4,bowled,2,v England,Sydney,16-Jan-15
47,47,66,52,6,0,90.38,4,caught,2,v India,Melbourne,18-Jan-15
48,102*,168,95,6,1,107.36,3,not out,2,v England,Hobart,23-Jan-15
49,TDNB,-,-,-,-,-,-,-,-,v India,Sydney,26-Jan-15
50,40,73,50,5,0,80,3,stumped,1,v England,Perth,01-Feb-15
51,5,14,9,1,0,55.55,4,bowled,1,v England,Melbourne,14-Feb-15
52,4,17,11,0,0,36.36,5,caught,1,v New Zealand,Auckland,28-Feb-15
53,95,173,98,8,1,96.93,3,caught,1,v Afghanistan,Perth,04-Mar-15
54,72,107,88,7,1,81.81,3,caught,1,v Sri Lanka,Sydney,08-Mar-15
55,DNB,-,-,-,-,-,-,-,2,v Scotland,Hobart,14-Mar-15
56,65,115,69,7,0,94.2,3,lbw,2,v Pakistan,Adelaide,20-Mar-15
57,105,121,93,11,2,112.9,3,caught,1,v India,Sydney,26-Mar-15
58,56*,137,71,3,0,78.87,3,not out,2,v New Zealand,Melbourne,29-Mar-15
59,21,51,38,1,0,55.26,3,caught,1,v Ireland,Belfast,27-Aug-15
60,44,62,54,3,1,81.48,3,caught,1,v England,Southampton,03-Sep-15
61,70,133,87,7,0,80.45,3,caught,1,v England,Lord's,05-Sep-15
62,25,37,33,3,0,75.75,3,caught,2,v England,Manchester,08-Sep-15
63,5,15,12,0,0,41.66,3,lbw,1,v England,Leeds,11-Sep-15
64,12,30,28,1,0,42.85,3,caught,2,v England,Manchester,13-Sep-15
65,149,179,135,11,2,110.37,3,caught,2,v India,Perth,12-Jan-16
66,46,67,47,4,0,97.87,3,bowled,2,v India,Brisbane,15-Jan-16
67,41,45,45,5,0,91.11,3,caught,2,v India,Melbourne,17-Jan-16
68,51,37,29,4,3,175.86,4,caught,1,v India,Canberra,20-Jan-16
69,28,47,37,3,0,75.67,3,caught,1,v India,Sydney,23-Jan-16
70,18,14,17,3,0,105.88,3,bowled,2,v New Zealand,Auckland,03-Feb-16
71,2,12,12,0,0,16.66,3,caught,2,v New Zealand,Wellington,06-Feb-16
72,21,56,35,1,0,60,3,lbw,2,v New Zealand,Hamilton,08-Feb-16
73,6,10,10,1,0,60,4,lbw,2,v West Indies,Providence,05-Jun-16
74,8,16,10,0,0,80,4,lbw,2,v South Africa,Providence,07-Jun-16
75,52*,66,49,5,1,106.12,4,not out,1,v South Africa,Basseterre,11-Jun-16
76,74,135,95,5,2,77.89,3,caught,1,v West Indies,Basseterre,13-Jun-16
77,TDNB,-,-,-,-,-,-,-,-,v South Africa,Bridgetown,19-Jun-16
78,78,145,107,5,0,72.89,3,run out,2,v West Indies,Bridgetown,21-Jun-16
79,46,106,59,4,0,77.96,3,caught,1,v West Indies,Bridgetown,26-Jun-16
80,58,124,92,5,0,63.04,3,caught,2,v Sri Lanka,Colombo (RPS),21-Aug-16
81,30,34,33,5,0,90.9,3,caught,2,v Sri Lanka,Colombo (RPS),24-Aug-16
82,59*,87,74,6,1,79.72,3,not out,2,v Ireland,Benoni,27-Sep-16
83,8,21,11,2,0,72.72,3,lbw,1,v South Africa,Centurion,30-Sep-16
84,14,21,12,2,0,116.66,3,caught,2,v South Africa,Johannesburg,02-Oct-16
85,108,136,107,9,1,100.93,3,bowled,1,v South Africa,Durban,05-Oct-16
86,21,61,36,2,0,58.33,3,lbw,1,v South Africa,Gqeberha,09-Oct-16
87,0,2,2,0,0,0,3,bowled,2,v South Africa,Cape Town,12-Oct-16
88,164,206,157,14,4,104.45,3,caught,1,v New Zealand,Sydney,04-Dec-16
89,72,112,76,6,1,94.73,3,caught,1,v New Zealand,Canberra,06-Dec-16
90,0,10,7,0,0,0,3,caught,1,v New Zealand,Melbourne,09-Dec-16
91,0,1,1,0,0,0,3,caught,1,v Pakistan,Brisbane,13-Jan-17
92,60,155,101,2,0,59.4,3,bowled,1,v Pakistan,Melbourne,15-Jan-17
93,108*,157,104,11,1,103.84,3,not out,2,v Pakistan,Perth,19-Jan-17
94,49,83,48,5,0,102.08,3,lbw,1,v Pakistan,Sydney,22-Jan-17
95,4,3,2,1,0,200,3,caught,1,v Pakistan,Adelaide,26-Jan-17
96,8*,18,6,2,0,133.33,3,not out,2,v New Zealand,Birmingham,02-Jun-17
97,22*,37,25,1,0,88,3,not out,2,v Bangladesh,The Oval,05-Jun-17
98,56,104,77,5,0,72.72,3,caught,1,v England,Birmingham,10-Jun-17
99,1,8,5,0,0,20,3,caught,2,v India,Chennai,17-Sep-17
100,59,118,76,8,0,77.63,3,caught,2,v India,Eden Gardens,21-Sep-17
101,63,111,71,5,0,88.73,3,caught,1,v India,Indore,24-Sep-17
102,3,5,5,0,0,60,4,caught,1,v India,Bengaluru,28-Sep-17
103,16,31,25,1,0,64,3,lbw,1,v India,Nagpur,01-Oct-17
104,23,41,18,3,0,127.77,3,caught,1,v England,Melbourne,14-Jan-18
105,18,-,25,0,1,72,3,lbw,1,v England,Brisbane,19-Jan-18
106,45,-,66,1,0,68.18,4,caught,2,v England,Sydney,21-Jan-18
107,4,-,16,0,0,25,4,caught,2,v England,Adelaide,26-Jan-18
108,12,-,23,0,0,52.17,4,stumped,2,v England,Perth,28-Jan-18
109,18,36,27,1,0,66.66,4,caught,2,v Afghanistan,Bristol,01-Jun-19
110,73,178,103,7,0,70.87,4,caught,1,v West Indies,Nottingham,06-Jun-19
111,69,115,70,5,1,98.57,3,lbw,2,v India,The Oval,09-Jun-19
112,10,28,13,1,0,76.92,3,caught,1,v Pakistan,Taunton,12-Jun-19
113,73,90,59,7,1,123.72,4,bowled,1,v Sri Lanka,The Oval,15-Jun-19
114,1,4,2,0,0,50,6,lbw,1,v Bangladesh,Nottingham,20-Jun-19
115,38,64,34,5,0,111.76,4,caught,1,v England,Lord's,25-Jun-19
116,5,13,8,0,0,62.5,4,caught,1,v New Zealand,Lord's,29-Jun-19
117,7,9,6,1,0,116.66,4,lbw,2,v South Africa,Manchester,06-Jul-19
118,85,201,119,6,0,71.42,3,run out,1,v England,Birmingham,11-Jul-19
119,DNB,-,-,-,-,-,-,-,2,v India,Wankhede,14-Jan-20
120,98,-,102,9,1,96.07,3,bowled,2,v India,Rajkot,17-Jan-20
121,131,-,132,14,1,99.24,3,caught,1,v India,Bengaluru,19-Jan-20
122,76,129,94,3,0,80.85,3,lbw,2,v South Africa,Paarl,29-Feb-20
123,13,29,17,1,0,76.47,3,caught,1,v South Africa,Bloemfontein,04-Mar-20
124,20,32,26,3,0,76.92,3,lbw,1,v South Africa,Potchefstroom,07-Mar-20
125,14,-,17,0,1,82.35,3,bowled,1,v New Zealand,Sydney,13-Mar-20
126,105,-,66,11,4,159.09,3,bowled,1,v India,Sydney,27-Nov-20
127,104,-,64,14,2,162.5,3,caught,1,v India,Sydney,29-Nov-20
128,7,-,15,0,0,46.66,3,caught,2,v India,Canberra,02-Dec-20
129,53,96,60,5,0,88.33,3,bowled,2,v Sri Lanka,Pallekele,14-Jun-22
130,28,54,35,3,0,80,3,caught,2,v Sri Lanka,Pallekele,16-Jun-22
131,48*,116,80,6,0,60,3,not out,2,v Zimbabwe,Townsville,28-Aug-22
132,47*,54,41,8,1,114.63,3,not out,2,v Zimbabwe,Townsville,31-Aug-22
133,1,7,6,0,0,16.66,3,lbw,1,v Zimbabwe,Townsville,03-Sep-22
134,1,9,8,0,0,12.5,3,bowled,2,v New Zealand,Cairns,06-Sep-22
135,61,156,94,5,1,64.89,3,caught,1,v New Zealand,Cairns,08-Sep-22
136,105,174,131,11,1,80.15,3,bowled,1,v New Zealand,Cairns,11-Sep-22
137,80*,123,78,9,1,102.56,3,not out,2,v England,Adelaide,17-Nov-22
138,94,163,114,5,1,82.45,3,caught,1,v England,Sydney,19-Nov-22
139,21,37,16,2,0,131.25,3,caught,1,v England,Melbourne,22-Nov-22
140,22,57,30,4,0,73.33,3,caught,1,v India,Wankhede,17-Mar-23
