,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,5,17,7,1,0,71.42,2,caught,1,v South Africa,Hobart,18-Jan-09
2,69,96,60,6,2,115,2,bowled,1,v South Africa,Sydney,23-Jan-09
3,1,9,7,0,0,14.28,2,caught,1,v South Africa,Adelaide,26-Jan-09
4,22,58,29,1,1,75.86,2,run out,2,v South Africa,Perth,30-Jan-09
5,7,36,18,0,0,38.88,2,caught,1,v New Zealand,Perth,01-Feb-09
6,2,10,11,0,0,18.18,1,caught,1,v New Zealand,Melbourne,06-Feb-09
7,0,3,5,0,0,0,2,caught,1,v Scotland,Edinburgh,28-Aug-09
8,20,12,17,4,0,117.64,1,bowled,1,v South Africa,Centurion,19-Oct-11
9,74,136,97,6,0,76.28,1,caught,2,v South Africa,Gqeberha,23-Oct-11
10,10,29,18,1,0,55.55,2,caught,2,v South Africa,Durban,28-Oct-11
11,6,24,14,0,0,42.85,2,bowled,1,v India,Melbourne,05-Feb-12
12,34,45,29,4,1,117.24,1,bowled,1,v Sri Lanka,Perth,10-Feb-12
13,18,46,24,2,0,75,1,run out,1,v India,Adelaide,12-Feb-12
14,13,23,21,2,0,61.9,1,caught,1,v Sri Lanka,Sydney,17-Feb-12
15,43,58,46,5,1,93.47,2,caught,1,v India,Brisbane,19-Feb-12
16,7,30,13,0,0,53.84,2,caught,1,v Sri Lanka,Hobart,24-Feb-12
17,68,98,66,7,0,103.03,1,caught,1,v India,Sydney,26-Feb-12
18,6,11,6,1,0,100,2,caught,2,v Sri Lanka,Melbourne,02-Mar-12
19,163,219,157,13,2,103.82,1,bowled,1,v Sri Lanka,Brisbane,04-Mar-12
20,100,184,140,4,1,71.42,2,caught,1,v Sri Lanka,Adelaide,06-Mar-12
21,48,57,45,5,1,106.66,2,caught,1,v Sri Lanka,Adelaide,08-Mar-12
22,40,103,55,5,0,72.72,2,caught,1,v West Indies,Kingstown,16-Mar-12
23,13,27,20,1,0,65,2,bowled,1,v West Indies,Kingstown,18-Mar-12
24,37,59,51,6,0,72.54,2,caught,1,v West Indies,Kingstown,20-Mar-12
25,1,6,4,0,0,25,2,caught,2,v West Indies,Gros Islet,23-Mar-12
26,69,83,61,10,1,113.11,2,caught,1,v West Indies,Gros Islet,25-Mar-12
27,TDNB,-,-,-,-,-,-,-,-,v Ireland,Belfast,23-Jun-12
28,56,94,61,6,1,91.8,2,caught,2,v England,Lord's,29-Jun-12
29,10,18,20,2,0,50,2,caught,1,v England,The Oval,01-Jul-12
30,2,21,19,0,0,10.52,2,lbw,1,v England,Chester-le-Street,07-Jul-12
31,32,46,32,4,1,100,2,lbw,1,v England,Manchester,10-Jul-12
32,24,15,18,4,0,133.33,2,caught,1,v Afghanistan,Sharjah,25-Aug-12
33,5,12,11,1,0,45.45,1,bowled,2,v Pakistan,Sharjah,28-Aug-12
34,24,89,68,2,0,35.29,2,lbw,1,v Pakistan,Abu Dhabi,31-Aug-12
35,21,34,33,3,1,63.63,1,caught,2,v Pakistan,Sharjah,03-Sep-12
36,4,8,11,0,0,36.36,1,caught,1,v Sri Lanka,Brisbane,18-Jan-13
37,60,132,73,6,0,82.19,1,lbw,1,v Sri Lanka,Sydney,20-Jan-13
38,10,22,18,1,0,55.55,2,bowled,1,v Sri Lanka,Hobart,23-Jan-13
39,9,23,21,1,0,42.85,1,caught,2,v England,Birmingham,08-Jun-13
40,65,121,72,5,1,90.27,2,caught,2,v England,Melbourne,12-Jan-14
41,18,23,14,2,0,128.57,1,caught,2,v England,Brisbane,17-Jan-14
42,71,85,70,7,2,101.42,2,caught,2,v England,Sydney,19-Jan-14
43,43,78,63,5,0,68.25,2,caught,1,v Pakistan,Sharjah,07-Oct-14
44,29,58,27,5,0,107.4,1,caught,2,v Pakistan,Dubai (DICS),10-Oct-14
45,56,93,63,6,1,88.88,2,caught,1,v Pakistan,Abu Dhabi,12-Oct-14
46,46,68,49,1,3,93.87,1,caught,1,v South Africa,Perth,14-Nov-14
47,0,6,5,0,0,0,1,caught,1,v South Africa,Perth,16-Nov-14
48,53,88,50,6,2,106,2,caught,1,v South Africa,Canberra,19-Nov-14
49,4,14,8,0,0,50,2,lbw,2,v South Africa,Melbourne,21-Nov-14
50,21,18,16,3,1,131.25,1,caught,2,v South Africa,Sydney,23-Nov-14
51,127,169,115,18,0,110.43,1,caught,2,v England,Sydney,16-Jan-15
52,24,41,22,3,0,109.09,2,caught,2,v India,Melbourne,18-Jan-15
53,TDNB,-,-,-,-,-,-,-,-,v India,Sydney,26-Jan-15
54,12,25,18,2,0,66.66,2,caught,1,v England,Perth,01-Feb-15
55,22,34,18,3,0,122.22,1,bowled,1,v England,Melbourne,14-Feb-15
56,34,58,42,2,1,80.95,2,lbw,1,v New Zealand,Auckland,28-Feb-15
57,178,164,133,19,5,133.83,1,caught,1,v Afghanistan,Perth,04-Mar-15
58,9,16,12,1,0,75,2,caught,1,v Sri Lanka,Sydney,08-Mar-15
59,21*,11,6,2,2,350,5,not out,2,v Scotland,Hobart,14-Mar-15
60,24,41,23,3,0,104.34,1,caught,2,v Pakistan,Adelaide,20-Mar-15
61,12,14,7,1,1,171.42,2,caught,1,v India,Sydney,26-Mar-15
62,45,51,46,7,0,97.82,1,caught,2,v New Zealand,Melbourne,29-Mar-15
63,84,112,80,7,3,105,2,caught,1,v Ireland,Belfast,27-Aug-15
64,59,108,67,6,0,88.05,2,caught,1,v England,Southampton,03-Sep-15
65,1*,1,1,0,0,100,2,retired notout,1,v England,Lord's,05-Sep-15
66,5,20,10,1,0,50,2,caught,2,v India,Perth,12-Jan-16
67,93,120,92,12,1,101.08,1,bowled,1,v India,Canberra,20-Jan-16
68,122,171,113,9,3,107.96,2,caught,1,v India,Sydney,23-Jan-16
69,12,28,11,2,0,109.09,2,lbw,2,v New Zealand,Auckland,03-Feb-16
70,98,120,79,8,4,124.05,2,lbw,2,v New Zealand,Wellington,06-Feb-16
71,16,19,14,3,0,114.28,2,caught,2,v New Zealand,Hamilton,08-Feb-16
72,55*,110,55,3,1,100,1,not out,2,v West Indies,Providence,05-Jun-16
73,1,7,5,0,0,20,1,lbw,2,v South Africa,Providence,07-Jun-16
74,109,157,120,11,2,90.83,1,caught,1,v South Africa,Basseterre,11-Jun-16
75,8,29,17,0,0,47.05,1,caught,2,v Sri Lanka,Colombo (RPS),21-Aug-16
76,1,5,4,0,0,25,1,caught,2,v Sri Lanka,Colombo (RPS),24-Aug-16
77,10,21,12,1,0,83.33,1,caught,2,v Sri Lanka,Dambulla,28-Aug-16
78,19,36,16,3,0,118.75,1,bowled,2,v Sri Lanka,Dambulla,31-Aug-16
79,106,167,126,9,0,84.12,1,caught,2,v Sri Lanka,Pallekele,04-Sep-16
80,48,38,30,5,2,160,2,caught,2,v Ireland,Benoni,27-Sep-16
81,40,41,36,5,1,111.11,1,caught,1,v South Africa,Centurion,30-Sep-16
82,50,93,56,7,1,89.28,2,caught,2,v South Africa,Johannesburg,02-Oct-16
83,117,139,107,13,2,109.34,1,caught,1,v South Africa,Durban,05-Oct-16
84,6,10,5,1,0,120,2,bowled,1,v South Africa,Gqeberha,09-Oct-16
85,173,218,136,24,0,127.2,1,run out,2,v South Africa,Cape Town,12-Oct-16
86,24,43,29,4,0,82.75,1,bowled,1,v New Zealand,Sydney,04-Dec-16
87,119,149,115,14,1,103.47,1,caught,1,v New Zealand,Canberra,06-Dec-16
88,156,214,128,13,4,121.87,1,run out,1,v New Zealand,Melbourne,09-Dec-16
89,7,19,18,1,0,38.88,1,bowled,1,v Pakistan,Brisbane,13-Jan-17
90,16,27,22,1,0,72.72,2,caught,1,v Pakistan,Melbourne,15-Jan-17
91,35,36,38,5,0,92.1,1,caught,2,v Pakistan,Perth,19-Jan-17
92,130,156,119,11,2,109.24,2,caught,1,v Pakistan,Sydney,22-Jan-17
93,179,186,128,19,5,139.84,1,caught,1,v Pakistan,Adelaide,26-Jan-17
94,18,21,16,1,1,112.5,1,caught,2,v New Zealand,Birmingham,02-Jun-17
95,40*,75,44,2,0,90.9,1,not out,2,v Bangladesh,The Oval,05-Jun-17
96,21,29,25,4,0,84,1,caught,1,v England,Birmingham,10-Jun-17
97,25,47,28,2,0,89.28,1,caught,2,v India,Chennai,17-Sep-17
98,1,22,9,0,0,11.11,2,caught,2,v India,Eden Gardens,21-Sep-17
99,42,59,44,4,1,95.45,1,bowled,1,v India,Indore,24-Sep-17
100,124,134,119,12,4,104.2,2,caught,1,v India,Bengaluru,28-Sep-17
101,53,91,62,5,0,85.48,1,caught,1,v India,Nagpur,01-Oct-17
102,2,8,5,0,0,40,2,caught,1,v England,Melbourne,14-Jan-18
103,35,-,40,5,0,87.5,1,caught,1,v England,Brisbane,19-Jan-18
104,8,-,10,2,0,80,2,caught,2,v England,Sydney,21-Jan-18
105,13,-,11,2,0,118.18,1,caught,2,v England,Adelaide,26-Jan-18
106,15,-,11,2,0,136.36,1,bowled,2,v England,Perth,28-Jan-18
107,89*,131,114,8,0,78.07,2,not out,2,v Afghanistan,Bristol,01-Jun-19
108,3,24,8,0,0,37.5,1,caught,1,v West Indies,Nottingham,06-Jun-19
109,56,111,84,5,0,66.66,1,caught,2,v India,The Oval,09-Jun-19
110,107,161,111,11,1,96.39,2,caught,1,v Pakistan,Taunton,12-Jun-19
111,26,70,48,2,0,54.16,1,bowled,1,v Sri Lanka,The Oval,15-Jun-19
112,166,184,147,14,5,112.92,1,caught,1,v Bangladesh,Nottingham,20-Jun-19
113,53,95,61,6,0,86.88,2,caught,1,v England,Lord's,25-Jun-19
114,16,39,23,3,0,69.56,1,caught,1,v New Zealand,Lord's,29-Jun-19
115,122,168,117,15,2,104.27,1,caught,2,v South Africa,Manchester,06-Jul-19
116,9,14,11,2,0,81.81,1,caught,1,v England,Birmingham,11-Jul-19
117,128*,-,112,17,3,114.28,1,not out,2,v India,Wankhede,14-Jan-20
118,15,-,12,2,0,125,1,caught,2,v India,Rajkot,17-Jan-20
119,3,-,7,0,0,42.85,1,caught,1,v India,Bengaluru,19-Jan-20
120,25,37,27,3,0,92.59,1,caught,2,v South Africa,Paarl,29-Feb-20
121,35,26,23,4,1,152.17,1,caught,1,v South Africa,Bloemfontein,04-Mar-20
122,4,18,9,0,0,44.44,1,caught,1,v South Africa,Potchefstroom,07-Mar-20
123,67,-,88,9,0,76.13,1,caught,1,v New Zealand,Sydney,13-Mar-20
