,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
1,10,0,38,2,3.8,2,1,v Afghanistan,Abu Dhabi,21-Sep-18
2,6,0,42,0,7,2,2,v India,Dubai (DICS),23-Sep-18
3,10,1,47,2,4.7,2,1,v Bangladesh,Abu Dhabi,26-Sep-18
4,8,1,46,4,5.75,2,1,v New Zealand,Abu Dhabi,07-Nov-18
5,9,1,38,4,4.22,2,1,v New Zealand,Abu Dhabi,09-Nov-18
6,3.5,0,18,1,4.69,1,2,v New Zealand,Dubai (DICS),11-Nov-18
7,9,0,44,3,4.88,2,2,v South Africa,Durban,22-Jan-19
8,6,0,37,0,6.16,2,2,v South Africa,Centurion,25-Jan-19
9,8,1,24,2,3,2,1,v South Africa,Johannesburg,27-Jan-19
10,7,0,34,1,4.85,2,2,v South Africa,Cape Town,30-Jan-19
11,TDNB,-,-,-,-,-,-,v England,The Oval,08-May-19
12,10,0,80,1,8,1,1,v England,Southampton,11-May-19
13,10,0,83,0,8.3,2,2,v England,Bristol,14-May-19
14,10,0,82,4,8.2,2,1,v England,Leeds,19-May-19
15,10,0,70,2,7,2,1,v Australia,Taunton,12-Jun-19
16,8,0,54,1,6.75,3,2,v South Africa,Lord's,23-Jun-19
17,10,3,28,3,2.8,3,1,v New Zealand,Birmingham,26-Jun-19
18,10,0,47,4,4.7,3,1,v Afghanistan,Leeds,29-Jun-19
19,9.1,0,35,6,3.81,3,2,v Bangladesh,Lord's,05-Jul-19
20,10,0,49,5,4.9,1,2,v Zimbabwe,Rawalpindi,30-Oct-20
21,10,1,36,0,3.6,1,1,v Zimbabwe,Rawalpindi,01-Nov-20
22,10,1,42,0,4.2,1,1,v Zimbabwe,Rawalpindi,03-Nov-20
23,10,1,61,2,6.1,1,1,v South Africa,Centurion,02-Apr-21
24,10,1,75,1,7.5,1,1,v South Africa,Johannesburg,04-Apr-21
25,9.3,0,58,3,6.1,1,2,v South Africa,Centurion,07-Apr-21
26,5,0,22,1,4.4,1,2,v England,Cardiff,08-Jul-21
27,8,0,37,1,4.62,1,1,v England,Lord's,10-Jul-21
28,10,0,78,0,7.8,1,2,v England,Birmingham,13-Jul-21
29,10,0,63,4,6.3,1,1,v Australia,Lahore,31-Mar-22
30,8,2,40,2,5,1,1,v Australia,Lahore,02-Apr-22
31,10,1,55,2,5.5,1,1,v West Indies,Multan,08-Jun-22
32,4,1,17,1,4.25,1,2,v West Indies,Multan,10-Jun-22
33,10,0,63,2,6.3,1,1,v New Zealand,Rawalpindi,27-Apr-23
34,9,0,53,2,5.88,1,2,v New Zealand,Karachi,03-May-23
35,6,1,34,1,5.66,1,2,v New Zealand,Karachi,05-May-23
36,10,0,46,3,4.6,1,1,v New Zealand,Karachi,07-May-23
37,4,2,9,2,2.25,1,2,v Afghanistan,Hambantota,22-Aug-23
38,10,0,58,2,5.8,1,1,v Afghanistan,Hambantota,24-Aug-23
39,9.4,0,31,2,3.2,1,2,v Afghanistan,Colombo (RPS),26-Aug-23
40,5,0,27,2,5.4,1,2,v Nepal,Multan,30-Aug-23
41,10,2,35,4,3.5,1,1,v India,Pallekele,02-Sep-23
42,7,1,42,1,6,1,1,v Bangladesh,Lahore,06-Sep-23
43,10,0,79,1,7.9,1,1,v India,Colombo (RPS),10-Sep-23
44,9,0,52,2,5.77,1,2,v Sri Lanka,Colombo (RPS),14-Sep-23
45,7,0,37,1,5.28,1,2,v Netherlands,Hyderabad,06-Oct-23
46,9,0,66,1,7.33,1,1,v Sri Lanka,Hyderabad,10-Oct-23
47,6,0,36,2,6,1,2,v India,Ahmedabad,14-Oct-23
48,10,1,54,5,5.4,1,1,v Australia,Bengaluru,20-Oct-23
49,10,0,58,1,5.8,1,2,v Afghanistan,Chennai,23-Oct-23
50,10,0,45,3,4.5,2,2,v South Africa,Chennai,27-Oct-23
51,9,1,23,3,2.55,1,1,v Bangladesh,Eden Gardens,31-Oct-23
52,10,0,90,0,9,1,1,v New Zealand,Bengaluru,04-Nov-23
53,10,1,72,2,7.2,1,1,v England,Eden Gardens,11-Nov-23
