,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
1,10,0,50,2,5,3,2,v Sri Lanka,Harare,05-Jun-10
2,9,0,34,1,3.77,4,1,v Australia,Visakhapatnam,20-Oct-10
3,10,1,50,3,5,3,2,v New Zealand,Guwahati,28-Nov-10
4,10,0,52,1,5.2,4,1,v New Zealand,Jaipur,01-Dec-10
5,9,1,49,2,5.44,4,1,v New Zealand,Vadodara,04-Dec-10
6,10,0,66,2,6.6,3,1,v New Zealand,Bengaluru,07-Dec-10
7,8,1,24,3,3,4,1,v New Zealand,Chennai,10-Dec-10
8,10,0,41,2,4.1,1,2,v West Indies,Chennai,20-Mar-11
9,10,0,52,2,5.2,1,1,v Australia,Ahmedabad,24-Mar-11
10,10,1,39,1,3.9,3,1,v West Indies,North Sound,13-Jun-11
11,10,1,50,0,5,4,2,v West Indies,Kingston,16-Jun-11
12,DNB,-,-,-,-,-,2,v England,Chester-le-Street,03-Sep-11
13,5,0,42,2,8.4,3,2,v England,Southampton,06-Sep-11
14,9,0,40,3,4.44,5,2,v England,The Oval,09-Sep-11
15,10,0,44,1,4.4,4,2,v England,Lord's,11-Sep-11
16,4,0,25,0,6.25,4,2,v England,Cardiff,16-Sep-11
17,8.1,0,35,3,4.28,5,2,v England,Hyderabad,14-Oct-11
18,10,0,56,1,5.6,5,1,v England,Delhi,17-Oct-11
19,10,0,45,0,4.5,5,1,v England,Mohali,20-Oct-11
20,10,0,38,3,3.8,3,1,v England,Wankhede,23-Oct-11
21,9,0,28,3,3.11,3,2,v England,Eden Gardens,25-Oct-11
22,10,1,30,1,3,4,1,v West Indies,Cuttack,29-Nov-11
23,10,0,74,1,7.4,5,1,v West Indies,Visakhapatnam,02-Dec-11
24,10,0,33,1,3.3,5,1,v West Indies,Ahmedabad,05-Dec-11
25,10,0,59,1,5.9,2,2,v West Indies,Indore,08-Dec-11
26,5,0,48,0,9.6,5,1,v Australia,Melbourne,05-Feb-12
27,10,1,32,3,3.2,5,1,v Sri Lanka,Perth,08-Feb-12
28,8,0,47,0,5.87,5,1,v Australia,Adelaide,12-Feb-12
29,10,1,30,2,3,4,1,v Sri Lanka,Adelaide,14-Feb-12
30,10,0,50,2,5,5,1,v Sri Lanka,Brisbane,21-Feb-12
31,10,0,45,0,4.5,3,1,v Australia,Sydney,26-Feb-12
32,10,0,52,0,5.2,5,1,v Sri Lanka,Hobart,28-Feb-12
33,9,0,39,3,4.33,6,2,v Sri Lanka,Mirpur,13-Mar-12
34,10,0,56,1,5.6,6,2,v Bangladesh,Mirpur,16-Mar-12
35,10,0,56,1,5.6,7,1,v Pakistan,Mirpur,18-Mar-12
36,10,1,46,2,4.6,4,2,v Sri Lanka,Hambantota,21-Jul-12
37,5,1,18,1,3.6,4,2,v Sri Lanka,Hambantota,24-Jul-12
38,10,0,50,0,5,5,1,v Sri Lanka,Colombo (RPS),28-Jul-12
39,10,1,46,2,4.6,6,1,v Sri Lanka,Colombo (RPS),31-Jul-12
40,9,0,37,0,4.11,5,2,v Sri Lanka,Pallekele,04-Aug-12
41,10,0,34,0,3.4,4,2,v Pakistan,Chennai,30-Dec-12
42,10,0,49,1,4.9,4,1,v Pakistan,Eden Gardens,03-Jan-13
