,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
1,8.3,0,45,2,5.29,2,2,v West Indies,Basseterre,11-Jul-12
2,10,2,47,1,4.7,2,1,v West Indies,Basseterre,14-Jul-12
3,8,0,29,0,3.62,2,1,v West Indies,Basseterre,16-Jul-12
4,6,0,26,1,4.33,2,2,v Sri Lanka,Pallekele,04-Nov-12
5,5,0,29,0,5.8,2,2,v Sri Lanka,Pallekele,06-Nov-12
6,7,0,32,1,4.57,1,2,v Sri Lanka,Hambantota,10-Nov-12
7,5,0,23,1,4.6,1,1,v Sri Lanka,Hambantota,12-Nov-12
8,9,1,55,0,6.11,2,2,v England,Napier,20-Feb-13
9,10,2,40,2,4,2,2,v South Africa,Mount Maunganui,21-Oct-14
10,10,0,70,2,7,1,1,v South Africa,Mount Maunganui,24-Oct-14
11,10,1,46,0,4.6,1,1,v Sri Lanka,Christchurch,11-Jan-15
12,10,1,52,0,5.2,1,2,v Sri Lanka,Hamilton,15-Jan-15
13,10,0,44,4,4.4,2,2,v Sri Lanka,Dunedin,23-Jan-15
14,8,2,31,1,3.87,2,2,v Sri Lanka,Dunedin,25-Jan-15
15,9,0,25,2,2.77,2,1,v Pakistan,Wellington,31-Jan-15
16,8.1,0,35,1,4.28,2,2,v Pakistan,Napier,03-Feb-15
17,10,0,64,2,6.4,2,2,v Sri Lanka,Christchurch,14-Feb-15
18,6,1,21,2,3.5,2,1,v Scotland,Dunedin,17-Feb-15
19,10,2,32,1,3.2,2,1,v England,Wellington,20-Feb-15
20,10,3,27,5,2.7,2,1,v Australia,Auckland,28-Feb-15
21,10,2,34,3,3.4,2,1,v Afghanistan,Napier,08-Mar-15
22,10,3,56,2,5.6,2,1,v Bangladesh,Hamilton,13-Mar-15
23,10,3,44,4,4.4,2,2,v West Indies,Wellington,21-Mar-15
24,9,0,53,2,5.88,2,1,v South Africa,Auckland,24-Mar-15
25,10,0,40,1,4,2,2,v Australia,Melbourne,29-Mar-15
26,10,0,55,4,5.5,1,1,v England,Birmingham,09-Jun-15
27,10,1,53,2,5.3,2,2,v England,The Oval,12-Jun-15
28,8.1,0,43,3,5.26,1,2,v Sri Lanka,Mount Maunganui,05-Jan-16
29,9,1,40,4,4.44,2,2,v Pakistan,Wellington,25-Jan-16
30,9,0,60,2,6.66,1,1,v Pakistan,Auckland,31-Jan-16
31,7,0,38,3,5.42,1,2,v Australia,Auckland,03-Feb-16
32,9.3,0,66,1,6.94,1,2,v Australia,Wellington,06-Feb-16
33,10,2,25,2,2.5,2,2,v India,Delhi,20-Oct-16
34,10,0,73,0,7.3,2,2,v India,Mohali,23-Oct-16
35,9.4,1,48,2,4.96,2,2,v India,Ranchi,26-Oct-16
36,10,0,52,2,5.2,2,1,v India,Visakhapatnam,29-Oct-16
37,10,1,51,2,5.1,2,1,v Australia,Sydney,04-Dec-16
38,10,0,80,1,8,2,1,v Australia,Canberra,06-Dec-16
