,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
1,10,0,40,2,4,3,1,v Australia,Sydney,23-Jan-16
2,9.5,2,28,4,2.84,3,1,v Zimbabwe,Harare,11-Jun-16
3,6,0,27,1,4.5,3,1,v Zimbabwe,Harare,13-Jun-16
4,10,1,22,4,2.2,3,1,v Zimbabwe,Harare,15-Jun-16
5,8,1,29,0,3.62,3,1,v New Zealand,Dharamsala,16-Oct-16
6,10,0,35,3,3.5,3,1,v New Zealand,Delhi,20-Oct-16
7,9.4,0,52,2,5.37,3,1,v New Zealand,Mohali,23-Oct-16
8,5,0,16,1,3.2,2,2,v New Zealand,Visakhapatnam,29-Oct-16
9,10,0,79,2,7.9,3,1,v England,Pune,15-Jan-17
10,9,0,81,2,9,2,2,v England,Cuttack,19-Jan-17
11,10,1,68,1,6.8,3,1,v England,Eden Gardens,22-Jan-17
12,5,0,23,0,4.6,3,2,v Pakistan,Birmingham,04-Jun-17
13,10,0,52,0,5.2,3,2,v Sri Lanka,The Oval,08-Jun-17
14,8,0,28,2,3.5,2,1,v South Africa,The Oval,11-Jun-17
15,10,1,39,2,3.9,2,1,v Bangladesh,Birmingham,15-Jun-17
16,9,0,68,0,7.55,2,1,v Pakistan,The Oval,18-Jun-17
17,6.2,0,22,2,3.47,3,1,v Sri Lanka,Dambulla,20-Aug-17
18,10,2,43,4,4.3,2,1,v Sri Lanka,Pallekele,24-Aug-17
19,10,2,27,5,2.7,2,1,v Sri Lanka,Pallekele,27-Aug-17
20,7,0,32,2,4.57,2,2,v Sri Lanka,Colombo (RPS),31-Aug-17
21,10,0,45,2,4.5,3,1,v Sri Lanka,Colombo (RPS),03-Sep-17
22,4,0,20,1,5,2,2,v Australia,Chennai,17-Sep-17
23,7,1,39,0,5.57,2,2,v Australia,Eden Gardens,21-Sep-17
24,10,0,52,2,5.2,2,1,v Australia,Indore,24-Sep-17
25,10,2,51,2,5.1,2,1,v Australia,Nagpur,01-Oct-17
26,9,0,56,1,6.22,2,2,v New Zealand,Wankhede,22-Oct-17
27,10,2,38,2,3.8,2,1,v New Zealand,Pune,25-Oct-17
28,10,0,47,3,4.7,2,2,v New Zealand,Kanpur,29-Oct-17
29,7,1,32,1,4.57,2,2,v Sri Lanka,Dharamsala,10-Dec-17
30,10,0,43,2,4.3,3,2,v Sri Lanka,Mohali,13-Dec-17
31,8,1,39,1,4.87,2,1,v Sri Lanka,Visakhapatnam,17-Dec-17
32,10,0,56,1,5.6,2,1,v South Africa,Durban,01-Feb-18
33,5,1,12,1,2.4,2,1,v South Africa,Centurion,04-Feb-18
34,7,0,32,2,4.57,2,2,v South Africa,Cape Town,07-Feb-18
35,5,0,21,1,4.2,2,2,v South Africa,Johannesburg,10-Feb-18
36,7,0,22,1,3.14,2,2,v South Africa,Gqeberha,13-Feb-18
37,8,1,24,2,3,2,1,v South Africa,Centurion,16-Feb-18
38,7.1,2,23,2,3.2,2,1,v Pakistan,Dubai (DICS),19-Sep-18
39,9.1,1,37,3,4.03,2,1,v Bangladesh,Dubai (DICS),21-Sep-18
40,10,1,29,2,2.9,2,1,v Pakistan,Dubai (DICS),23-Sep-18
