,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
1,3,0,28,3,9.33,3,2,v South Africa,Centurion,19-Oct-11
2,10,1,73,1,7.3,3,1,v South Africa,Gqeberha,23-Oct-11
3,10,0,49,1,4.9,2,1,v South Africa,Durban,28-Oct-11
4,3,0,11,1,3.66,3,1,v Ireland,Belfast,23-Jun-12
5,10,0,53,1,5.3,3,1,v England,Lord's,29-Jun-12
6,10,0,61,2,6.1,3,1,v South Africa,Melbourne,21-Nov-14
7,9,0,54,3,6,3,1,v South Africa,Sydney,23-Nov-14
8,9,1,42,1,4.66,2,1,v England,Sydney,16-Jan-15
9,10,0,52,0,5.2,2,1,v India,Melbourne,18-Jan-15
10,10,0,74,1,7.4,2,1,v England,Hobart,23-Jan-15
11,6.1,0,38,2,6.16,3,2,v New Zealand,Auckland,28-Feb-15
12,7,1,42,3,6,2,1,v Scotland,Hobart,14-Mar-15
13,5,0,19,2,3.8,3,2,v Ireland,Belfast,27-Aug-15
14,9.3,1,48,2,5.05,3,2,v England,Southampton,03-Sep-15
15,8.3,0,56,4,6.58,4,2,v England,Lord's,05-Sep-15
16,10,1,50,2,5,4,1,v England,Manchester,08-Sep-15
17,10,0,49,4,4.9,2,2,v England,Leeds,11-Sep-15
18,6,0,33,0,5.5,3,1,v England,Manchester,13-Sep-15
19,9,0,62,2,6.88,4,2,v New Zealand,Sydney,04-Dec-16
20,10,0,41,4,4.1,3,2,v New Zealand,Canberra,06-Dec-16
21,5.1,0,26,2,5.03,3,2,v New Zealand,Melbourne,09-Dec-16
22,8.4,0,33,3,3.8,4,2,v Pakistan,Brisbane,13-Jan-17
23,10,1,48,0,4.8,3,2,v Pakistan,Melbourne,15-Jan-17
24,10,1,42,1,4.2,3,1,v Pakistan,Perth,19-Jan-17
25,8,0,45,1,5.62,3,2,v Pakistan,Sydney,22-Jan-17
26,10,0,60,2,6,3,2,v Pakistan,Adelaide,26-Jan-17
27,9,0,67,2,7.44,3,1,v New Zealand,Auckland,30-Jan-17
28,10,0,47,1,4.7,4,1,v New Zealand,Hamilton,05-Feb-17
29,9,0,67,1,7.44,3,1,v New Zealand,Birmingham,02-Jun-17
30,8,1,22,1,2.75,3,1,v Bangladesh,The Oval,05-Jun-17
31,8,1,55,0,6.87,3,2,v England,Birmingham,10-Jun-17
32,10,1,44,0,4.4,1,1,v India,Chennai,17-Sep-17
33,10,1,34,1,3.4,1,1,v India,Eden Gardens,21-Sep-17
34,10,0,54,2,5.4,1,2,v India,Indore,24-Sep-17
35,10,0,59,1,5.9,1,2,v India,Bengaluru,28-Sep-17
36,7,1,29,0,4.14,1,2,v India,Nagpur,01-Oct-17
37,10,0,63,2,6.3,2,2,v England,Melbourne,14-Jan-18
38,10,1,67,1,6.7,3,1,v England,Sydney,21-Jan-18
39,10,2,24,4,2.4,2,1,v England,Adelaide,26-Jan-18
40,6,2,18,0,3,4,2,v South Africa,Perth,04-Nov-18
41,10,0,27,1,2.7,3,2,v South Africa,Adelaide,09-Nov-18
42,10,2,67,0,6.7,3,1,v South Africa,Hobart,11-Nov-18
43,10,0,46,0,4.6,3,2,v India,Hyderabad,02-Mar-19
44,9,2,29,4,3.22,1,1,v India,Nagpur,05-Mar-19
45,8.2,1,37,3,4.44,1,2,v India,Ranchi,08-Mar-19
46,10,0,70,5,7,1,1,v India,Mohali,10-Mar-19
47,10,1,38,2,3.8,1,2,v India,Delhi,13-Mar-19
48,8,1,23,3,2.87,1,2,v Pakistan,Abu Dhabi,27-Mar-19
49,8.2,0,40,3,4.8,2,1,v Afghanistan,Bristol,01-Jun-19
50,10,3,41,2,4.1,2,2,v West Indies,Nottingham,06-Jun-19
51,10,0,55,1,5.5,1,1,v India,The Oval,09-Jun-19
52,10,0,33,3,3.3,1,2,v Pakistan,Taunton,12-Jun-19
53,7.5,0,38,2,4.85,2,2,v Sri Lanka,The Oval,15-Jun-19
54,10,1,65,0,6.5,2,2,v Bangladesh,Nottingham,20-Jun-19
55,8,1,41,0,5.12,3,2,v England,Lord's,25-Jun-19
56,6,1,14,1,2.33,3,2,v New Zealand,Lord's,29-Jun-19
57,9,0,66,1,7.33,4,1,v South Africa,Manchester,06-Jul-19
58,7,0,34,1,4.85,3,2,v England,Birmingham,11-Jul-19
59,10,1,44,2,4.4,2,1,v India,Wankhede,14-Jan-20
60,10,1,53,0,5.3,1,1,v India,Rajkot,17-Jan-20
61,7,0,64,0,9.14,1,2,v India,Bengaluru,19-Jan-20
62,10,0,45,3,4.5,3,1,v South Africa,Paarl,29-Feb-20
63,10,1,59,1,5.9,2,2,v South Africa,Bloemfontein,04-Mar-20
64,8,2,25,3,3.12,3,2,v New Zealand,Sydney,13-Mar-20
65,10,0,74,1,7.4,3,2,v England,Manchester,11-Sep-20
66,10,3,56,1,5.6,3,1,v England,Manchester,13-Sep-20
67,10,0,53,1,5.3,3,1,v England,Manchester,16-Sep-20
68,8,0,52,0,6.5,3,2,v India,Sydney,27-Nov-20
69,10,0,67,3,6.7,3,2,v India,Sydney,29-Nov-20
70,8,1,48,0,6,3,1,v Sri Lanka,Pallekele,14-Jun-22
71,8.4,0,35,4,4.03,4,1,v Sri Lanka,Pallekele,16-Jun-22
72,9,1,37,2,4.11,4,1,v Sri Lanka,Colombo (RPS),21-Jun-22
73,6.1,1,22,2,3.56,4,1,v Sri Lanka,Colombo (RPS),24-Jun-22
74,10,0,62,3,6.2,2,1,v England,Adelaide,17-Nov-22
75,6,2,25,2,4.16,2,2,v England,Melbourne,22-Nov-22
76,10,0,44,1,4.4,1,2,v India,Mohali,22-Sep-23
77,8,0,59,1,7.37,3,2,v India,Rajkot,27-Sep-23
78,6.2,0,33,0,5.21,3,2,v India,Chennai,08-Oct-23
79,9,0,71,1,7.88,4,1,v South Africa,Lucknow,12-Oct-23
80,7,0,32,2,4.57,3,1,v Sri Lanka,Lucknow,16-Oct-23
81,7.3,0,62,2,8.26,3,2,v Pakistan,Bengaluru,20-Oct-23
82,4,0,14,1,3.5,3,2,v Netherlands,Delhi,25-Oct-23
83,10,0,66,2,6.6,3,2,v New Zealand,Dharamsala,28-Oct-23
84,10,1,49,2,4.9,3,2,v England,Ahmedabad,04-Nov-23
85,8,0,47,0,5.87,4,1,v Afghanistan,Wankhede,07-Nov-23
86,8,0,56,0,7,2,1,v Bangladesh,Pune,11-Nov-23
87,9.4,0,51,3,5.27,3,1,v South Africa,Eden Gardens,16-Nov-23
88,10,0,34,2,3.4,4,1,v India,Ahmedabad,19-Nov-23
