,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
1,7,0,41,1,5.85,3,2,v England,Southampton,22-Jun-10
2,2,0,6,0,3,3,1,v England,Birmingham,11-Sep-13
3,10,0,50,1,5,2,2,v South Africa,Perth,14-Nov-14
4,9.4,2,31,5,3.2,2,2,v South Africa,Perth,16-Nov-14
5,9.3,0,51,3,5.36,2,2,v South Africa,Canberra,19-Nov-14
6,9,1,52,0,5.77,1,1,v South Africa,Sydney,23-Nov-14
7,5,0,25,0,5,2,1,v India,Sydney,26-Jan-15
8,6.1,2,13,2,2.1,2,2,v England,Perth,01-Feb-15
9,6.5,0,45,0,6.58,2,2,v England,Melbourne,14-Feb-15
10,8,1,25,2,3.12,2,2,v Afghanistan,Perth,04-Mar-15
11,10,1,35,4,3.5,2,1,v Pakistan,Adelaide,20-Mar-15
12,10,1,41,1,4.1,2,2,v India,Sydney,26-Mar-15
13,8,2,30,0,3.75,2,1,v New Zealand,Melbourne,29-Mar-15
14,10,0,41,1,4.1,1,1,v India,Perth,12-Jan-16
15,10,1,68,2,6.8,1,1,v New Zealand,Auckland,03-Feb-16
16,10,0,61,3,6.1,1,1,v New Zealand,Wellington,06-Feb-16
17,10,0,45,2,4.5,1,1,v New Zealand,Hamilton,08-Feb-16
18,3,0,13,0,4.33,2,1,v West Indies,Providence,05-Jun-16
19,10,3,20,2,2,1,1,v South Africa,Providence,07-Jun-16
20,9.4,0,52,3,5.37,2,2,v South Africa,Basseterre,11-Jun-16
21,9,0,46,0,5.11,1,2,v West Indies,Basseterre,13-Jun-16
22,DNB,-,-,-,-,-,1,v South Africa,Bridgetown,19-Jun-16
23,10,3,40,1,4,2,1,v West Indies,Bridgetown,21-Jun-16
24,9.4,1,50,5,5.17,2,2,v West Indies,Bridgetown,26-Jun-16
25,10,0,56,0,5.6,2,1,v Sri Lanka,Colombo (RPS),21-Aug-16
26,10,0,51,1,5.1,2,1,v Sri Lanka,Dambulla,28-Aug-16
27,10,0,49,3,4.9,2,2,v New Zealand,Sydney,04-Dec-16
28,9,1,42,2,4.66,2,2,v New Zealand,Canberra,06-Dec-16
29,7,1,22,1,3.14,2,2,v New Zealand,Melbourne,09-Dec-16
30,10,2,32,0,3.2,2,2,v Pakistan,Melbourne,15-Jan-17
31,10,0,32,3,3.2,1,1,v Pakistan,Perth,19-Jan-17
32,8.5,0,54,3,6.11,2,2,v Pakistan,Sydney,22-Jan-17
33,10,0,74,1,7.4,2,2,v Pakistan,Adelaide,26-Jan-17
34,10,0,48,1,4.8,2,1,v New Zealand,Auckland,30-Jan-17
35,10,0,44,2,4.4,2,1,v New Zealand,Hamilton,05-Feb-17
36,9,0,52,6,5.77,2,1,v New Zealand,Birmingham,02-Jun-17
37,10,0,40,1,4,2,1,v Bangladesh,The Oval,05-Jun-17
38,9,0,50,2,5.55,2,2,v England,Birmingham,10-Jun-17
39,10,0,58,2,5.8,2,1,v England,Sydney,21-Jan-18
40,10,0,39,3,3.9,1,1,v England,Adelaide,26-Jan-18
41,9,0,51,0,5.66,2,1,v England,Perth,28-Jan-18
42,8,2,41,0,5.12,1,2,v South Africa,Perth,04-Nov-18
43,10,0,42,2,4.2,2,2,v South Africa,Adelaide,09-Nov-18
44,10,1,53,1,5.3,2,1,v South Africa,Hobart,11-Nov-18
45,9.3,1,55,1,5.78,3,2,v India,Bengaluru,19-Jan-20
46,10,0,63,1,6.3,2,1,v South Africa,Paarl,29-Feb-20
47,10,1,37,2,3.7,2,2,v South Africa,Potchefstroom,07-Mar-20
48,10,0,37,2,3.7,2,2,v New Zealand,Sydney,13-Mar-20
49,10,3,26,3,2.6,2,2,v England,Manchester,11-Sep-20
50,10,2,27,1,2.7,2,1,v England,Manchester,13-Sep-20
51,10,0,68,0,6.8,2,1,v England,Manchester,16-Sep-20
52,10,0,55,3,5.5,2,2,v India,Sydney,27-Nov-20
53,9,0,59,2,6.55,2,2,v India,Sydney,29-Nov-20
54,10,1,66,1,6.6,1,1,v India,Canberra,02-Dec-20
55,6,1,11,3,1.83,2,2,v West Indies,Bridgetown,20-Jul-21
56,8,1,18,2,2.25,2,1,v West Indies,Bridgetown,26-Jul-21
57,10,0,54,1,5.4,1,1,v Sri Lanka,Pallekele,14-Jun-22
58,7,1,26,0,3.71,1,1,v Sri Lanka,Pallekele,16-Jun-22
59,9.3,0,57,1,6,1,2,v Sri Lanka,Colombo (RPS),19-Jun-22
60,10,0,45,0,4.5,1,1,v Sri Lanka,Colombo (RPS),21-Jun-22
61,7,3,22,2,3.14,1,1,v Sri Lanka,Colombo (RPS),24-Jun-22
62,10,1,36,0,3.6,2,1,v Zimbabwe,Townsville,28-Aug-22
63,6,2,16,1,2.66,2,1,v Zimbabwe,Townsville,31-Aug-22
64,10,2,30,3,3,2,2,v Zimbabwe,Townsville,03-Sep-22
65,10,1,31,3,3.1,2,1,v New Zealand,Cairns,06-Sep-22
66,6,2,11,0,1.83,2,2,v New Zealand,Cairns,08-Sep-22
67,10,0,51,1,5.1,2,2,v New Zealand,Cairns,11-Sep-22
68,7,1,33,2,4.71,2,2,v England,Sydney,19-Nov-22
69,7,0,21,1,3,1,2,v England,Melbourne,22-Nov-22
70,10,2,41,3,4.1,1,1,v South Africa,Bloemfontein,07-Sep-23
71,9,0,74,0,8.22,1,1,v South Africa,Potchefstroom,12-Sep-23
72,10,0,79,2,7.9,1,1,v South Africa,Centurion,15-Sep-23
73,10,0,62,1,6.2,2,1,v India,Indore,24-Sep-23
74,8,0,42,2,5.25,2,2,v India,Rajkot,27-Sep-23
75,9,1,38,3,4.22,2,2,v India,Chennai,08-Oct-23
76,9,0,60,1,6.66,2,1,v South Africa,Lucknow,12-Oct-23
77,7,1,36,0,5.14,2,1,v Sri Lanka,Lucknow,16-Oct-23
78,10,1,37,1,3.7,2,2,v Pakistan,Bengaluru,20-Oct-23
79,6,0,27,1,4.5,2,2,v Netherlands,Delhi,25-Oct-23
80,9,0,70,2,7.77,2,2,v New Zealand,Dharamsala,28-Oct-23
81,9.1,1,49,2,5.34,2,2,v England,Ahmedabad,04-Nov-23
82,9,0,39,2,4.33,2,1,v Afghanistan,Wankhede,07-Nov-23
83,7,1,21,0,3,1,1,v Bangladesh,Pune,11-Nov-23
84,8,3,12,2,1.5,2,1,v South Africa,Eden Gardens,16-Nov-23
85,10,0,60,2,6,2,1,v India,Ahmedabad,19-Nov-23
86,8,0,43,3,5.37,1,2,v West Indies,Sydney,04-Feb-24
