,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
1,6,0,40,0,6.66,5,1,v Sri Lanka,Colombo (RPS),08-Feb-09
2,7,1,34,0,4.85,4,2,v West Indies,Kingston,26-Jun-09
3,2,0,12,0,6,7,2,v West Indies,Kingston,28-Jun-09
4,9,0,39,1,4.33,5,1,v Australia,Vadodara,25-Oct-09
5,6.3,0,35,3,5.38,6,2,v Australia,Nagpur,28-Oct-09
6,9,1,41,2,4.55,4,1,v Australia,Delhi,31-Oct-09
7,7,0,27,0,3.85,4,1,v Australia,Mohali,02-Nov-09
8,5,0,44,0,8.8,4,1,v Australia,Hyderabad,05-Nov-09
9,10,1,36,0,3.6,4,2,v Australia,Guwahati,08-Nov-09
10,8,0,73,0,9.12,4,2,v Sri Lanka,Rajkot,15-Dec-09
11,9.1,0,42,0,4.58,5,2,v Sri Lanka,Nagpur,18-Dec-09
12,10,0,32,4,3.2,6,1,v Sri Lanka,Cuttack,21-Dec-09
13,9,1,51,0,5.66,5,1,v Sri Lanka,Eden Gardens,24-Dec-09
14,DNB,-,-,-,-,-,1,v Sri Lanka,Delhi,27-Dec-09
15,4,0,31,0,7.75,6,2,v Sri Lanka,Mirpur,05-Jan-10
16,9,0,45,1,5,6,1,v Bangladesh,Mirpur,07-Jan-10
17,6,1,21,0,3.5,5,1,v Sri Lanka,Mirpur,10-Jan-10
18,6,1,23,0,3.83,6,1,v Bangladesh,Mirpur,11-Jan-10
19,7,0,29,1,4.14,7,2,v Sri Lanka,Mirpur,13-Jan-10
20,10,2,29,2,2.9,4,2,v South Africa,Jaipur,21-Feb-10
21,8.5,0,41,2,4.64,4,2,v South Africa,Gwalior,24-Feb-10
22,10,0,53,1,5.3,4,1,v South Africa,Ahmedabad,27-Feb-10
23,10,0,51,1,5.1,5,2,v Zimbabwe,Bulawayo,28-May-10
24,10,1,49,2,4.9,5,1,v Sri Lanka,Bulawayo,30-May-10
25,7,0,27,2,3.85,5,2,v Zimbabwe,Harare,03-Jun-10
26,10,0,54,0,5.4,5,2,v Sri Lanka,Harare,05-Jun-10
27,8,0,27,1,3.37,5,1,v Bangladesh,Dambulla,16-Jun-10
28,10,0,43,1,4.3,6,1,v Pakistan,Dambulla,19-Jun-10
