,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
1,10,0,72,1,7.2,4,1,v England,Southampton,27-May-17
2,6.1,0,25,3,4.05,4,1,v England,Lord's,29-May-17
3,5,0,37,1,7.4,6,1,v Sri Lanka,Pallekele,08-Aug-18
4,10,0,32,1,3.2,5,1,v Sri Lanka,Colombo (RPS),12-Aug-18
5,10,0,48,1,4.8,1,2,v Australia,Paarl,29-Feb-20
6,10,0,53,0,5.3,1,1,v Australia,Bloemfontein,04-Mar-20
7,10,0,45,0,4.5,5,1,v Australia,Potchefstroom,07-Mar-20
8,10,1,45,3,4.5,6,1,v Pakistan,Centurion,07-Apr-21
9,9,0,38,0,4.22,4,1,v Ireland,Dublin (Malahide),11-Jul-21
10,10,0,50,1,5,4,1,v Ireland,Dublin (Malahide),13-Jul-21
11,10,1,51,2,5.1,1,2,v Ireland,Dublin (Malahide),16-Jul-21
12,10,1,30,2,3,3,1,v Sri Lanka,Colombo (RPS),02-Sep-21
13,8,0,32,1,4,3,2,v Sri Lanka,Colombo (RPS),04-Sep-21
14,10,0,38,3,3.8,2,1,v Sri Lanka,Colombo (RPS),07-Sep-21
15,1,0,6,0,6,1,2,v Netherlands,Centurion,26-Nov-21
16,10,0,42,1,4.2,3,2,v India,Paarl,19-Jan-22
17,9,0,52,1,5.77,4,1,v India,Paarl,21-Jan-22
18,10,0,39,1,3.9,4,2,v India,Cape Town,23-Jan-22
19,10,0,56,2,5.6,4,1,v Bangladesh,Centurion,18-Mar-22
20,10,0,57,0,5.7,6,1,v Bangladesh,Johannesburg,20-Mar-22
21,7,0,36,1,5.14,3,2,v Bangladesh,Centurion,23-Mar-22
22,10,1,42,1,4.2,1,2,v England,Chester-le-Street,19-Jul-22
23,6,0,29,1,4.83,1,1,v England,Manchester,22-Jul-22
24,TDNB,-,-,-,-,-,-,v England,Leeds,24-Jul-22
25,8,1,23,1,2.87,3,2,v India,Lucknow,06-Oct-22
26,7,0,45,0,6.42,5,2,v India,Ranchi,09-Oct-22
27,8,0,51,1,6.37,5,1,v England,Bloemfontein,29-Jan-23
28,9,0,38,1,4.22,5,2,v Australia,Bloemfontein,07-Sep-23
29,10,2,37,2,3.7,6,2,v Australia,Potchefstroom,12-Sep-23
30,5,1,27,1,5.4,5,2,v Australia,Centurion,15-Sep-23
31,9.1,2,33,4,3.6,5,2,v Australia,Johannesburg,17-Sep-23
32,10,0,62,2,6.2,4,2,v Sri Lanka,Delhi,07-Oct-23
33,10,0,30,2,3,4,2,v Australia,Lucknow,12-Oct-23
34,9,0,38,1,4.22,5,1,v Netherlands,Dharamsala,17-Oct-23
35,2,0,27,1,13.5,5,2,v England,Wankhede,21-Oct-23
36,10,0,32,1,3.2,5,2,v Bangladesh,Wankhede,24-Oct-23
37,9,0,56,0,6.22,4,1,v Pakistan,Chennai,27-Oct-23
38,9,0,46,4,5.11,5,2,v New Zealand,Pune,01-Nov-23
39,10,0,30,1,3,4,1,v India,Eden Gardens,05-Nov-23
40,10,1,25,2,2.5,5,1,v Afghanistan,Ahmedabad,10-Nov-23
41,10,0,24,1,2.4,6,2,v Australia,Eden Gardens,16-Nov-23
42,3,0,19,0,6.33,3,2,v India,Johannesburg,17-Dec-23
43,10,0,51,2,5.1,5,1,v India,Gqeberha,19-Dec-23
44,10,2,37,1,3.7,5,1,v India,Paarl,21-Dec-23
