,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
1,8,0,36,0,4.5,5,2,v Sri Lanka,Adelaide,08-Mar-12
2,8,2,41,1,5.12,5,2,v West Indies,Kingstown,20-Mar-12
3,7,1,42,2,6,5,2,v Zimbabwe,Harare,25-Aug-14
4,10,1,44,4,4.4,5,2,v Zimbabwe,Harare,31-Aug-14
5,10,0,53,1,5.3,6,2,v South Africa,Harare,02-Sep-14
6,10,1,41,0,4.1,6,2,v South Africa,Harare,06-Sep-14
7,10,2,33,2,3.3,5,2,v Pakistan,Sharjah,07-Oct-14
8,10,0,40,1,4,5,1,v Pakistan,Dubai (DICS),10-Oct-14
9,10,0,76,1,7.6,1,2,v India,Canberra,20-Jan-16
10,8,0,58,0,7.25,5,2,v India,Sydney,23-Jan-16
11,10,2,39,3,3.9,3,1,v West Indies,Providence,05-Jun-16
12,10,0,40,1,4,3,1,v South Africa,Providence,07-Jun-16
13,9,0,49,1,5.44,2,1,v Sri Lanka,Colombo (RPS),24-Aug-16
14,7,0,38,1,5.42,3,2,v England,Chester-le-Street,21-Jun-18
15,10,0,32,0,3.2,3,2,v England,Manchester,24-Jun-18
16,10,1,50,0,5,4,2,v India,Sydney,12-Jan-19
17,10,0,59,0,5.9,4,2,v India,Adelaide,15-Jan-19
18,10,0,42,1,4.2,5,1,v India,Nagpur,05-Mar-19
19,10,0,57,1,5.7,4,2,v India,Ranchi,08-Mar-19
20,10,1,34,1,3.4,4,2,v India,Delhi,13-Mar-19
21,10,0,38,1,3.8,3,1,v Pakistan,Sharjah,22-Mar-19
22,10,0,64,1,6.4,4,1,v Pakistan,Sharjah,24-Mar-19
23,10,0,48,1,4.8,4,2,v Pakistan,Abu Dhabi,27-Mar-19
24,10,0,49,1,4.9,4,2,v Pakistan,Dubai (DICS),29-Mar-19
25,10,0,50,1,5,3,2,v Pakistan,Dubai (DICS),31-Mar-19
26,9,0,43,0,4.77,4,2,v England,Lord's,25-Jun-19
27,10,0,36,1,3.6,4,2,v New Zealand,Lord's,29-Jun-19
28,10,0,53,2,5.3,3,1,v South Africa,Manchester,06-Jul-19
29,5,0,49,0,9.8,4,2,v England,Birmingham,11-Jul-19
