,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
1,10,2,30,1,3,5,2,v Zimbabwe,Bulawayo,18-Oct-15
2,10,0,45,0,4.5,5,2,v Zimbabwe,Bulawayo,20-Oct-15
3,10,0,37,2,3.7,5,1,v Zimbabwe,Bulawayo,22-Oct-15
4,7.1,0,24,2,3.34,5,2,v Zimbabwe,Bulawayo,24-Oct-15
5,10,1,36,1,3.6,5,1,v Zimbabwe,Sharjah,02-Jan-16
6,10,0,43,3,4.3,5,1,v Zimbabwe,Sharjah,04-Jan-16
7,10,0,59,2,5.9,5,1,v Zimbabwe,Sharjah,06-Jan-16
8,TDNB,-,-,-,-,-,-,v Scotland,Edinburgh,04-Jul-16
9,6,1,19,2,3.16,4,2,v Scotland,Edinburgh,06-Jul-16
10,10,0,28,3,2.8,5,2,v Ireland,Belfast,12-Jul-16
11,10,0,44,0,4.4,5,2,v Ireland,Belfast,14-Jul-16
12,8,1,21,4,2.62,6,2,v Ireland,Belfast,17-Jul-16
13,10,0,68,0,6.8,6,1,v Ireland,Belfast,19-Jul-16
14,10,0,37,2,3.7,5,1,v Bangladesh,Mirpur,25-Sep-16
15,10,2,35,3,3.5,5,1,v Bangladesh,Mirpur,28-Sep-16
16,10,0,39,2,3.9,5,1,v Bangladesh,Mirpur,01-Oct-16
17,4.2,0,17,1,3.92,5,2,v Zimbabwe,Harare,16-Feb-17
18,7.1,0,25,3,3.48,5,2,v Zimbabwe,Harare,19-Feb-17
19,5.4,0,29,3,5.11,5,1,v Zimbabwe,Harare,21-Feb-17
20,7,0,27,1,3.85,4,2,v Zimbabwe,Harare,24-Feb-17
21,2,0,8,2,4,5,2,v Zimbabwe,Harare,26-Feb-17
22,9,0,48,4,5.33,5,2,v Ireland,Greater Noida,15-Mar-17
23,9.3,0,43,6,4.52,6,2,v Ireland,Greater Noida,17-Mar-17
24,10,1,44,0,4.4,6,2,v Ireland,Greater Noida,19-Mar-17
25,9,1,50,2,5.55,6,2,v Ireland,Greater Noida,22-Mar-17
26,10,1,29,4,2.9,5,1,v Ireland,Greater Noida,24-Mar-17
27,8.4,1,18,7,2.07,6,2,v West Indies,Gros Islet,09-Jun-17
28,10,1,26,3,2.6,3,2,v West Indies,Gros Islet,11-Jun-17
29,TDNB,-,-,-,-,-,-,v West Indies,Gros Islet,14-Jun-17
30,6.4,0,28,3,4.2,5,2,v Ireland,Sharjah,05-Dec-17
31,10,0,40,2,4,5,1,v Ireland,Sharjah,07-Dec-17
32,9,1,17,2,1.88,4,2,v Ireland,Sharjah,10-Dec-17
33,5.4,0,26,4,4.58,5,2,v Zimbabwe,Sharjah,09-Feb-18
34,10,1,36,2,3.6,4,1,v Zimbabwe,Sharjah,11-Feb-18
35,8.3,1,24,5,2.82,5,1,v Zimbabwe,Sharjah,13-Feb-18
36,10,2,28,2,2.8,5,1,v Zimbabwe,Sharjah,16-Feb-18
37,5.1,1,13,3,2.51,5,2,v Zimbabwe,Sharjah,19-Feb-18
38,9,0,68,1,7.55,6,2,v Scotland,Bulawayo,04-Mar-18
39,8,0,38,3,4.75,6,1,v Zimbabwe,Bulawayo,06-Mar-18
40,10,1,39,0,3.9,4,1,v Hong Kong,Bulawayo,08-Mar-18
41,10,1,31,1,3.1,6,1,v West Indies,Harare,15-Mar-18
42,9,0,41,5,4.55,6,1,v U.A.E.,Harare,20-Mar-18
43,10,0,40,3,4,6,1,v Ireland,Harare,23-Mar-18
44,9,0,42,1,4.66,6,1,v West Indies,Harare,25-Mar-18
45,9.3,0,41,2,4.31,5,2,v Ireland,Belfast,27-Aug-18
46,10,0,37,3,3.7,5,2,v Ireland,Belfast,29-Aug-18
47,8,2,18,3,2.25,4,1,v Ireland,Belfast,31-Aug-18
48,7.2,0,26,2,3.54,5,2,v Sri Lanka,Abu Dhabi,17-Sep-18
49,9,3,13,2,1.44,6,2,v Bangladesh,Abu Dhabi,20-Sep-18
50,10,0,46,3,4.6,5,2,v Pakistan,Abu Dhabi,21-Sep-18
51,10,0,46,1,4.6,5,1,v Bangladesh,Abu Dhabi,23-Sep-18
52,9.5,0,41,2,4.16,5,2,v India,Dubai (DICS),25-Sep-18
53,10,0,30,1,3,5,1,v Ireland,Dehradun,28-Feb-19
54,TDNB,-,-,-,-,-,-,v Ireland,Dehradun,02-Mar-19
55,9,0,44,1,4.88,5,2,v Ireland,Dehradun,05-Mar-19
56,6,0,22,2,3.66,5,2,v Ireland,Dehradun,08-Mar-19
57,10,0,41,1,4.1,5,2,v Ireland,Dehradun,10-Mar-19
58,10,0,41,2,4.1,5,1,v Ireland,Belfast,19-May-19
59,9,0,31,0,3.44,5,2,v Ireland,Belfast,21-May-19
60,8,0,52,1,6.5,6,2,v Australia,Bristol,01-Jun-19
61,7.5,1,17,2,2.17,6,1,v Sri Lanka,Cardiff,04-Jun-19
62,DNB,-,-,-,-,-,2,v New Zealand,Taunton,08-Jun-19
63,7,0,45,0,6.42,3,2,v South Africa,Cardiff,15-Jun-19
64,9,0,110,0,12.22,6,1,v England,Manchester,18-Jun-19
65,10,0,38,1,3.8,5,1,v India,Southampton,22-Jun-19
66,10,0,52,0,5.2,5,1,v Bangladesh,Southampton,24-Jun-19
67,10,0,50,1,5,5,2,v Pakistan,Leeds,29-Jun-19
68,10,0,52,1,5.2,6,1,v West Indies,Leeds,04-Jul-19
69,10,0,43,0,4.3,3,2,v West Indies,Lucknow,06-Nov-19
70,10,0,45,1,4.5,5,1,v West Indies,Lucknow,09-Nov-19
71,10,0,46,1,4.6,5,2,v West Indies,Lucknow,11-Nov-19
72,10,0,56,2,5.6,5,2,v Ireland,Abu Dhabi,21-Jan-21
73,10,1,49,1,4.9,6,1,v Ireland,Abu Dhabi,24-Jan-21
74,9,0,29,4,3.22,5,2,v Ireland,Abu Dhabi,26-Jan-21
75,9,0,31,3,3.44,5,2,v Netherlands,Doha,21-Jan-22
76,9,0,31,1,3.44,6,2,v Netherlands,Doha,23-Jan-22
77,9,0,37,2,4.11,6,2,v Netherlands,Doha,25-Jan-22
78,10,1,30,1,3,4,2,v Bangladesh,Chattogram,23-Feb-22
79,10,0,54,1,5.4,5,1,v Bangladesh,Chattogram,25-Feb-22
80,10,0,37,3,3.7,5,1,v Bangladesh,Chattogram,28-Feb-22
81,10,0,39,2,3.9,5,2,v Zimbabwe,Harare,04-Jun-22
82,10,0,56,2,5.6,6,1,v Zimbabwe,Harare,06-Jun-22
83,7.5,0,31,3,3.95,5,1,v Zimbabwe,Harare,09-Jun-22
84,8,0,40,1,5,5,2,v Sri Lanka,Pallekele,25-Nov-22
85,DNB,-,-,-,-,-,2,v Sri Lanka,Pallekele,27-Nov-22
86,10,0,37,4,3.7,5,2,v Sri Lanka,Pallekele,30-Nov-22
87,4,0,21,0,5.25,4,2,v Sri Lanka,Hambantota,07-Jun-23
88,9,0,21,2,2.33,6,1,v Bangladesh,Chattogram,05-Jul-23
89,9,0,28,2,3.11,5,2,v Bangladesh,Chattogram,08-Jul-23
90,10,0,42,2,4.2,5,1,v Pakistan,Hambantota,22-Aug-23
91,10,0,53,0,5.3,5,2,v Pakistan,Hambantota,24-Aug-23
92,10,1,42,1,4.2,4,1,v Pakistan,Colombo (RPS),26-Aug-23
93,10,1,66,0,6.6,6,1,v Bangladesh,Lahore,03-Sep-23
94,10,0,63,2,6.3,5,1,v Sri Lanka,Lahore,05-Sep-23
95,9,0,48,0,5.33,4,2,v Bangladesh,Dharamsala,07-Oct-23
96,8,0,57,2,7.12,6,2,v India,Delhi,11-Oct-23
97,9.3,1,37,3,3.89,5,2,v England,Delhi,15-Oct-23
98,10,0,43,1,4.3,5,1,v New Zealand,Chennai,18-Oct-23
99,10,0,41,0,4.1,5,1,v Pakistan,Chennai,23-Oct-23
100,10,0,50,1,5,5,1,v Sri Lanka,Pune,30-Oct-23
