,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
1,10,1,29,2,2.9,3,1,v Bermuda,King City (NW),20-Aug-08
2,8,0,49,1,6.12,4,2,v Canada,King City (NW),22-Aug-08
3,10,0,44,5,4.4,1,1,v Bangladesh,Roseau,26-Jul-09
4,7.5,0,55,1,7.02,1,2,v Bangladesh,Roseau,28-Jul-09
5,9.5,1,63,4,6.4,1,2,v Bangladesh,Basseterre,31-Jul-09
6,10,0,73,2,7.3,1,1,v Australia,Johannesburg,26-Sep-09
7,6,1,27,1,4.5,1,2,v India,Johannesburg,30-Sep-09
8,10,1,41,1,4.1,1,1,v Australia,Melbourne,07-Feb-10
9,6,0,44,1,7.33,1,2,v Australia,Adelaide,09-Feb-10
10,9,0,34,1,3.77,1,1,v Zimbabwe,Providence,04-Mar-10
11,9.5,0,37,3,3.76,1,1,v Zimbabwe,Providence,06-Mar-10
12,9,1,28,3,3.11,1,2,v Zimbabwe,Kingstown,10-Mar-10
13,7.2,0,30,1,4.09,1,1,v Zimbabwe,Kingstown,12-Mar-10
14,TDNB,-,-,-,-,-,-,v Sri Lanka,Colombo (SSC),31-Jan-11
15,8,0,29,0,3.62,2,2,v Sri Lanka,Colombo (SSC),03-Feb-11
16,8,0,42,1,5.25,2,2,v South Africa,Delhi,24-Feb-11
17,8.3,0,27,6,3.17,2,2,v Netherlands,Delhi,28-Feb-11
18,6,0,19,3,3.16,1,1,v Bangladesh,Mirpur,04-Mar-11
19,8,0,34,1,4.25,1,2,v Ireland,Mohali,11-Mar-11
20,9.4,2,34,2,3.51,1,1,v England,Chennai,17-Mar-11
21,5.5,0,39,0,6.68,1,2,v Pakistan,Mirpur,23-Mar-11
22,9.3,0,58,0,6.1,1,2,v Pakistan,Gros Islet,23-Apr-11
23,9,1,43,0,4.77,1,2,v Pakistan,Gros Islet,25-Apr-11
24,9,0,36,0,4,1,2,v Pakistan,Bridgetown,28-Apr-11
25,10,0,67,2,6.7,1,1,v Pakistan,Bridgetown,02-May-11
26,8.2,0,46,0,5.52,1,2,v India,North Sound,11-Jun-11
27,8,1,22,0,2.75,1,2,v India,North Sound,13-Jun-11
28,10,0,52,2,5.2,1,1,v India,Kingston,16-Jun-11
29,8,0,48,0,6,2,2,v Bangladesh,Mirpur,13-Oct-11
30,10,1,49,3,4.9,2,1,v Bangladesh,Mirpur,15-Oct-11
31,5,0,16,1,3.2,1,2,v Bangladesh,Chattogram,18-Oct-11
32,10,0,46,3,4.6,1,2,v India,Cuttack,29-Nov-11
33,10,0,40,2,4,2,2,v India,Visakhapatnam,02-Dec-11
34,10,0,54,1,5.4,1,2,v India,Ahmedabad,05-Dec-11
35,10,0,88,1,8.8,1,1,v India,Indore,08-Dec-11
36,8,0,46,2,5.75,1,1,v India,Chennai,11-Dec-11
37,10,1,33,2,3.3,1,1,v Australia,Kingstown,16-Mar-12
38,8,3,23,2,2.87,1,1,v Australia,Kingstown,18-Mar-12
39,10,0,42,2,4.2,1,1,v Australia,Kingstown,20-Mar-12
40,9.3,0,74,2,7.78,1,2,v Australia,Gros Islet,23-Mar-12
41,9,0,53,3,5.88,1,1,v Australia,Gros Islet,25-Mar-12
42,7,0,48,0,6.85,3,2,v Bangladesh,Khulna,30-Nov-12
43,8,0,29,2,3.62,1,2,v Bangladesh,Mirpur,07-Dec-12
44,9,0,56,5,6.22,1,2,v Bangladesh,Mirpur,08-Dec-12
45,2,0,29,0,14.5,1,2,v Australia,Perth,01-Feb-13
46,10,0,51,1,5.1,1,1,v Australia,Perth,03-Feb-13
47,9,1,72,1,8,1,1,v Australia,Canberra,06-Feb-13
48,10,0,52,1,5.2,3,1,v Australia,Melbourne,10-Feb-13
49,8,1,15,1,1.87,1,2,v Zimbabwe,St George's,22-Feb-13
50,10,1,63,1,6.3,1,1,v Zimbabwe,St George's,24-Feb-13
51,7,3,15,0,2.14,1,1,v Zimbabwe,St George's,26-Feb-13
52,10,4,28,3,2.8,1,1,v Pakistan,The Oval,07-Jun-13
53,6,0,47,0,7.83,1,2,v India,The Oval,11-Jun-13
54,7,1,41,0,5.85,1,1,v Sri Lanka,Kingston,28-Jun-13
55,10,2,41,2,4.1,1,1,v India,Kingston,30-Jun-13
56,10,2,69,1,6.9,2,1,v India,Port of Spain,05-Jul-13
57,8,2,27,4,3.37,1,1,v Sri Lanka,Port of Spain,07-Jul-13
58,10,0,38,2,3.8,1,1,v Pakistan,Providence,14-Jul-13
59,6,4,14,1,2.33,1,2,v Pakistan,Providence,16-Jul-13
60,10,1,35,1,3.5,1,1,v Pakistan,Gros Islet,19-Jul-13
61,6,1,33,1,5.5,2,2,v Pakistan,Gros Islet,21-Jul-13
62,10,0,48,0,4.8,1,1,v Bangladesh,St George's,20-Aug-14
63,6,2,19,3,3.16,3,2,v Bangladesh,St George's,22-Aug-14
64,9,0,48,1,5.33,4,2,v Bangladesh,Basseterre,25-Aug-14
65,6,0,52,0,8.66,2,2,v Ireland,Nelson,16-Feb-15
66,8,1,44,1,5.5,3,2,v India,Perth,06-Mar-15
67,8,0,54,0,6.75,3,1,v U.A.E.,Napier,15-Mar-15
68,10,0,60,1,6,2,2,v U.A.E.,Harare,06-Mar-18
69,10,3,27,4,2.7,1,2,v Ireland,Harare,10-Mar-18
70,10,0,55,3,5.5,1,1,v Zimbabwe,Harare,19-Mar-18
71,7,2,20,2,2.85,1,2,v Scotland,Harare,21-Mar-18
72,5,0,24,0,4.8,1,2,v Afghanistan,Harare,25-Mar-18
73,7,0,52,0,7.42,1,2,v India,Guwahati,21-Oct-18
74,10,0,67,1,6.7,2,1,v India,Visakhapatnam,24-Oct-18
75,10,0,48,1,4.8,1,2,v India,Pune,27-Oct-18
76,10,0,74,2,7.4,1,1,v India,Brabourne,29-Oct-18
77,5,2,13,0,2.6,1,2,v India,Thiruvananthapuram,01-Nov-18
78,6,0,35,0,5.83,1,2,v Bangladesh,Mirpur,09-Dec-18
79,10,0,39,1,3.9,1,1,v Bangladesh,Mirpur,11-Dec-18
80,3,0,16,0,5.33,1,2,v Bangladesh,Sylhet,14-Dec-18
81,7,0,28,2,4,2,2,v Ireland,Dublin,05-May-19
82,7,0,30,0,4.28,2,2,v Bangladesh,Dublin,07-May-19
83,10,2,62,0,6.2,2,1,v Ireland,Dublin (Malahide),11-May-19
84,6,0,46,1,7.66,1,2,v Bangladesh,Dublin (Malahide),13-May-19
85,5,0,57,0,11.4,3,2,v Bangladesh,Dublin (Malahide),17-May-19
86,3,0,10,0,3.33,2,1,v South Africa,Southampton,10-Jun-19
87,10,2,38,0,3.8,2,1,v New Zealand,Manchester,22-Jun-19
88,10,0,36,3,3.6,2,1,v India,Manchester,27-Jun-19
89,10,2,37,3,3.7,2,2,v Afghanistan,Leeds,04-Jul-19
90,TDNB,-,-,-,-,-,-,v India,Providence,08-Aug-19
91,7,0,54,0,7.71,2,1,v India,Port of Spain,11-Aug-19
92,7,0,53,1,7.57,1,2,v India,Port of Spain,14-Aug-19
93,5,0,41,0,8.2,1,2,v India,Ahmedabad,06-Feb-22
94,8,0,42,1,5.25,1,1,v India,Ahmedabad,09-Feb-22
95,7,0,39,0,5.57,1,1,v India,Ahmedabad,11-Feb-22
