,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
1,10,0,39,1,3.9,5,1,v Zimbabwe,Harare,06-Aug-06
2,10,1,32,2,3.2,6,1,v Kenya,Nairobi (Gym),12-Aug-06
3,6.3,1,26,1,4,6,1,v Kenya,Nairobi (Gym),13-Aug-06
4,8,0,28,0,3.5,6,1,v Kenya,Nairobi (Gym),15-Aug-06
5,2,0,23,0,11.5,6,1,v Sri Lanka,Mohali,07-Oct-06
6,5,0,12,0,2.4,5,2,v West Indies,Jaipur,11-Oct-06
7,10,1,18,3,1.8,5,2,v Zimbabwe,Jaipur,13-Oct-06
8,10,2,30,2,3,5,1,v Zimbabwe,Khulna,30-Nov-06
9,10,0,44,2,4.4,5,1,v Zimbabwe,Bogra,03-Dec-06
10,10,0,40,0,4,5,2,v Zimbabwe,Bogra,05-Dec-06
11,10,1,32,2,3.2,5,1,v Zimbabwe,Mirpur,08-Dec-06
12,7,0,29,0,4.14,4,1,v Zimbabwe,Mirpur,09-Dec-06
13,10,4,13,1,1.3,5,1,v Scotland,Chattogram,15-Dec-06
14,4,0,8,1,2,5,2,v Scotland,Mirpur,17-Dec-06
15,10,0,40,1,4,5,2,v Zimbabwe,Harare,04-Feb-07
16,6,0,27,1,4.5,5,2,v Zimbabwe,Harare,06-Feb-07
17,10,0,29,1,2.9,5,2,v Zimbabwe,Harare,09-Feb-07
18,10,0,42,1,4.2,6,1,v Zimbabwe,Harare,10-Feb-07
19,8,1,36,1,4.5,4,1,v Bermuda,St John's,25-Feb-07
20,10,1,36,2,3.6,6,2,v Canada,St John's,28-Feb-07
21,10,0,44,0,4.4,4,1,v India,Port of Spain,17-Mar-07
22,10,0,49,1,4.9,5,1,v Sri Lanka,Port of Spain,21-Mar-07
23,3,0,12,2,4,5,1,v Bermuda,Port of Spain,25-Mar-07
24,0.5,0,14,0,16.8,6,2,v Australia,North Sound,31-Mar-07
25,3,0,33,0,11,5,2,v New Zealand,North Sound,02-Apr-07
26,10,0,49,2,4.9,5,2,v South Africa,Providence,07-Apr-07
27,6,0,19,0,3.16,5,2,v England,Bridgetown,11-Apr-07
28,10,0,44,1,4.4,5,1,v Ireland,Bridgetown,15-Apr-07
29,8,0,38,1,4.75,5,1,v West Indies,Bridgetown,19-Apr-07
30,9,0,43,2,4.77,5,2,v India,Mirpur,10-May-07
31,7,0,40,0,5.71,4,1,v India,Mirpur,12-May-07
32,8,0,50,0,6.25,5,1,v Sri Lanka,Colombo (PSS),20-Jul-07
33,DNB,-,-,-,-,-,2,v Sri Lanka,Colombo (RPS),23-Jul-07
34,8,0,43,1,5.37,5,1,v Sri Lanka,Colombo (RPS),25-Jul-07
35,9.4,0,56,3,5.79,5,2,v New Zealand,Auckland,26-Dec-07
36,10,0,55,0,5.5,5,1,v New Zealand,Napier,28-Dec-07
37,1,0,16,0,16,3,2,v New Zealand,Queenstown,31-Dec-07
38,8.5,0,29,1,3.28,5,2,v South Africa,Chattogram,09-Mar-08
39,8,0,28,0,3.5,5,2,v South Africa,Mirpur,12-Mar-08
40,9.2,1,47,0,5.03,3,2,v South Africa,Mirpur,14-Mar-08
41,10,1,38,1,3.8,4,1,v Ireland,Mirpur,18-Mar-08
42,7,0,16,2,2.28,4,2,v Ireland,Mirpur,20-Mar-08
43,10,1,46,2,4.6,5,2,v Ireland,Mirpur,22-Mar-08
44,10,0,52,1,5.2,5,1,v Pakistan,Lahore,08-Apr-08
45,5,0,29,1,5.8,4,2,v Pakistan,Faisalabad,11-Apr-08
46,10,1,50,2,5,5,1,v Pakistan,Lahore,13-Apr-08
47,9,1,34,1,3.77,4,2,v Pakistan,Multan,16-Apr-08
48,10,0,52,0,5.2,4,1,v Pakistan,Karachi,19-Apr-08
49,10,0,46,2,4.6,4,1,v Australia,Darwin,30-Aug-08
50,6.4,0,38,2,5.7,4,2,v Australia,Darwin,03-Sep-08
51,10,0,25,0,2.5,4,1,v Australia,Darwin,06-Sep-08
52,10,0,30,1,3,4,1,v New Zealand,Mirpur,09-Oct-08
53,10,0,20,2,2,5,1,v New Zealand,Mirpur,11-Oct-08
54,10,0,41,2,4.1,4,1,v New Zealand,Chattogram,14-Oct-08
55,10,0,48,2,4.8,3,1,v South Africa,Potchefstroom,07-Nov-08
56,10,0,67,0,6.7,5,1,v South Africa,Benoni,09-Nov-08
57,10,3,23,3,2.3,4,1,v Zimbabwe,Mirpur,10-Jan-09
58,6,0,24,0,4,4,1,v Sri Lanka,Mirpur,14-Jan-09
