,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
1,10,0,76,0,7.6,3,1,v Australia,Adelaide,15-Jan-19
2,8,2,26,1,3.25,1,1,v West Indies,Ahmedabad,06-Feb-22
3,9,1,38,1,4.22,1,2,v West Indies,Ahmedabad,09-Feb-22
4,9,1,29,3,3.22,2,2,v West Indies,Ahmedabad,11-Feb-22
5,9,1,66,2,7.33,2,1,v England,Manchester,17-Jul-22
6,10,0,57,2,5.7,1,2,v West Indies,Port of Spain,22-Jul-22
7,10,1,46,0,4.6,1,1,v West Indies,Port of Spain,24-Jul-22
8,3,0,14,2,4.66,2,2,v West Indies,Port of Spain,27-Jul-22
9,8,2,36,1,4.5,2,1,v Zimbabwe,Harare,18-Aug-22
10,8,2,16,1,2,1,1,v Zimbabwe,Harare,20-Aug-22
11,8,0,49,0,6.12,1,1,v South Africa,Lucknow,06-Oct-22
12,10,1,38,3,3.8,1,1,v South Africa,Ranchi,09-Oct-22
13,5,0,17,2,3.4,2,1,v South Africa,Delhi,11-Oct-22
14,10,1,32,3,3.2,2,2,v Bangladesh,Mirpur,04-Dec-22
15,10,0,73,2,7.3,2,1,v Bangladesh,Mirpur,07-Dec-22
16,5,0,27,1,5.4,1,2,v Bangladesh,Chattogram,10-Dec-22
17,7,1,30,2,4.28,2,2,v Sri Lanka,Guwahati,10-Jan-23
18,5.4,0,30,3,5.29,2,1,v Sri Lanka,Eden Gardens,12-Jan-23
19,10,1,32,4,3.2,2,2,v Sri Lanka,Thiruvananthapuram,15-Jan-23
20,10,2,46,4,4.6,2,2,v New Zealand,Hyderabad,18-Jan-23
21,6,1,10,1,1.66,2,1,v New Zealand,Raipur,21-Jan-23
22,5.4,1,29,3,5.11,2,1,v Australia,Wankhede,17-Mar-23
23,3,0,37,0,12.33,2,2,v Australia,Visakhapatnam,19-Mar-23
24,7,1,37,2,5.28,2,1,v Australia,Chennai,22-Mar-23
25,TDNB,-,-,-,-,-,-,v Pakistan,Pallekele,02-Sep-23
26,9.2,1,61,3,6.53,2,1,v Nepal,Pallekele,04-Sep-23
27,5,0,23,0,4.6,2,2,v Pakistan,Colombo (RPS),10-Sep-23
28,5,2,17,1,3.4,2,2,v Sri Lanka,Colombo (RPS),12-Sep-23
29,7,1,21,6,3,2,1,v Sri Lanka,Colombo (RPS),17-Sep-23
30,9,0,68,1,7.55,2,1,v Australia,Rajkot,27-Sep-23
31,6.3,1,26,1,4,2,1,v Australia,Chennai,08-Oct-23
32,9,0,76,0,8.44,2,1,v Afghanistan,Delhi,11-Oct-23
33,8,0,50,2,6.25,2,1,v Pakistan,Ahmedabad,14-Oct-23
34,10,0,60,2,6,2,1,v Bangladesh,Pune,19-Oct-23
35,10,1,45,1,4.5,2,1,v New Zealand,Dharamsala,22-Oct-23
36,6,0,33,0,5.5,2,2,v England,Lucknow,29-Oct-23
37,7,2,16,3,2.28,2,2,v Sri Lanka,Wankhede,02-Nov-23
38,4,1,11,1,2.75,2,2,v South Africa,Eden Gardens,05-Nov-23
39,6,1,29,2,4.83,2,2,v Netherlands,Bengaluru,12-Nov-23
40,9,0,78,1,8.66,2,2,v New Zealand,Wankhede,15-Nov-23
41,7,0,45,1,6.42,5,2,v Australia,Ahmedabad,19-Nov-23
