,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
1,8.5,0,51,0,5.77,2,2,v India,Visakhapatnam,20-Oct-10
2,9,0,27,4,3,4,1,v Sri Lanka,Brisbane,07-Nov-10
3,6,0,33,2,5.5,2,2,v India,Melbourne,05-Feb-12
4,9.5,0,50,2,5.08,2,2,v Sri Lanka,Perth,10-Feb-12
5,8,0,49,0,6.12,2,2,v India,Adelaide,12-Feb-12
6,4,0,32,0,8,2,2,v Sri Lanka,Sydney,17-Feb-12
7,8,0,36,1,4.5,4,2,v India,Brisbane,19-Feb-12
8,9,1,47,4,5.22,2,2,v Afghanistan,Sharjah,25-Aug-12
9,10,2,42,5,4.2,2,1,v Pakistan,Sharjah,28-Aug-12
10,7.5,0,43,0,5.48,2,2,v Pakistan,Abu Dhabi,31-Aug-12
11,10,0,51,4,5.1,2,1,v Pakistan,Sharjah,03-Sep-12
12,6,0,25,1,4.16,1,2,v Sri Lanka,Melbourne,11-Jan-13
13,7,0,25,2,3.57,2,2,v Sri Lanka,Brisbane,18-Jan-13
14,1.2,0,1,0,0.75,2,2,v Sri Lanka,Sydney,20-Jan-13
15,9,0,48,0,5.33,2,2,v Sri Lanka,Hobart,23-Jan-13
16,6.5,2,20,5,2.92,2,1,v West Indies,Perth,01-Feb-13
17,8,1,32,5,4,2,2,v West Indies,Perth,03-Feb-13
18,7,0,50,1,7.14,2,2,v West Indies,Canberra,06-Feb-13
19,10,0,75,1,7.5,1,1,v England,Birmingham,08-Jun-13
20,6,1,23,2,3.83,2,2,v Zimbabwe,Harare,25-Aug-14
21,8,0,62,2,7.75,2,2,v South Africa,Harare,27-Aug-14
22,10,3,41,2,4.1,1,2,v Zimbabwe,Harare,31-Aug-14
23,8,1,47,0,5.87,4,2,v South Africa,Harare,02-Sep-14
24,4,0,27,0,6.75,4,2,v South Africa,Harare,06-Sep-14
25,10,1,33,1,3.3,1,2,v Pakistan,Abu Dhabi,12-Oct-14
26,8,1,32,4,4,1,2,v South Africa,Canberra,19-Nov-14
27,10,0,40,1,4,1,1,v South Africa,Melbourne,21-Nov-14
28,10,1,60,0,6,2,1,v South Africa,Sydney,23-Nov-14
29,8.5,0,42,4,4.75,1,1,v England,Sydney,16-Jan-15
30,10,2,43,6,4.3,1,1,v India,Melbourne,18-Jan-15
31,10,0,60,1,6,1,1,v England,Hobart,23-Jan-15
32,4,0,11,1,2.75,1,1,v India,Sydney,26-Jan-15
33,7,0,40,0,5.71,1,2,v England,Perth,01-Feb-15
34,9,1,47,2,5.22,1,2,v England,Melbourne,14-Feb-15
35,9,0,28,6,3.11,2,2,v New Zealand,Auckland,28-Feb-15
36,6,0,18,2,3,1,2,v Afghanistan,Perth,04-Mar-15
37,8.2,0,29,2,3.48,1,2,v Sri Lanka,Sydney,08-Mar-15
38,4.4,1,14,4,3,1,1,v Scotland,Hobart,14-Mar-15
39,10,1,40,2,4,1,1,v Pakistan,Adelaide,20-Mar-15
40,8.5,0,28,2,3.16,1,2,v India,Sydney,26-Mar-15
41,8,0,20,2,2.5,1,1,v New Zealand,Melbourne,29-Mar-15
42,5,0,34,2,6.8,1,2,v Ireland,Belfast,27-Aug-15
43,10,0,55,2,5.5,1,2,v England,Southampton,03-Sep-15
44,7,0,35,1,5,1,2,v England,Lord's,05-Sep-15
45,10,0,79,1,7.9,1,1,v England,Manchester,08-Sep-15
46,9,1,44,1,4.88,1,1,v England,Manchester,13-Sep-15
47,9,0,37,2,4.11,1,1,v West Indies,Providence,05-Jun-16
48,10,0,43,3,4.3,1,2,v South Africa,Basseterre,11-Jun-16
49,1,0,8,0,8,1,1,v South Africa,Bridgetown,19-Jun-16
50,10,1,51,3,5.1,1,1,v West Indies,Bridgetown,21-Jun-16
51,8,0,32,0,4,1,2,v West Indies,Bridgetown,26-Jun-16
52,10,1,32,3,3.2,1,1,v Sri Lanka,Colombo (RPS),21-Aug-16
53,9.5,0,53,3,5.38,1,1,v Sri Lanka,Colombo (RPS),24-Aug-16
54,10,0,42,2,4.2,1,1,v Sri Lanka,Dambulla,28-Aug-16
55,10,1,51,1,5.1,1,1,v Sri Lanka,Dambulla,31-Aug-16
56,9,0,40,3,4.44,1,1,v Sri Lanka,Pallekele,04-Sep-16
57,7,1,37,1,5.28,1,2,v New Zealand,Sydney,04-Dec-16
58,10,0,52,2,5.2,1,2,v New Zealand,Canberra,06-Dec-16
59,10,3,34,3,3.4,1,2,v New Zealand,Melbourne,09-Dec-16
60,8,0,34,2,4.25,1,2,v Pakistan,Brisbane,13-Jan-17
61,10,1,45,2,4.5,1,2,v Pakistan,Melbourne,15-Jan-17
62,7,0,42,1,6,1,2,v Pakistan,Sydney,22-Jan-17
63,9.1,1,42,4,4.58,1,2,v Pakistan,Adelaide,26-Jan-17
