,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
1,TDNB,-,-,-,-,-,-,v West Indies,Port of Spain,23-Jun-17
2,9,0,50,3,5.55,5,2,v West Indies,Port of Spain,25-Jun-17
3,10,1,41,3,4.1,4,2,v West Indies,North Sound,30-Jun-17
4,10,1,31,2,3.1,5,1,v West Indies,North Sound,02-Jul-17
5,10,0,36,0,3.6,5,1,v West Indies,Kingston,06-Jul-17
6,8.4,1,31,2,3.57,5,2,v Sri Lanka,Colombo (RPS),31-Aug-17
7,10,0,40,1,4,4,1,v Sri Lanka,Colombo (RPS),03-Sep-17
8,4,0,33,2,8.25,4,2,v Australia,Chennai,17-Sep-17
9,10,1,54,3,5.4,5,2,v Australia,Eden Gardens,21-Sep-17
10,10,0,75,2,7.5,5,1,v Australia,Indore,24-Sep-17
11,10,1,48,0,4.8,4,1,v Australia,Nagpur,01-Oct-17
12,10,0,64,1,6.4,3,2,v New Zealand,Wankhede,22-Oct-17
13,DNB,-,-,-,-,-,2,v Sri Lanka,Dharamsala,10-Dec-17
14,10,0,42,3,4.2,4,1,v Sri Lanka,Visakhapatnam,17-Dec-17
15,10,0,34,3,3.4,5,1,v South Africa,Durban,01-Feb-18
16,6,0,20,3,3.33,5,1,v South Africa,Centurion,04-Feb-18
17,9,1,23,4,2.55,5,2,v South Africa,Cape Town,07-Feb-18
18,6,0,51,2,8.5,3,2,v South Africa,Johannesburg,10-Feb-18
19,10,0,57,4,5.7,4,2,v South Africa,Gqeberha,13-Feb-18
20,10,0,51,1,5.1,4,1,v South Africa,Centurion,16-Feb-18
21,10,0,25,6,2.5,5,1,v England,Nottingham,12-Jul-18
22,10,0,68,3,6.8,5,1,v England,Lord's,14-Jul-18
23,10,0,55,0,5.5,5,2,v England,Leeds,17-Jul-18
24,10,2,42,2,4.2,5,2,v Hong Kong,Dubai (DICS),18-Sep-18
25,8,0,37,1,4.62,5,1,v Pakistan,Dubai (DICS),19-Sep-18
26,10,0,34,0,3.4,5,1,v Bangladesh,Dubai (DICS),21-Sep-18
27,10,0,41,2,4.1,4,1,v Pakistan,Dubai (DICS),23-Sep-18
28,10,0,38,2,3.8,5,1,v Afghanistan,Dubai (DICS),25-Sep-18
29,10,0,45,3,4.5,4,1,v Bangladesh,Dubai (DICS),28-Sep-18
30,10,0,67,3,6.7,3,2,v West Indies,Visakhapatnam,24-Oct-18
31,10,0,52,2,5.2,5,1,v West Indies,Pune,27-Oct-18
32,8.2,0,42,3,5.04,5,2,v West Indies,Brabourne,29-Oct-18
33,5,1,18,1,3.6,5,1,v West Indies,Thiruvananthapuram,01-Nov-18
34,10,0,54,2,5.4,4,1,v Australia,Sydney,12-Jan-19
35,10,0,66,0,6.6,4,1,v Australia,Adelaide,15-Jan-19
36,10,1,39,4,3.9,5,1,v New Zealand,Napier,23-Jan-19
37,10,0,45,4,4.5,6,2,v New Zealand,Mount Maunganui,26-Jan-19
38,8,0,39,0,4.87,5,1,v New Zealand,Mount Maunganui,28-Jan-19
39,1,0,2,0,2,5,2,v New Zealand,Hamilton,31-Jan-19
40,10,0,46,2,4.6,4,1,v Australia,Hyderabad,02-Mar-19
41,10,0,54,3,5.4,5,2,v Australia,Nagpur,05-Mar-19
42,10,0,64,3,6.4,4,1,v Australia,Ranchi,08-Mar-19
43,10,0,64,1,6.4,4,2,v Australia,Mohali,10-Mar-19
44,10,0,74,1,7.4,4,1,v Australia,Delhi,13-Mar-19
45,10,0,46,1,4.6,4,1,v South Africa,Southampton,05-Jun-19
46,9,0,55,0,6.11,4,2,v Australia,The Oval,09-Jun-19
47,9,1,32,2,3.55,5,2,v Pakistan,Manchester,16-Jun-19
48,10,0,39,0,3.9,5,2,v Afghanistan,Southampton,22-Jun-19
49,9,1,35,1,3.88,4,2,v West Indies,Manchester,27-Jun-19
50,10,0,72,1,7.2,5,1,v England,Birmingham,30-Jun-19
51,10,0,58,1,5.8,5,1,v Sri Lanka,Leeds,06-Jul-19
52,2,0,3,1,1.5,4,1,v West Indies,Providence,08-Aug-19
53,10,0,59,2,5.9,4,2,v West Indies,Port of Spain,11-Aug-19
54,10,0,45,0,4.5,3,2,v West Indies,Chennai,15-Dec-19
55,10,0,52,3,5.2,5,2,v West Indies,Visakhapatnam,18-Dec-19
56,10,0,67,0,6.7,4,1,v West Indies,Cuttack,22-Dec-19
57,10,0,55,0,5.5,4,2,v Australia,Wankhede,14-Jan-20
58,10,0,65,2,6.5,5,2,v Australia,Rajkot,17-Jan-20
59,10,0,62,1,6.2,4,1,v Australia,Bengaluru,19-Jan-20
60,10,0,84,2,8.4,5,2,v New Zealand,Hamilton,05-Feb-20
61,10,0,57,1,5.7,4,2,v Australia,Canberra,02-Dec-20
62,9,0,68,0,7.55,5,2,v England,Pune,23-Mar-21
63,10,0,84,0,8.4,4,2,v England,Pune,26-Mar-21
64,9,1,48,2,5.33,5,1,v Sri Lanka,Colombo (RPS),18-Jul-21
65,10,0,55,0,5.5,5,1,v Sri Lanka,Colombo (RPS),20-Jul-21
66,8,0,51,2,6.37,4,2,v West Indies,Ahmedabad,11-Feb-22
67,10,1,36,0,3.6,3,1,v Zimbabwe,Harare,18-Aug-22
68,8,0,49,1,6.12,5,1,v Zimbabwe,Harare,20-Aug-22
69,10,0,38,2,3.8,4,2,v Zimbabwe,Harare,22-Aug-22
70,8,0,39,1,4.87,5,1,v South Africa,Lucknow,06-Oct-22
71,9,0,49,1,5.44,5,1,v South Africa,Ranchi,09-Oct-22
72,4.1,1,18,4,4.32,6,1,v South Africa,Delhi,11-Oct-22
73,10,1,53,1,5.3,5,2,v Bangladesh,Chattogram,10-Dec-22
74,10,0,51,3,5.1,5,1,v Sri Lanka,Eden Gardens,12-Jan-23
75,5,1,16,2,3.2,3,2,v Sri Lanka,Thiruvananthapuram,15-Jan-23
76,8,1,43,2,5.37,4,2,v New Zealand,Hyderabad,18-Jan-23
77,7.3,0,29,1,3.86,5,1,v New Zealand,Raipur,21-Jan-23
78,9,0,62,3,6.88,5,2,v New Zealand,Indore,24-Jan-23
79,8,1,48,1,6,6,1,v Australia,Wankhede,17-Mar-23
80,1,0,12,0,12,5,2,v Australia,Visakhapatnam,19-Mar-23
81,10,1,56,3,5.6,6,1,v Australia,Chennai,22-Mar-23
82,3,2,6,4,2,6,1,v West Indies,Bridgetown,27-Jul-23
83,8,0,30,1,3.75,5,2,v West Indies,Bridgetown,29-Jul-23
84,8,3,25,2,3.12,5,2,v West Indies,Tarouba,01-Aug-23
85,TDNB,-,-,-,-,-,-,v Pakistan,Pallekele,02-Sep-23
86,10,2,34,0,3.4,6,1,v Nepal,Pallekele,04-Sep-23
87,8,0,25,5,3.12,5,2,v Pakistan,Colombo (RPS),10-Sep-23
88,9.3,0,43,4,4.52,4,2,v Sri Lanka,Colombo (RPS),12-Sep-23
89,1,0,1,0,1,4,1,v Sri Lanka,Colombo (RPS),17-Sep-23
90,6,0,48,2,8,6,1,v Australia,Rajkot,27-Sep-23
91,10,0,42,2,4.2,5,1,v Australia,Chennai,08-Oct-23
92,10,0,40,1,4,5,1,v Afghanistan,Delhi,11-Oct-23
