,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
1,10,0,57,2,5.7,4,1,v New Zealand,Wellington,06-Feb-16
2,10,0,45,1,4.5,5,1,v New Zealand,Hamilton,08-Feb-16
3,5.3,0,16,3,2.9,5,1,v West Indies,Providence,05-Jun-16
4,10,0,46,1,4.6,4,1,v South Africa,Providence,07-Jun-16
5,10,0,52,3,5.2,5,2,v South Africa,Basseterre,11-Jun-16
6,7,0,60,2,8.57,6,2,v West Indies,Basseterre,13-Jun-16
7,10,0,50,1,5,5,2,v West Indies,Bridgetown,26-Jun-16
8,7,0,34,0,4.85,5,1,v Sri Lanka,Colombo (RPS),21-Aug-16
9,10,0,42,3,4.2,5,1,v Sri Lanka,Colombo (RPS),24-Aug-16
10,10,0,38,3,3.8,5,1,v Sri Lanka,Dambulla,28-Aug-16
11,8,0,30,1,3.75,5,1,v Sri Lanka,Dambulla,31-Aug-16
12,6,0,43,2,7.16,5,1,v Sri Lanka,Pallekele,04-Sep-16
13,10,1,37,3,3.7,5,1,v Ireland,Benoni,27-Sep-16
14,5,0,44,1,8.8,6,2,v South Africa,Centurion,30-Sep-16
15,8,0,54,0,6.75,5,1,v South Africa,Johannesburg,02-Oct-16
16,7.2,1,55,1,7.5,5,2,v South Africa,Durban,05-Oct-16
17,6.3,0,32,1,4.92,4,2,v South Africa,Gqeberha,09-Oct-16
18,5,0,33,0,6.6,6,1,v South Africa,Cape Town,12-Oct-16
19,10,0,66,2,6.6,5,2,v New Zealand,Sydney,04-Dec-16
20,10,0,55,3,5.5,5,2,v Pakistan,Sydney,22-Jan-17
21,9,0,61,1,6.77,5,2,v Pakistan,Adelaide,26-Jan-17
22,7,0,41,0,5.85,5,1,v New Zealand,Hamilton,05-Feb-17
23,4,1,13,2,3.25,6,1,v Bangladesh,The Oval,05-Jun-17
24,8.2,0,52,0,6.24,6,2,v England,Birmingham,10-Jun-17
25,10,0,66,1,6.6,5,1,v India,Chennai,17-Sep-17
26,9,0,63,1,7,6,2,v India,Bengaluru,28-Sep-17
27,8,0,59,2,7.37,5,2,v India,Nagpur,01-Oct-17
28,10,0,72,0,7.2,5,2,v England,Melbourne,14-Jan-18
29,9,0,55,1,6.11,5,1,v England,Sydney,21-Jan-18
30,7,0,42,0,6,6,1,v England,Adelaide,26-Jan-18
31,10,0,46,1,4.6,5,1,v England,Perth,28-Jan-18
32,9,0,57,0,6.33,4,2,v South Africa,Adelaide,09-Nov-18
33,6,0,32,0,5.33,5,1,v South Africa,Hobart,11-Nov-18
34,10,0,34,0,3.4,5,2,v India,Melbourne,18-Jan-19
35,10,0,49,2,4.9,4,2,v India,Hyderabad,02-Mar-19
36,10,0,62,2,6.2,4,1,v India,Nagpur,05-Mar-19
37,10,0,70,3,7,5,2,v India,Ranchi,08-Mar-19
38,10,0,57,1,5.7,5,1,v India,Mohali,10-Mar-19
