,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,3,7,5,0,0,60,1,caught,1,v Sri Lanka,Centurion,22-Mar-19
2,15,24,12,1,1,125,1,caught,1,v Sri Lanka,Johannesburg,24-Mar-19
3,51,46,32,8,1,159.37,2,caught,1,v Pakistan,Johannesburg,10-Apr-21
4,54,43,30,7,3,180,2,caught,2,v Pakistan,Johannesburg,12-Apr-21
5,63,51,31,6,4,203.22,2,bowled,1,v Pakistan,Centurion,14-Apr-21
6,11,12,5,1,1,220,2,lbw,1,v Pakistan,Centurion,16-Apr-21
7,23,21,18,1,1,127.77,4,caught,1,v West Indies,St George's,29-Jun-21
8,20,25,20,2,0,100,4,bowled,2,v West Indies,St George's,01-Jul-21
9,70,86,48,3,4,145.83,3,caught,1,v West Indies,St George's,03-Jul-21
10,39,45,30,2,2,130,4,stumped,1,v Ireland,Dublin (Malahide),19-Jul-21
11,8,12,6,1,0,133.33,4,bowled,1,v Ireland,Belfast,22-Jul-21
12,DNB,-,-,-,-,-,-,-,1,v Ireland,Belfast,24-Jul-21
13,48,49,33,1,2,145.45,3,caught,1,v Sri Lanka,Colombo (RPS),10-Sep-21
14,21*,30,19,3,0,110.52,3,not out,2,v Sri Lanka,Colombo (RPS),12-Sep-21
15,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Colombo (RPS),14-Sep-21
16,40,74,36,3,1,111.11,4,caught,1,v Australia,Abu Dhabi,23-Oct-21
17,51*,48,26,2,4,196.15,4,not out,2,v West Indies,Dubai (DICS),26-Oct-21
18,19,34,20,2,0,95,5,bowled,2,v Sri Lanka,Sharjah,30-Oct-21
19,0,7,4,0,0,0,4,caught,2,v Bangladesh,Abu Dhabi,02-Nov-21
20,52*,48,25,2,4,208,4,not out,1,v England,Sharjah,06-Nov-21
21,51*,64,36,5,0,141.66,4,not out,1,v England,Southampton,31-Jul-22
22,56,45,27,2,5,207.4,4,caught,1,v Ireland,Bristol,03-Aug-22
23,27,-,10,1,3,270,4,caught,1,v Ireland,Bristol,05-Aug-22
24,25,38,24,3,1,104.16,4,lbw,1,v India,Thiruvananthapuram,28-Sep-22
25,33,35,19,4,1,173.68,4,bowled,2,v India,Guwahati,02-Oct-22
26,DNB,-,-,-,-,-,-,-,1,v India,Indore,04-Oct-22
27,DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Hobart,24-Oct-22
28,10,16,11,1,0,90.9,5,caught,1,v Bangladesh,Sydney,27-Oct-22
29,52,72,41,6,1,126.82,4,caught,2,v India,Perth,30-Oct-22
30,20,28,14,4,0,142.85,4,bowled,2,v Pakistan,Sydney,03-Nov-22
31,17,30,13,2,0,130.76,4,caught,2,v Netherlands,Adelaide,06-Nov-22
32,14,11,9,3,0,155.55,4,caught,1,v West Indies,Centurion,25-Mar-23
33,38*,30,21,4,1,180.95,5,not out,2,v West Indies,Centurion,26-Mar-23
34,35*,30,18,4,0,194.44,5,not out,2,v West Indies,Johannesburg,28-Mar-23
35,7,9,7,0,0,100,4,caught,2,v Australia,Durban,30-Aug-23
36,49,62,38,3,2,128.94,4,caught,1,v Australia,Durban,01-Sep-23
37,41,21,23,4,2,178.26,4,caught,1,v Australia,Durban,03-Sep-23
38,30,23,17,4,1,176.47,3,caught,2,v India,Gqeberha,12-Dec-23
39,25,26,14,3,2,178.57,3,caught,2,v India,Johannesburg,14-Dec-23
