,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,15*,13,11,2,0,136.36,3,not out,2,v England,Manchester,07-Sep-16
2,55*,49,37,6,2,148.64,3,not out,2,v West Indies,Dubai (DICS),23-Sep-16
3,19,28,18,2,0,105.55,3,caught,1,v West Indies,Dubai (DICS),24-Sep-16
4,27*,42,24,1,0,112.5,3,not out,2,v West Indies,Abu Dhabi,27-Sep-16
5,29,-,30,3,0,96.66,3,caught,2,v West Indies,Bridgetown,26-Mar-17
6,27,-,28,4,0,96.42,3,caught,1,v West Indies,Port of Spain,30-Mar-17
7,43,-,38,3,1,113.15,4,bowled,1,v West Indies,Port of Spain,01-Apr-17
8,38,-,36,1,1,105.55,3,caught,2,v West Indies,Port of Spain,02-Apr-17
9,86,-,52,10,2,165.38,3,caught,1,v World-XI,Lahore,12-Sep-17
10,45,-,38,5,0,118.42,3,caught,1,v World-XI,Lahore,13-Sep-17
11,48,-,31,5,0,154.83,3,caught,1,v World-XI,Lahore,15-Sep-17
12,1,-,8,0,0,12.5,3,stumped,2,v Sri Lanka,Abu Dhabi,26-Oct-17
13,1,-,2,0,0,50,3,lbw,2,v Sri Lanka,Abu Dhabi,27-Oct-17
14,34*,-,31,2,0,109.67,3,not out,1,v Sri Lanka,Lahore,29-Oct-17
15,41,68,41,1,1,100,5,caught,1,v New Zealand,Wellington,22-Jan-18
16,50*,45,29,5,1,172.41,3,not out,1,v New Zealand,Auckland,25-Jan-18
17,18,-,17,1,0,105.88,3,caught,1,v New Zealand,Mount Maunganui,28-Jan-18
18,17,-,13,3,0,130.76,2,lbw,1,v West Indies,Karachi,01-Apr-18
19,97*,-,58,13,1,167.24,2,not out,1,v West Indies,Karachi,02-Apr-18
20,51,-,40,6,0,127.5,2,caught,2,v West Indies,Karachi,03-Apr-18
21,68*,-,55,5,1,123.63,2,not out,1,v Australia,Abu Dhabi,24-Oct-18
22,45,-,44,3,0,102.27,1,caught,1,v Australia,Dubai (DICS),26-Oct-18
23,50,-,40,5,1,125,1,bowled,1,v Australia,Dubai (DICS),28-Oct-18
24,7,-,9,1,0,77.77,1,caught,1,v New Zealand,Abu Dhabi,31-Oct-18
25,40,-,41,4,0,97.56,2,caught,2,v New Zealand,Dubai (DICS),02-Nov-18
26,79,66,58,7,2,136.2,2,caught,1,v New Zealand,Dubai (DICS),04-Nov-18
27,38,55,27,3,1,140.74,2,run out,2,v South Africa,Cape Town,01-Feb-19
28,90,78,58,13,1,155.17,1,caught,2,v South Africa,Johannesburg,03-Feb-19
29,23,10,11,5,0,209.09,1,caught,1,v South Africa,Centurion,06-Feb-19
30,65,-,42,5,3,154.76,2,run out,1,v England,Cardiff,05-May-19
31,13,-,10,2,0,130,1,caught,2,v Sri Lanka,Lahore,05-Oct-19
32,3,-,10,0,0,30,1,bowled,2,v Sri Lanka,Lahore,07-Oct-19
33,27,-,32,1,0,84.37,2,caught,2,v Sri Lanka,Lahore,09-Oct-19
34,59*,-,38,5,2,155.26,1,not out,1,v Australia,Sydney,03-Nov-19
35,50,-,38,6,0,131.57,1,run out,1,v Australia,Canberra,05-Nov-19
36,6,-,7,1,0,85.71,2,lbw,1,v Australia,Perth,08-Nov-19
37,0,-,2,0,0,0,1,caught,2,v Bangladesh,Lahore,24-Jan-20
38,66*,-,44,7,1,150,1,not out,2,v Bangladesh,Lahore,25-Jan-20
39,TDNB,-,-,-,-,-,-,-,-,v England,Manchester,28-Aug-20
40,56,55,44,7,0,127.27,1,caught,1,v England,Manchester,30-Aug-20
41,21,19,18,3,0,116.66,1,bowled,1,v England,Manchester,01-Sep-20
42,82,68,55,9,1,149.09,2,caught,2,v Zimbabwe,Rawalpindi,07-Nov-20
43,51,48,28,8,1,182.14,2,caught,2,v Zimbabwe,Rawalpindi,08-Nov-20
44,DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Rawalpindi,10-Nov-20
45,0,2,1,0,0,0,2,run out,1,v South Africa,Lahore,11-Feb-21
46,5,6,4,1,0,125,2,lbw,1,v South Africa,Lahore,13-Feb-21
47,44,40,30,5,1,146.66,3,bowled,2,v South Africa,Lahore,14-Feb-21
48,14,23,14,3,0,100,2,caught,2,v South Africa,Johannesburg,10-Apr-21
49,50,78,50,5,0,100,3,bowled,1,v South Africa,Johannesburg,12-Apr-21
50,122,77,59,15,4,206.77,2,caught,2,v South Africa,Centurion,14-Apr-21
51,24,49,23,3,0,104.34,2,caught,2,v South Africa,Centurion,16-Apr-21
52,2,5,4,0,0,50,2,caught,1,v Zimbabwe,Harare,21-Apr-21
53,41,60,45,5,0,91.11,2,caught,2,v Zimbabwe,Harare,23-Apr-21
54,52,64,46,5,0,113.04,3,caught,1,v Zimbabwe,Harare,25-Apr-21
55,85,76,49,8,3,173.46,2,caught,1,v England,Nottingham,16-Jul-21
56,22,26,16,3,0,137.5,2,caught,2,v England,Leeds,18-Jul-21
57,11,28,13,1,0,84.61,2,stumped,1,v England,Manchester,20-Jul-21
58,TDNB,-,-,-,-,-,-,-,-,v West Indies,Bridgetown,28-Jul-21
59,51,58,40,4,2,127.5,3,caught,1,v West Indies,Providence,31-Jul-21
60,TDNB,-,-,-,-,-,-,-,-,v West Indies,Providence,01-Aug-21
61,TDNB,-,-,-,-,-,-,-,-,v West Indies,Providence,03-Aug-21
62,68*,87,52,6,2,130.76,2,not out,2,v India,Dubai (DICS),24-Oct-21
63,9,23,11,1,0,81.81,2,bowled,2,v New Zealand,Sharjah,26-Oct-21
64,51,85,47,4,0,108.51,2,bowled,2,v Afghanistan,Dubai (DICS),29-Oct-21
65,70,72,49,7,0,142.85,2,caught,1,v Namibia,Abu Dhabi,02-Nov-21
66,66,82,47,5,3,140.42,2,caught,1,v Scotland,Sharjah,07-Nov-21
67,39,45,34,5,0,114.7,2,caught,1,v Australia,Dubai (DICS),11-Nov-21
68,7,21,10,1,0,70,2,bowled,2,v Bangladesh,Mirpur,19-Nov-21
69,1,10,5,0,0,20,2,bowled,2,v Bangladesh,Mirpur,20-Nov-21
70,19,31,25,2,0,76,2,caught,2,v Bangladesh,Mirpur,22-Nov-21
71,0,5,2,0,0,0,2,caught,1,v West Indies,Karachi,13-Dec-21
72,7,13,7,1,0,100,2,run out,1,v West Indies,Karachi,14-Dec-21
73,79,78,53,9,2,149.05,2,caught,2,v West Indies,Karachi,16-Dec-21
74,66,70,46,6,2,143.47,2,caught,1,v Australia,Lahore,05-Apr-22
75,10,18,9,2,0,111.11,2,caught,1,v India,Dubai (DICS),28-Aug-22
76,9,13,8,1,0,112.5,2,caught,1,v Hong Kong,Sharjah,02-Sep-22
77,14,20,10,2,0,140,2,caught,2,v India,Dubai (DICS),04-Sep-22
78,0,4,1,0,0,0,2,lbw,2,v Afghanistan,Sharjah,07-Sep-22
79,30,56,29,2,0,103.44,2,bowled,1,v Sri Lanka,Dubai (DICS),09-Sep-22
