,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,DNB,-,-,-,-,-,-,-,2,v India,Manchester,31-Aug-11
2,DNB,-,-,-,-,-,-,-,2,v West Indies,The Oval,23-Sep-11
3,13,24,11,1,0,118.18,7,run out,2,v West Indies,The Oval,25-Sep-11
4,DNB,-,-,-,-,-,-,-,2,v India,Eden Gardens,29-Oct-11
5,3,6,4,0,0,75,6,caught,2,v Pakistan,Dubai (DICS),23-Feb-12
6,7,11,8,1,0,87.5,7,bowled,1,v Pakistan,Dubai (DICS),25-Feb-12
7,7,14,13,0,0,53.84,6,lbw,1,v Pakistan,Abu Dhabi,27-Feb-12
8,0*,2,0,0,0,-,5,not out,2,v West Indies,Nottingham,24-Jun-12
9,6,8,9,0,0,66.66,6,bowled,1,v South Africa,Chester-le-Street,08-Sep-12
10,DNB,-,-,-,-,-,-,-,2,v South Africa,Manchester,10-Sep-12
11,32*,16,10,2,3,320,5,not out,1,v South Africa,Birmingham,12-Sep-12
12,15,8,7,3,0,214.28,5,lbw,1,v Afghanistan,Colombo (RPS),21-Sep-12
13,11,16,12,1,0,91.66,6,bowled,2,v India,Colombo (RPS),23-Sep-12
14,1*,2,1,0,0,100,6,not out,2,v West Indies,Pallekele,27-Sep-12
15,5*,13,8,0,0,62.5,5,not out,2,v New Zealand,Pallekele,29-Sep-12
16,8,8,7,0,0,114.28,7,caught,2,v Sri Lanka,Pallekele,01-Oct-12
17,33*,28,21,0,3,157.14,6,not out,1,v India,Pune,20-Dec-12
18,15*,20,7,1,1,214.28,6,not out,2,v India,Wankhede,22-Dec-12
19,32*,19,16,2,3,200,6,not out,1,v New Zealand,Auckland,09-Feb-13
20,54,35,30,9,1,180,6,caught,2,v New Zealand,Hamilton,12-Feb-13
21,DNB,-,-,-,-,-,-,-,2,v New Zealand,Wellington,15-Feb-13
22,17,20,10,1,1,170,6,run out,2,v New Zealand,The Oval,25-Jun-13
23,DNB,-,-,-,-,-,-,-,1,v New Zealand,The Oval,27-Jun-13
24,27,25,17,1,2,158.82,7,bowled,2,v Australia,Southampton,29-Aug-13
25,0,2,1,0,0,0,5,bowled,1,v Australia,Chester-le-Street,31-Aug-13
26,20,17,14,1,1,142.85,6,caught,2,v Australia,Hobart,29-Jan-14
27,22,33,27,2,0,81.48,6,lbw,1,v Australia,Melbourne,31-Jan-14
28,8,11,9,1,0,88.88,6,caught,2,v Australia,Sydney,02-Feb-14
29,0,4,3,0,0,0,5,caught,2,v West Indies,Bridgetown,09-Mar-14
30,67,60,43,5,3,155.81,5,caught,1,v West Indies,Bridgetown,11-Mar-14
31,3,14,8,0,0,37.5,4,caught,1,v West Indies,Bridgetown,13-Mar-14
32,32,35,23,4,0,139.13,5,bowled,1,v New Zealand,Chattogram,22-Mar-14
33,2,3,3,0,0,66.66,5,caught,2,v Sri Lanka,Chattogram,27-Mar-14
34,34,37,24,2,1,141.66,5,caught,2,v South Africa,Chattogram,29-Mar-14
35,6,20,14,0,0,42.85,5,caught,2,v Netherlands,Chattogram,31-Mar-14
36,26,17,16,4,0,162.5,6,caught,2,v Sri Lanka,The Oval,20-May-14
37,10,17,15,0,0,66.66,6,caught,1,v India,Birmingham,07-Sep-14
38,11,5,4,1,1,275,5,caught,1,v Australia,Cardiff,31-Aug-15
39,33,38,22,1,3,150,5,caught,1,v Pakistan,Dubai (DICS),27-Nov-15
40,2,5,3,0,0,66.66,6,run out,1,v Pakistan,Sharjah,30-Nov-15
41,32*,51,30,2,0,106.66,6,not out,1,v South Africa,Cape Town,19-Feb-16
42,54,40,28,4,4,192.85,5,caught,1,v South Africa,Johannesburg,21-Feb-16
43,30,29,20,0,3,150,4,caught,1,v West Indies,Wankhede,16-Mar-16
44,21,31,14,1,1,150,6,stumped,2,v South Africa,Wankhede,18-Mar-16
45,6,8,10,1,0,60,6,caught,1,v Afghanistan,Delhi,23-Mar-16
46,66*,47,37,8,2,178.37,4,not out,1,v Sri Lanka,Delhi,26-Mar-16
47,32*,20,17,2,3,188.23,5,not out,2,v New Zealand,Delhi,30-Mar-16
48,36,29,22,1,3,163.63,5,caught,1,v West Indies,Eden Gardens,03-Apr-16
49,73*,-,49,3,4,148.97,2,not out,2,v Sri Lanka,Southampton,05-Jul-16
50,16,22,15,2,0,106.66,4,caught,1,v Pakistan,Manchester,07-Sep-16
51,DNB,-,-,-,-,-,-,-,2,v India,Kanpur,26-Jan-17
52,15,17,10,1,1,150,6,bowled,2,v India,Nagpur,29-Jan-17
53,0,5,2,0,0,0,5,caught,2,v India,Bengaluru,01-Feb-17
54,DNB,-,-,-,-,-,-,-,2,v South Africa,Southampton,21-Jun-17
55,10,14,8,1,0,125,5,bowled,2,v South Africa,Taunton,23-Jun-17
56,31,35,22,1,2,140.9,4,caught,1,v South Africa,Cardiff,25-Jun-17
57,30,36,27,2,0,111.11,5,caught,2,v West Indies,Chester-le-Street,16-Sep-17
58,5,14,7,0,0,71.42,5,caught,1,v Australia,Hobart,07-Feb-18
59,46,68,49,3,0,93.87,5,caught,1,v Australia,Melbourne,10-Feb-18
60,2,7,4,0,0,50,5,caught,2,v New Zealand,Wellington,13-Feb-18
61,2,7,5,0,0,40,5,stumped,1,v New Zealand,Hamilton,18-Feb-18
62,61,-,30,6,5,203.33,2,caught,1,v Australia,Birmingham,27-Jun-18
63,69,-,46,8,2,150,2,caught,1,v India,Manchester,03-Jul-18
64,14,-,12,3,0,116.66,2,caught,2,v India,Cardiff,06-Jul-18
65,34,-,21,7,0,161.9,2,bowled,1,v India,Bristol,08-Jul-18
66,13,-,7,3,0,185.71,2,caught,1,v Sri Lanka,Colombo (RPS),27-Oct-18
67,15,9,10,3,0,150,2,caught,2,v South Africa,East London,12-Feb-20
68,2,11,4,0,0,50,2,caught,1,v South Africa,Durban,14-Feb-20
69,57,43,29,9,2,196.55,2,caught,2,v South Africa,Centurion,16-Feb-20
70,44,35,29,5,2,151.72,1,caught,1,v Australia,Southampton,04-Sep-20
71,77*,-,54,8,2,142.59,1,not out,2,v Australia,Southampton,06-Sep-20
72,7,-,6,1,0,116.66,2,caught,2,v South Africa,Cape Town,27-Nov-20
73,22,-,15,4,0,146.66,2,bowled,2,v South Africa,Paarl,29-Nov-20
74,67*,-,46,3,5,145.65,2,not out,2,v South Africa,Cape Town,01-Dec-20
75,28,34,24,2,1,116.66,2,lbw,2,v India,Ahmedabad,12-Mar-21
76,0,2,1,0,0,0,2,lbw,1,v India,Ahmedabad,14-Mar-21
77,83*,96,52,5,4,159.61,2,not out,2,v India,Ahmedabad,16-Mar-21
78,9,13,6,0,1,150,2,caught,2,v India,Ahmedabad,18-Mar-21
79,52,72,34,2,4,152.94,2,caught,2,v India,Ahmedabad,20-Mar-21
80,68*,70,55,8,1,123.63,2,not out,2,v Sri Lanka,Cardiff,23-Jun-21
81,59,65,39,7,2,151.28,2,caught,1,v Pakistan,Leeds,18-Jul-21
82,21,35,22,3,0,95.45,2,caught,2,v Pakistan,Manchester,20-Jul-21
83,24*,50,22,3,0,109.09,2,not out,2,v West Indies,Dubai (DICS),23-Oct-21
84,18,21,18,1,1,100,2,caught,2,v Bangladesh,Abu Dhabi,27-Oct-21
85,71*,62,32,5,5,221.87,2,not out,2,v Australia,Dubai (DICS),30-Oct-21
86,101*,104,67,6,6,150.74,2,not out,1,v Sri Lanka,Sharjah,01-Nov-21
87,26,30,15,3,1,173.33,2,caught,2,v South Africa,Sharjah,06-Nov-21
88,29,41,24,4,0,120.83,1,lbw,1,v New Zealand,Abu Dhabi,10-Nov-21
89,0,6,1,0,0,0,2,bowled,2,v India,Southampton,07-Jul-22
90,4,15,5,0,0,80,2,caught,2,v India,Birmingham,09-Jul-22
91,18,18,9,2,1,200,2,bowled,1,v India,Nottingham,10-Jul-22
92,22,13,7,2,2,314.28,2,caught,1,v South Africa,Bristol,27-Jul-22
93,29,18,14,1,3,207.14,2,caught,2,v South Africa,Cardiff,28-Jul-22
94,14,16,10,2,0,140,2,caught,2,v South Africa,Southampton,31-Jul-22
95,68,53,32,8,4,212.5,1,caught,1,v Australia,Perth,09-Oct-22
96,17,18,13,3,0,130.76,1,caught,1,v Australia,Canberra,12-Oct-22
97,65*,62,41,7,1,158.53,1,not out,1,v Australia,Canberra,14-Oct-22
98,18,25,18,3,0,100,1,caught,2,v Afghanistan,Perth,22-Oct-22
99,0,3,2,0,0,0,1,caught,2,v Ireland,Melbourne,26-Oct-22
100,73,82,47,7,2,155.31,1,run out,1,v New Zealand,Brisbane,01-Nov-22
101,28,35,23,2,1,121.73,1,caught,2,v Sri Lanka,Sydney,05-Nov-22
102,80*,74,49,9,3,163.26,1,not out,2,v India,Adelaide,10-Nov-22
103,26,33,17,3,1,152.94,1,caught,2,v Pakistan,Melbourne,13-Nov-22
104,67,71,42,4,4,159.52,2,caught,1,v Bangladesh,Chattogram,09-Mar-23
105,4,6,6,0,0,66.66,4,bowled,1,v Bangladesh,Mirpur,12-Mar-23
106,40,64,31,4,1,129.03,3,run out,2,v Bangladesh,Mirpur,14-Mar-23
107,DNB,-,-,-,-,-,-,-,2,v New Zealand,Chester-le-Street,30-Aug-23
108,13*,10,8,0,1,162.5,6,not out,1,v New Zealand,Manchester,01-Sep-23
109,40,33,21,3,3,190.47,5,caught,2,v New Zealand,Birmingham,03-Sep-23
110,39,55,31,5,1,125.8,2,caught,1,v West Indies,Bridgetown,12-Dec-23
111,5,12,7,1,0,71.42,2,caught,2,v West Indies,St George's,14-Dec-23
112,51,46,34,5,2,150,2,caught,2,v West Indies,St George's,16-Dec-23
113,55,39,29,6,3,189.65,2,caught,1,v West Indies,Tarouba,19-Dec-23
114,11,14,11,2,0,100,2,caught,1,v West Indies,Tarouba,21-Dec-23
115,84,77,51,8,3,164.7,2,caught,1,v Pakistan,Birmingham,25-May-24
116,39,41,21,7,1,185.71,2,caught,2,v Pakistan,The Oval,30-May-24
