,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Harare,15-Oct-11
2,48,62,38,5,0,126.31,4,run out,2,v Zimbabwe,Auckland,11-Feb-12
3,20*,7,5,3,1,400,7,not out,2,v Zimbabwe,Hamilton,14-Feb-12
4,24,22,21,3,0,114.28,4,run out,2,v South Africa,Wellington,17-Feb-12
5,28*,30,20,1,2,140,4,not out,1,v South Africa,Hamilton,19-Feb-12
6,6,13,9,0,0,66.66,5,caught,2,v South Africa,Auckland,22-Feb-12
7,10,13,10,0,0,100,4,caught,2,v West Indies,Lauderhill,30-Jun-12
8,6,4,5,1,0,120,4,run out,2,v West Indies,Lauderhill,01-Jul-12
9,28,47,26,3,0,107.69,4,caught,1,v India,Chennai,11-Sep-12
10,DNB,-,-,-,-,-,-,-,1,v Bangladesh,Pallekele,21-Sep-12
11,15,33,13,2,0,115.38,2,run out,2,v Pakistan,Pallekele,23-Sep-12
12,4,8,4,0,0,100,8,run out,1,v Sri Lanka,Pallekele,27-Sep-12
13,17,36,23,1,0,73.91,4,caught,1,v England,Pallekele,29-Sep-12
14,24*,27,17,4,0,141.17,2,not out,2,v England,Chattogram,22-Mar-14
15,51,63,35,5,2,145.71,2,caught,2,v South Africa,Chattogram,24-Mar-14
16,29,36,22,5,0,131.81,2,caught,2,v Netherlands,Chattogram,29-Mar-14
17,42,69,43,6,0,97.67,2,run out,2,v Sri Lanka,Chattogram,31-Mar-14
18,19,37,18,2,0,105.55,1,caught,2,v West Indies,Roseau,05-Jul-14
19,37,48,28,5,0,132.14,1,bowled,2,v West Indies,Roseau,06-Jul-14
20,0,1,1,0,0,0,2,lbw,1,v Pakistan,Dubai (DICS),04-Dec-14
21,32,40,31,3,1,103.22,2,bowled,1,v Pakistan,Dubai (DICS),05-Dec-14
22,57,65,37,8,0,154.05,3,run out,2,v England,Manchester,23-Jun-15
23,20,13,12,4,0,166.66,2,caught,1,v Zimbabwe,Harare,09-Aug-15
24,42,34,21,8,0,200,2,stumped,1,v South Africa,Durban,14-Aug-15
25,25,23,17,4,1,147.05,2,caught,1,v South Africa,Centurion,16-Aug-15
26,53,60,42,5,1,126.19,2,caught,1,v Sri Lanka,Mount Maunganui,07-Jan-16
27,32*,45,21,3,0,152.38,2,not out,2,v Sri Lanka,Auckland,10-Jan-16
28,70,-,60,6,1,116.66,2,caught,2,v Pakistan,Auckland,15-Jan-16
29,72*,68,48,11,0,150,2,not out,2,v Pakistan,Hamilton,17-Jan-16
30,33,47,34,3,1,97.05,2,caught,1,v Pakistan,Wellington,22-Jan-16
31,8,27,16,1,0,50,2,stumped,1,v India,Nagpur,15-Mar-16
32,24,34,20,4,0,120,2,caught,1,v Australia,Dharamsala,18-Mar-16
33,17,32,21,1,0,80.95,2,caught,1,v Pakistan,Mohali,22-Mar-16
34,42,43,32,5,1,131.25,2,bowled,1,v Bangladesh,Eden Gardens,26-Mar-16
35,32,47,28,3,1,114.28,2,caught,1,v England,Delhi,30-Mar-16
36,73*,81,55,5,2,132.72,2,not out,2,v Bangladesh,Napier,03-Jan-17
37,12,23,13,2,0,92.3,2,caught,1,v Bangladesh,Mount Maunganui,06-Jan-17
38,60,88,57,6,1,105.26,1,bowled,1,v Bangladesh,Mount Maunganui,08-Jan-17
39,13,30,13,2,0,100,2,caught,2,v South Africa,Auckland,17-Feb-17
40,28,37,24,1,1,116.66,3,caught,2,v India,Delhi,01-Nov-17
41,12,16,9,2,0,133.33,3,caught,1,v India,Rajkot,04-Nov-17
42,8,11,10,0,0,80,3,run out,2,v India,Thiruvananthapuram,07-Nov-17
43,17*,45,15,1,0,113.33,3,not out,1,v West Indies,Mount Maunganui,01-Jan-18
44,19,8,8,2,1,237.5,5,bowled,1,v West Indies,Mount Maunganui,03-Jan-18
45,0,3,1,0,0,0,3,caught,2,v Pakistan,Auckland,25-Jan-18
46,9,-,14,1,0,64.28,2,caught,2,v Pakistan,Mount Maunganui,28-Jan-18
47,8,30,21,0,0,38.09,3,caught,1,v Australia,Sydney,03-Feb-18
48,72,65,46,4,4,156.52,3,bowled,1,v England,Wellington,13-Feb-18
49,1,1,2,0,0,50,7,caught,1,v Australia,Auckland,16-Feb-18
50,8,15,13,0,0,61.53,3,bowled,2,v England,Hamilton,18-Feb-18
51,9,14,9,1,0,100,3,bowled,1,v Australia,Auckland,21-Feb-18
52,11,-,16,0,0,68.75,3,caught,2,v Pakistan,Abu Dhabi,31-Oct-18
53,37,-,34,2,0,108.82,3,caught,1,v Pakistan,Dubai (DICS),02-Nov-18
54,60,38,38,8,2,157.89,4,caught,2,v Pakistan,Dubai (DICS),04-Nov-18
55,34,33,22,0,3,154.54,3,caught,1,v India,Wellington,06-Feb-19
56,20,27,17,3,0,117.64,3,lbw,1,v India,Auckland,08-Feb-19
57,27,28,21,3,0,128.57,3,caught,1,v India,Hamilton,10-Feb-19
58,51,-,26,4,4,196.15,3,caught,1,v India,Auckland,24-Jan-20
59,14,32,20,0,0,70,3,caught,1,v India,Auckland,26-Jan-20
60,95,68,48,8,6,197.91,3,caught,2,v India,Hamilton,29-Jan-20
61,57*,64,42,8,1,135.71,3,not out,2,v Pakistan,Hamilton,20-Dec-20
62,1,6,4,0,0,25,3,bowled,1,v Pakistan,Napier,22-Dec-20
63,12,16,13,2,0,92.3,3,caught,1,v Australia,Christchurch,22-Feb-21
64,53,55,35,2,3,151.42,3,bowled,1,v Australia,Dunedin,25-Feb-21
65,9,11,6,0,1,150,3,lbw,2,v Australia,Wellington,03-Mar-21
66,8,19,12,0,0,66.66,3,caught,2,v Australia,Wellington,05-Mar-21
67,0,3,1,0,0,0,3,lbw,2,v Australia,Wellington,07-Mar-21
68,25,38,26,2,1,96.15,3,run out,1,v Pakistan,Sharjah,26-Oct-21
69,33*,53,31,3,0,106.45,3,not out,2,v India,Dubai (DICS),31-Oct-21
70,0,4,4,0,0,0,3,caught,1,v Scotland,Dubai (DICS),03-Nov-21
71,28,38,25,2,1,112,3,bowled,1,v Namibia,Sharjah,05-Nov-21
72,40*,63,42,3,0,95.23,3,not out,2,v Afghanistan,Abu Dhabi,07-Nov-21
73,5,12,11,0,0,45.45,3,caught,2,v England,Abu Dhabi,10-Nov-21
74,85,69,48,10,3,177.08,3,caught,1,v Australia,Dubai (DICS),14-Nov-21
75,47,55,33,4,2,142.42,3,caught,1,v West Indies,Kingston,10-Aug-22
76,4,4,2,1,0,200,3,caught,1,v West Indies,Kingston,12-Aug-22
77,24,40,27,2,0,88.88,4,caught,1,v West Indies,Kingston,14-Aug-22
78,31,51,30,1,0,103.33,3,bowled,1,v Pakistan,Christchurch,08-Oct-22
79,30,51,29,1,0,103.44,3,caught,2,v Bangladesh,Christchurch,09-Oct-22
80,9*,10,9,0,0,100,3,not out,2,v Pakistan,Christchurch,11-Oct-22
81,59,69,38,4,2,155.26,3,caught,1,v Pakistan,Christchurch,14-Oct-22
82,23,48,23,1,1,100,3,lbw,1,v Australia,Sydney,22-Oct-22
83,8,18,13,1,0,61.53,3,caught,1,v Sri Lanka,Sydney,29-Oct-22
84,40,57,40,3,0,100,3,caught,2,v England,Brisbane,01-Nov-22
85,61,59,35,5,3,174.28,3,caught,1,v Ireland,Adelaide,04-Nov-22
86,46,81,42,1,1,109.52,3,bowled,1,v Pakistan,Sydney,09-Nov-22
87,61,93,52,4,2,117.3,3,bowled,2,v India,Mount Maunganui,20-Nov-22
88,57,60,42,9,0,135.71,3,caught,1,v Pakistan,Auckland,12-Jan-24
89,26*,24,15,3,1,173.33,3,retired notout,1,v Pakistan,Hamilton,14-Jan-24
