,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,28*,23,23,5,0,121.73,4,not out,2,v New Zealand,Durban,21-Dec-12
2,0*,1,0,0,0,-,7,not out,1,v New Zealand,East London,23-Dec-12
3,2,12,4,0,0,50,3,caught,1,v New Zealand,Gqeberha,26-Dec-12
4,5,9,7,1,0,71.42,2,lbw,1,v Sri Lanka,Colombo (RPS),02-Aug-13
5,19,30,23,3,0,82.6,2,stumped,1,v Sri Lanka,Hambantota,04-Aug-13
6,16,36,19,3,0,84.21,2,lbw,1,v Sri Lanka,Hambantota,06-Aug-13
7,48*,52,38,3,2,126.31,2,not out,2,v Pakistan,Dubai (DICS),13-Nov-13
8,30,26,19,6,0,157.89,1,caught,1,v Pakistan,Dubai (DICS),15-Nov-13
9,43,45,33,8,0,130.3,1,caught,1,v Pakistan,Johannesburg,20-Nov-13
10,26,30,24,4,0,108.33,2,caught,2,v Pakistan,Cape Town,22-Nov-13
11,41*,37,20,2,4,205,2,not out,1,v Australia,Durban,12-Mar-14
12,41,62,40,2,2,102.5,1,caught,1,v Australia,Centurion,14-Mar-14
13,25,18,18,4,1,138.88,1,bowled,2,v Sri Lanka,Chattogram,22-Mar-14
14,4,12,8,0,0,50,1,caught,1,v New Zealand,Chattogram,24-Mar-14
15,0,4,2,0,0,0,2,caught,1,v Netherlands,Chattogram,27-Mar-14
16,29,53,33,2,0,87.87,2,stumped,1,v England,Chattogram,29-Mar-14
17,6,3,4,1,0,150,1,caught,1,v India,Mirpur,04-Apr-14
18,46,66,39,4,1,117.94,2,caught,2,v Australia,Adelaide,05-Nov-14
19,0,-,2,0,0,0,1,caught,1,v Australia,Melbourne,07-Nov-14
20,48,-,27,5,2,177.77,1,caught,1,v Australia,Sydney,09-Nov-14
21,12,16,8,0,1,150,2,caught,1,v Bangladesh,Mirpur,05-Jul-15
22,44,44,31,4,2,141.93,1,caught,1,v Bangladesh,Mirpur,07-Jul-15
23,7,13,8,1,0,87.5,2,caught,2,v Australia,Durban,04-Mar-16
24,44,34,28,8,1,157.14,2,bowled,1,v Australia,Johannesburg,06-Mar-16
25,25,21,13,4,1,192.3,1,caught,1,v Australia,Cape Town,09-Mar-16
26,52,32,24,7,3,216.66,2,caught,1,v England,Wankhede,18-Mar-16
27,45,51,31,6,2,145.16,1,caught,1,v Afghanistan,Wankhede,20-Mar-16
28,47,70,46,3,1,102.17,2,bowled,1,v West Indies,Nagpur,25-Mar-16
29,9,7,6,2,0,150,2,run out,2,v Sri Lanka,Delhi,28-Mar-16
30,0,10,4,0,0,0,2,caught,1,v New Zealand,Auckland,17-Feb-17
31,59,71,44,5,1,134.09,1,lbw,1,v Bangladesh,Bloemfontein,26-Oct-17
32,20,-,11,4,0,181.81,1,run out,1,v Sri Lanka,Colombo (RPS),14-Aug-18
33,5,7,5,1,0,100,1,caught,1,v Zimbabwe,East London,09-Oct-18
34,26,28,23,3,1,113.04,2,bowled,2,v Zimbabwe,Potchefstroom,12-Oct-18
35,22,-,16,0,2,137.5,1,stumped,1,v Australia,Carrara,17-Nov-18
36,13,25,17,2,0,76.47,1,caught,2,v Sri Lanka,Cape Town,19-Mar-19
37,52,53,37,8,0,140.54,2,caught,1,v India,Mohali,18-Sep-19
38,79*,73,52,6,5,151.92,2,not out,2,v India,Bengaluru,22-Sep-19
39,31,19,15,3,2,206.66,2,caught,1,v England,East London,12-Feb-20
40,65,35,22,2,8,295.45,2,caught,2,v England,Durban,14-Feb-20
41,35,32,24,1,4,145.83,2,caught,1,v England,Centurion,16-Feb-20
42,2,2,3,0,0,66.66,1,bowled,2,v Australia,Johannesburg,21-Feb-20
43,70,64,47,5,4,148.93,1,caught,1,v Australia,Gqeberha,23-Feb-20
44,5,3,3,1,0,166.66,1,bowled,2,v Australia,Cape Town,26-Feb-20
45,30,-,23,2,1,130.43,2,caught,1,v England,Cape Town,27-Nov-20
46,30,-,18,3,1,166.66,2,caught,1,v England,Paarl,29-Nov-20
47,17,-,12,1,1,141.66,1,caught,1,v England,Cape Town,01-Dec-20
