,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,26*,30,21,3,1,123.8,5,not out,2,v Zimbabwe,Harare,12-Jun-10
2,DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Harare,13-Jun-10
3,28,28,19,5,0,147.36,1,bowled,1,v South Africa,Durban,09-Jan-11
4,14,15,12,2,0,116.66,3,caught,1,v West Indies,Port of Spain,04-Jun-11
5,4,5,5,0,0,80,4,caught,1,v England,Manchester,31-Aug-11
6,15,21,16,3,0,93.75,3,caught,1,v England,Eden Gardens,29-Oct-11
7,22,30,21,0,1,104.76,3,caught,2,v Australia,Sydney,01-Feb-12
8,31,29,24,3,0,129.16,3,caught,2,v Australia,Melbourne,03-Feb-12
9,DNB,-,-,-,-,-,-,-,2,v South Africa,Johannesburg,30-Mar-12
10,68,65,48,11,1,141.66,3,caught,1,v Sri Lanka,Pallekele,07-Aug-12
11,70,67,41,10,1,170.73,2,caught,2,v New Zealand,Chennai,11-Sep-12
12,50,60,39,4,2,128.2,3,caught,1,v Afghanistan,Colombo (RPS),19-Sep-12
13,40,33,32,6,0,125,3,caught,1,v England,Colombo (RPS),23-Sep-12
14,15,18,13,2,0,115.38,3,caught,1,v Australia,Colombo (RPS),28-Sep-12
15,78*,61,61,8,2,127.86,3,not out,2,v Pakistan,Colombo (RPS),30-Sep-12
16,2,5,6,0,0,33.33,3,caught,1,v South Africa,Colombo (RPS),02-Oct-12
17,21,35,17,2,0,123.52,3,bowled,2,v England,Pune,20-Dec-12
18,38,25,20,7,0,190,3,lbw,1,v England,Wankhede,22-Dec-12
19,9,15,11,1,0,81.81,3,caught,1,v Pakistan,Bengaluru,25-Dec-12
20,27,31,22,3,0,122.72,3,run out,1,v Pakistan,Ahmedabad,28-Dec-12
21,29,26,22,2,1,131.81,4,caught,2,v Australia,Rajkot,10-Oct-13
22,36*,45,32,4,1,112.5,3,not out,2,v Pakistan,Mirpur,21-Mar-14
23,54,51,41,5,1,131.7,3,bowled,2,v West Indies,Mirpur,23-Mar-14
24,57*,66,50,3,1,114,3,not out,2,v Bangladesh,Mirpur,28-Mar-14
25,23,23,22,2,1,104.54,3,caught,1,v Australia,Mirpur,30-Mar-14
26,72*,67,44,5,2,163.63,3,not out,2,v South Africa,Mirpur,04-Apr-14
27,77,75,58,5,4,132.75,3,run out,1,v Sri Lanka,Mirpur,06-Apr-14
28,66,54,41,9,1,160.97,3,caught,2,v England,Birmingham,07-Sep-14
29,43,58,27,1,3,159.25,3,caught,1,v South Africa,Dharamsala,02-Oct-15
30,1,3,1,0,0,100,3,run out,1,v South Africa,Cuttack,05-Oct-15
31,90*,71,55,9,2,163.63,3,not out,1,v Australia,Adelaide,26-Jan-16
32,59*,44,33,7,1,178.78,3,not out,1,v Australia,Melbourne,29-Jan-16
33,50,49,36,2,1,138.88,3,bowled,2,v Australia,Sydney,31-Jan-16
34,7,13,12,1,0,58.33,3,caught,1,v Bangladesh,Mirpur,24-Feb-16
35,49,71,51,7,0,96.07,3,lbw,2,v Pakistan,Mirpur,27-Feb-16
36,56*,85,47,7,0,119.14,3,not out,2,v Sri Lanka,Mirpur,01-Mar-16
37,DNB,-,-,-,-,-,-,-,2,v U.A.E.,Mirpur,03-Mar-16
38,41*,62,28,5,0,146.42,3,not out,2,v Bangladesh,Mirpur,06-Mar-16
39,23,-,27,2,0,85.18,3,caught,2,v New Zealand,Nagpur,15-Mar-16
40,55*,66,37,7,1,148.64,3,not out,2,v Pakistan,Eden Gardens,19-Mar-16
41,24,37,24,0,1,100,3,bowled,1,v Bangladesh,Bengaluru,23-Mar-16
42,82*,78,51,9,2,160.78,3,not out,2,v Australia,Mohali,27-Mar-16
43,89*,63,47,11,1,189.36,3,not out,1,v West Indies,Wankhede,31-Mar-16
44,16,8,9,3,0,177.77,3,caught,2,v West Indies,Lauderhill,27-Aug-16
45,DNB,-,-,-,-,-,-,-,2,v West Indies,Lauderhill,28-Aug-16
46,29,34,26,4,0,111.53,1,caught,1,v England,Kanpur,26-Jan-17
47,21,17,15,2,1,140,1,caught,1,v England,Nagpur,29-Jan-17
48,2,6,4,0,0,50,1,run out,1,v England,Bengaluru,01-Feb-17
49,39,-,22,7,1,177.27,1,caught,1,v West Indies,Kingston,09-Jul-17
50,82,-,54,7,1,151.85,3,caught,2,v Sri Lanka,Colombo (RPS),06-Sep-17
51,22*,19,14,3,0,157.14,3,not out,2,v Australia,Ranchi,07-Oct-17
52,0,2,2,0,0,0,3,caught,1,v Australia,Guwahati,10-Oct-17
53,26*,19,11,0,3,236.36,4,not out,1,v New Zealand,Delhi,01-Nov-17
54,65,59,42,8,1,154.76,4,caught,2,v New Zealand,Rajkot,04-Nov-17
55,13,6,6,1,1,216.66,3,caught,1,v New Zealand,Thiruvananthapuram,07-Nov-17
56,26,26,20,2,1,130,4,lbw,1,v South Africa,Johannesburg,18-Feb-18
57,1,6,5,0,0,20,4,caught,1,v South Africa,Centurion,21-Feb-18
58,0,1,2,0,0,0,6,caught,1,v Ireland,Dublin (Malahide),27-Jun-18
59,9,-,8,1,0,112.5,2,caught,1,v Ireland,Dublin (Malahide),29-Jun-18
60,20*,-,22,0,1,90.9,4,not out,2,v England,Manchester,03-Jul-18
61,47,-,38,1,2,123.68,4,caught,1,v England,Cardiff,06-Jul-18
62,43,-,29,2,2,148.27,4,caught,2,v England,Bristol,08-Jul-18
63,4,-,8,0,0,50,4,caught,2,v Australia,Brisbane,21-Nov-18
64,TDNB,-,-,-,-,-,-,-,-,v Australia,Melbourne,23-Nov-18
65,61*,-,41,4,2,148.78,3,not out,2,v Australia,Sydney,25-Nov-18
66,24,25,17,3,0,141.17,3,caught,1,v Australia,Visakhapatnam,24-Feb-19
67,72*,63,38,2,6,189.47,3,not out,1,v Australia,Bengaluru,27-Feb-19
