,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,4,8,7,0,0,57.14,8,caught,1,v Pakistan,Dubai (DICS),05-Sep-12
2,27,14,20,3,1,135,3,caught,1,v Pakistan,Dubai (DICS),10-Sep-12
3,DNB,-,-,-,-,-,-,-,2,v Ireland,Colombo (RPS),19-Sep-12
4,DNB,-,-,-,-,-,-,-,2,v West Indies,Colombo (RPS),22-Sep-12
5,4*,4,6,0,0,66.66,3,not out,2,v India,Colombo (RPS),28-Sep-12
6,DNB,-,-,-,-,-,-,-,2,v South Africa,Colombo (RPS),30-Sep-12
7,4,6,5,0,0,80,6,caught,2,v Pakistan,Colombo (RPS),02-Oct-12
8,DNB,-,-,-,-,-,-,-,1,v Sri Lanka,Sydney,26-Jan-13
9,8*,7,3,2,0,266.66,5,not out,2,v Sri Lanka,Melbourne,28-Jan-13
10,1,9,3,0,0,33.33,5,bowled,1,v England,Southampton,29-Aug-13
11,27,17,16,2,1,168.75,6,caught,2,v England,Chester-le-Street,31-Aug-13
12,27,12,13,0,4,207.69,5,caught,1,v India,Rajkot,10-Oct-13
13,20,24,13,2,1,153.84,3,caught,1,v England,Hobart,29-Jan-14
14,2,7,5,0,0,40,3,caught,2,v England,Melbourne,31-Jan-14
15,14,7,7,0,2,200,3,caught,1,v England,Sydney,02-Feb-14
16,1,7,3,0,0,33.33,4,caught,2,v South Africa,Durban,12-Mar-14
17,17,20,12,2,0,141.66,4,lbw,2,v South Africa,Centurion,14-Mar-14
18,74,48,33,7,6,224.24,4,caught,2,v Pakistan,Mirpur,23-Mar-14
19,45,28,22,5,3,204.54,4,caught,1,v West Indies,Mirpur,28-Mar-14
20,23,16,12,0,3,191.66,5,bowled,2,v India,Mirpur,30-Mar-14
21,5,6,3,1,0,166.66,4,bowled,2,v Bangladesh,Mirpur,01-Apr-14
22,17,10,10,3,0,170,3,lbw,2,v Pakistan,Dubai (DICS),05-Oct-14
23,0,-,2,0,0,0,4,caught,2,v South Africa,Melbourne,07-Nov-14
24,23,-,15,2,1,153.33,5,caught,2,v South Africa,Sydney,09-Nov-14
25,44,44,32,6,1,137.5,4,caught,2,v England,Cardiff,31-Aug-15
26,1,4,2,0,0,50,4,stumped,2,v India,Melbourne,29-Jan-16
27,3,5,5,0,0,60,4,caught,1,v India,Sydney,31-Jan-16
28,17,16,11,3,0,154.54,5,caught,1,v South Africa,Durban,04-Mar-16
29,75,61,43,7,3,174.41,5,caught,2,v South Africa,Johannesburg,06-Mar-16
30,19*,10,10,2,1,190,5,not out,2,v South Africa,Cape Town,09-Mar-16
31,22,24,23,2,0,95.65,5,caught,2,v New Zealand,Dharamsala,18-Mar-16
32,26,21,15,2,2,173.33,5,stumped,2,v Bangladesh,Bengaluru,21-Mar-16
33,30,24,18,3,1,166.66,5,caught,1,v Pakistan,Mohali,25-Mar-16
34,31,32,28,1,1,110.71,5,bowled,1,v India,Mohali,27-Mar-16
35,145*,-,65,14,9,223.07,1,not out,1,v Sri Lanka,Pallekele,06-Sep-16
36,66,41,29,7,4,227.58,2,bowled,2,v Sri Lanka,Colombo (RPS),09-Sep-16
37,17,24,16,2,0,106.25,3,caught,1,v India,Ranchi,07-Oct-17
38,DNB,-,-,-,-,-,-,-,2,v India,Guwahati,10-Oct-17
39,40*,37,24,5,1,166.66,4,not out,2,v New Zealand,Sydney,03-Feb-18
