,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,20,24,14,0,2,142.85,4,caught,2,v New Zealand,Mount Maunganui,29-Nov-20
2,5*,5,4,1,0,125,3,not out,1,v New Zealand,Mount Maunganui,30-Nov-20
3,40,31,23,2,4,173.91,2,caught,2,v England,Bridgetown,29-Jan-22
4,31,28,19,3,2,163.15,2,caught,1,v England,Bridgetown,30-Jan-22
5,31,36,24,7,0,129.16,2,lbw,1,v India,Eden Gardens,16-Feb-22
6,9,28,10,1,0,90,2,caught,2,v India,Eden Gardens,18-Feb-22
7,6,7,5,1,0,120,1,caught,2,v India,Eden Gardens,20-Feb-22
8,TDNB,-,-,-,-,-,-,-,-,v Bangladesh,Roseau,02-Jul-22
9,17,8,9,2,1,188.88,2,bowled,1,v Bangladesh,Roseau,03-Jul-22
10,55,57,38,2,5,144.73,2,caught,2,v Bangladesh,Providence,07-Jul-22
11,15,9,6,2,1,250,1,caught,2,v India,Tarouba,29-Jul-22
12,8,28,14,1,0,57.14,2,caught,2,v India,Basseterre,01-Aug-22
13,73,79,50,8,4,146,2,caught,1,v India,Basseterre,02-Aug-22
14,14,34,16,2,0,87.5,2,caught,2,v India,Lauderhill,06-Aug-22
15,1,10,4,0,0,25,1,lbw,2,v New Zealand,Kingston,10-Aug-22
16,4,14,9,1,0,44.44,1,caught,2,v New Zealand,Kingston,12-Aug-22
17,39,44,36,5,1,108.33,1,bowled,1,v Australia,Carrara,05-Oct-22
18,6,5,5,0,1,120,1,caught,2,v Australia,Brisbane,07-Oct-22
19,20,12,13,3,1,153.84,1,caught,2,v Scotland,Hobart,17-Oct-22
20,13,17,12,2,0,108.33,1,caught,1,v Zimbabwe,Hobart,19-Oct-22
21,1,12,5,0,0,20,1,caught,1,v Ireland,Hobart,21-Oct-22
22,6,4,2,0,1,300,2,caught,2,v South Africa,Centurion,25-Mar-23
23,51,43,27,5,4,188.88,2,caught,1,v South Africa,Centurion,26-Mar-23
24,17,15,10,1,2,170,2,bowled,1,v South Africa,Johannesburg,28-Mar-23
25,1,18,7,0,0,14.28,2,lbw,1,v India,Tarouba,03-Aug-23
26,15,19,7,2,1,214.28,2,lbw,2,v India,Providence,06-Aug-23
27,25,28,20,3,1,125,2,caught,1,v India,Providence,08-Aug-23
28,17,6,7,2,1,242.85,1,caught,1,v India,Lauderhill,12-Aug-23
29,10,6,5,1,1,200,2,caught,2,v India,Lauderhill,13-Aug-23
30,35,34,21,0,4,166.66,2,caught,2,v England,Bridgetown,12-Dec-23
31,17,27,16,2,1,106.25,2,caught,1,v England,St George's,14-Dec-23
32,0,6,3,0,0,0,2,caught,1,v England,St George's,16-Dec-23
33,12,9,5,1,1,240,2,caught,2,v England,Tarouba,19-Dec-23
34,11,13,7,2,0,157.14,2,bowled,1,v Australia,Perth,13-Feb-24
35,34,52,25,1,3,136,3,caught,1,v South Africa,Kingston,23-May-24
36,32,23,16,2,3,200,3,caught,1,v South Africa,Kingston,25-May-24
37,36*,31,23,0,4,156.52,3,not out,2,v South Africa,Kingston,26-May-24
