,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,5,9,11,0,0,45.45,1,caught,2,v South Africa,Auckland,17-Feb-17
2,DNB,-,-,-,-,-,-,-,1,v India,Rajkot,04-Nov-17
3,11,14,9,2,0,122.22,4,caught,2,v India,Thiruvananthapuram,07-Nov-17
4,56,52,40,4,2,140,3,bowled,1,v West Indies,Nelson,29-Dec-17
5,10,9,5,0,1,200,4,lbw,1,v West Indies,Mount Maunganui,01-Jan-18
6,7*,6,4,0,1,175,6,not out,1,v West Indies,Mount Maunganui,03-Jan-18
7,3,10,11,0,0,27.27,3,bowled,2,v Pakistan,Wellington,22-Jan-18
8,5,11,9,0,0,55.55,5,caught,2,v Pakistan,Auckland,25-Jan-18
9,12,-,15,2,0,80,2,bowled,2,v Pakistan,Abu Dhabi,31-Oct-18
10,5,-,12,0,0,41.66,2,caught,1,v Pakistan,Dubai (DICS),02-Nov-18
11,26,54,24,1,1,108.33,1,bowled,2,v Pakistan,Dubai (DICS),04-Nov-18
12,22,12,7,1,3,314.28,4,bowled,2,v West Indies,Auckland,27-Nov-20
13,108,72,51,10,8,211.76,4,caught,1,v West Indies,Mount Maunganui,29-Nov-20
14,TDNB,-,-,-,-,-,-,-,-,v West Indies,Mount Maunganui,30-Nov-20
15,23,24,18,2,1,127.77,4,caught,2,v Pakistan,Auckland,18-Dec-20
16,DNB,-,-,-,-,-,-,-,2,v Pakistan,Hamilton,20-Dec-20
17,31,35,20,4,0,155,5,caught,1,v Pakistan,Napier,22-Dec-20
18,30,34,20,0,3,150,5,caught,1,v Australia,Christchurch,22-Feb-21
19,8,10,6,0,1,133.33,5,bowled,1,v Australia,Dunedin,25-Feb-21
20,13,17,10,0,1,130,5,caught,2,v Australia,Wellington,03-Mar-21
21,1,6,3,0,0,33.33,5,run out,2,v Australia,Wellington,05-Mar-21
22,34*,18,16,5,2,212.5,4,not out,2,v Australia,Wellington,07-Mar-21
23,24*,17,10,3,1,240,5,not out,1,v Bangladesh,Hamilton,28-Mar-21
24,58*,23,31,5,2,187.09,5,not out,1,v Bangladesh,Napier,30-Mar-21
25,14,13,6,0,2,233.33,3,caught,1,v Bangladesh,Auckland,01-Apr-21
26,13,25,15,1,0,86.66,6,caught,1,v Pakistan,Sharjah,26-Oct-21
27,DNB,-,-,-,-,-,-,-,2,v India,Dubai (DICS),31-Oct-21
28,33,55,37,0,1,89.18,5,caught,1,v Scotland,Dubai (DICS),03-Nov-21
29,39*,41,21,1,3,185.71,5,not out,1,v Namibia,Sharjah,05-Nov-21
30,DNB,-,-,-,-,-,-,-,2,v Afghanistan,Abu Dhabi,07-Nov-21
31,2,11,4,0,0,50,5,caught,2,v England,Abu Dhabi,10-Nov-21
32,18,32,17,1,1,105.88,4,caught,1,v Australia,Dubai (DICS),14-Nov-21
33,0,4,3,0,0,0,4,lbw,1,v India,Jaipur,17-Nov-21
34,34,47,21,1,3,161.9,4,caught,1,v India,Ranchi,19-Nov-21
35,0,7,4,0,0,0,4,bowled,2,v India,Eden Gardens,21-Nov-21
36,69*,87,52,7,1,132.69,4,not out,1,v Ireland,Belfast,18-Jul-22
37,23,25,16,2,1,143.75,4,bowled,1,v Ireland,Belfast,20-Jul-22
38,56*,-,44,1,1,127.27,4,not out,2,v Ireland,Belfast,22-Jul-22
39,23,-,16,1,1,143.75,3,caught,1,v Scotland,Edinburgh,27-Jul-22
40,14,23,14,0,0,100,5,caught,1,v Netherlands,The Hague,04-Aug-22
41,DNB,-,-,-,-,-,-,-,2,v Netherlands,The Hague,05-Aug-22
