,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,33,37,26,0,2,126.92,6,run out,1,v West Indies,North Sound,20-May-10
2,36*,26,24,5,1,150,5,not out,2,v Zimbabwe,Bloemfontein,08-Oct-10
3,25,31,21,1,1,119.04,5,bowled,1,v Zimbabwe,Kimberley,10-Oct-10
4,13*,12,7,3,0,185.71,6,not out,2,v Pakistan,Abu Dhabi,26-Oct-10
5,6*,7,6,1,0,100,6,not out,2,v Pakistan,Abu Dhabi,27-Oct-10
6,10,13,8,0,1,125,6,lbw,2,v India,Durban,09-Jan-11
7,20,30,19,2,0,105.26,5,caught,1,v Australia,Cape Town,13-Oct-11
8,10,17,13,1,0,76.92,6,bowled,2,v Australia,Johannesburg,16-Oct-11
9,DNB,-,-,-,-,-,-,-,2,v New Zealand,Durban,21-Dec-12
10,33,35,18,2,2,183.33,4,caught,1,v New Zealand,East London,23-Dec-12
11,28,27,15,4,0,186.66,5,caught,1,v New Zealand,Gqeberha,26-Dec-12
12,9,17,15,0,0,60,7,caught,2,v Pakistan,Centurion,03-Mar-13
13,25,33,24,0,1,104.16,6,caught,1,v Sri Lanka,Colombo (RPS),02-Aug-13
14,36,25,21,1,2,171.42,6,caught,1,v Sri Lanka,Hambantota,04-Aug-13
15,DNB,-,-,-,-,-,-,-,1,v Sri Lanka,Hambantota,06-Aug-13
16,DNB,-,-,-,-,-,-,-,2,v Pakistan,Dubai (DICS),13-Nov-13
17,4,6,4,0,0,100,5,lbw,1,v Pakistan,Dubai (DICS),15-Nov-13
18,19*,46,11,2,1,172.72,6,not out,1,v Pakistan,Johannesburg,20-Nov-13
19,22*,24,13,1,1,169.23,6,not out,2,v Pakistan,Cape Town,22-Nov-13
20,DNB,-,-,-,-,-,-,-,1,v Australia,Durban,12-Mar-14
21,2,9,7,0,0,28.57,6,caught,1,v Australia,Centurion,14-Mar-14
22,19,33,16,1,0,118.75,5,run out,2,v Sri Lanka,Chattogram,22-Mar-14
23,6,16,6,1,0,100,6,caught,1,v New Zealand,Chattogram,24-Mar-14
24,17,26,18,0,0,94.44,7,bowled,1,v Netherlands,Chattogram,27-Mar-14
25,19,26,15,2,1,126.66,5,caught,1,v England,Chattogram,29-Mar-14
26,23*,18,12,2,1,191.66,6,not out,1,v India,Mirpur,04-Apr-14
27,9*,16,10,1,0,90,5,not out,2,v Australia,Adelaide,05-Nov-14
28,11,-,15,1,0,73.33,6,caught,1,v Australia,Melbourne,07-Nov-14
29,34*,-,26,3,0,130.76,4,not out,1,v Australia,Sydney,09-Nov-14
30,24,30,21,1,0,114.28,5,caught,1,v West Indies,Cape Town,09-Jan-15
31,47,43,26,4,3,180.76,4,run out,1,v West Indies,Johannesburg,11-Jan-15
32,1,9,3,0,0,33.33,5,lbw,1,v Bangladesh,Mirpur,05-Jul-15
33,30*,35,28,2,1,107.14,5,not out,1,v Bangladesh,Mirpur,07-Jul-15
34,2*,7,3,0,0,66.66,5,not out,2,v New Zealand,Durban,14-Aug-15
35,29,43,20,2,1,145,6,caught,2,v New Zealand,Centurion,16-Aug-15
36,DNB,-,-,-,-,-,-,-,2,v India,Dharamsala,02-Oct-15
37,10*,9,8,0,1,125,6,not out,2,v India,Cuttack,05-Oct-15
38,13,12,9,1,1,144.44,6,caught,2,v England,Cape Town,19-Feb-16
39,DNB,-,-,-,-,-,-,-,2,v England,Johannesburg,21-Feb-16
40,53*,51,35,3,3,151.42,6,not out,2,v Australia,Durban,04-Mar-16
41,33,16,18,2,2,183.33,5,caught,1,v Australia,Johannesburg,06-Mar-16
42,30,20,16,2,2,187.5,5,caught,1,v Australia,Cape Town,09-Mar-16
43,28*,20,12,2,2,233.33,6,not out,1,v England,Wankhede,18-Mar-16
44,19,14,8,2,1,237.5,6,caught,1,v Afghanistan,Wankhede,20-Mar-16
45,1,5,4,0,0,25,6,bowled,1,v West Indies,Nagpur,25-Mar-16
46,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Delhi,28-Mar-16
47,40,-,18,3,3,222.22,4,caught,1,v Sri Lanka,Centurion,20-Jan-17
48,11,20,14,1,0,78.57,5,caught,1,v Sri Lanka,Johannesburg,22-Jan-17
49,1,5,4,0,0,25,4,caught,1,v Sri Lanka,Cape Town,25-Jan-17
50,9,14,7,0,1,128.57,4,caught,1,v England,Southampton,21-Jun-17
51,8,11,10,0,0,80,5,caught,1,v England,Taunton,23-Jun-17
52,7,13,6,0,0,116.66,5,caught,2,v England,Cardiff,25-Jun-17
53,9,-,7,0,1,128.57,5,stumped,2,v Pakistan,Lahore,12-Sep-17
54,DNB,-,-,-,-,-,-,-,2,v Pakistan,Lahore,13-Sep-17
55,32,-,29,2,1,110.34,6,caught,2,v Pakistan,Lahore,15-Sep-17
56,25*,35,19,1,0,131.57,5,not out,1,v Bangladesh,Bloemfontein,26-Oct-17
57,101*,53,36,7,9,280.55,5,not out,1,v Bangladesh,Potchefstroom,29-Oct-17
58,9,8,5,0,1,180,4,caught,2,v India,Johannesburg,18-Feb-18
59,5,9,6,0,0,83.33,5,caught,2,v India,Centurion,21-Feb-18
60,24,38,23,2,1,104.34,2,caught,2,v India,Cape Town,24-Feb-18
61,14,-,16,2,0,87.5,6,caught,1,v Sri Lanka,Colombo (RPS),14-Aug-18
62,39,42,34,1,2,114.7,5,caught,1,v Zimbabwe,East London,09-Oct-18
63,19*,15,13,4,0,146.15,6,not out,2,v Zimbabwe,Potchefstroom,12-Oct-18
64,11,-,10,1,0,110,5,caught,1,v Australia,Carrara,17-Nov-18
65,10,24,12,0,0,83.33,5,caught,1,v Pakistan,Cape Town,01-Feb-19
66,65*,51,29,4,5,224.13,4,not out,1,v Pakistan,Johannesburg,03-Feb-19
67,13,18,9,2,0,144.44,5,caught,2,v Pakistan,Centurion,06-Feb-19
68,41,37,23,5,1,178.26,5,run out,2,v Sri Lanka,Cape Town,19-Mar-19
69,9*,22,9,1,0,100,5,not out,1,v Sri Lanka,Centurion,22-Mar-19
70,DNB,-,-,-,-,-,-,-,1,v Sri Lanka,Johannesburg,24-Mar-19
71,18,29,15,0,1,120,5,bowled,1,v India,Mohali,18-Sep-19
72,DNB,-,-,-,-,-,-,-,2,v India,Bengaluru,22-Sep-19
73,16,19,14,1,0,114.28,4,caught,1,v England,East London,12-Feb-20
74,21,22,16,1,2,131.25,3,caught,2,v England,Durban,14-Feb-20
75,35*,54,20,3,2,175,5,not out,1,v England,Centurion,16-Feb-20
76,2,4,2,0,0,100,5,caught,2,v Australia,Johannesburg,21-Feb-20
77,11*,24,13,0,0,84.61,5,not out,1,v Australia,Gqeberha,23-Feb-20
78,15,24,18,0,0,83.33,5,caught,2,v Australia,Cape Town,26-Feb-20
79,6,19,10,0,0,60,4,caught,2,v Pakistan,Lahore,11-Feb-21
80,25*,26,19,2,1,131.57,5,not out,2,v Pakistan,Lahore,13-Feb-21
81,85*,73,45,5,7,188.88,6,not out,1,v Pakistan,Lahore,14-Feb-21
82,9,20,11,0,0,81.81,6,caught,1,v West Indies,St George's,26-Jun-21
83,11,17,10,1,0,110,4,caught,1,v West Indies,St George's,27-Jun-21
84,2,4,2,0,0,100,6,caught,1,v West Indies,St George's,29-Jun-21
85,12,15,9,0,1,133.33,6,caught,2,v West Indies,St George's,01-Jul-21
86,18*,31,16,1,0,112.5,4,not out,1,v West Indies,St George's,03-Jul-21
87,28,38,21,3,0,133.33,6,caught,1,v Ireland,Dublin (Malahide),19-Jul-21
88,75*,63,44,4,5,170.45,6,not out,1,v Ireland,Belfast,22-Jul-21
89,36*,30,17,4,1,211.76,3,not out,1,v Ireland,Belfast,24-Jul-21
90,26,39,15,2,1,173.33,5,caught,1,v Sri Lanka,Colombo (RPS),10-Sep-21
91,16,27,18,0,0,88.88,6,lbw,1,v Australia,Abu Dhabi,23-Oct-21
92,DNB,-,-,-,-,-,-,-,2,v West Indies,Dubai (DICS),26-Oct-21
93,23*,30,13,0,2,176.92,6,not out,2,v Sri Lanka,Sharjah,30-Oct-21
94,5*,3,2,1,0,250,6,not out,2,v Bangladesh,Abu Dhabi,02-Nov-21
