,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,78,60,50,7,3,156,3,caught,2,v Australia,Adelaide,05-Nov-14
2,12,-,8,3,0,150,3,caught,1,v Australia,Melbourne,07-Nov-14
3,4,-,4,0,0,100,3,caught,1,v Australia,Sydney,09-Nov-14
4,51*,68,40,5,0,127.5,4,not out,1,v West Indies,Cape Town,09-Jan-15
5,15,11,9,0,2,166.66,1,caught,1,v West Indies,Johannesburg,11-Jan-15
6,0,4,1,0,0,0,4,caught,1,v West Indies,Durban,14-Jan-15
7,31*,31,21,2,2,147.61,6,not out,1,v Bangladesh,Mirpur,05-Jul-15
8,19*,10,6,1,2,316.66,6,not out,1,v Bangladesh,Mirpur,07-Jul-15
9,38,24,20,4,2,190,4,caught,2,v New Zealand,Durban,14-Aug-15
10,26,29,23,4,0,113.04,4,caught,2,v New Zealand,Centurion,16-Aug-15
11,18,20,18,0,1,100,5,caught,2,v England,Cape Town,19-Feb-16
12,DNB,-,-,-,-,-,-,-,2,v England,Johannesburg,21-Feb-16
13,19,18,14,2,0,135.71,5,caught,2,v Australia,Durban,04-Mar-16
14,16,26,21,1,0,76.19,4,caught,1,v Australia,Cape Town,09-Mar-16
15,0,3,2,0,0,0,4,caught,1,v West Indies,Nagpur,25-Mar-16
16,4,5,4,1,0,100,3,caught,2,v England,Bristol,27-Jul-22
17,96*,80,55,10,5,174.54,3,not out,1,v England,Cardiff,28-Jul-22
18,31,32,18,6,0,172.22,3,bowled,1,v England,Southampton,31-Jul-22
19,0,8,1,0,0,0,3,caught,1,v India,Thiruvananthapuram,28-Sep-22
20,0,3,2,0,0,0,3,caught,2,v India,Guwahati,02-Oct-22
21,100*,80,48,7,8,208.33,3,not out,1,v India,Indore,04-Oct-22
22,DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Hobart,24-Oct-22
23,109,90,56,7,8,194.64,3,caught,1,v Bangladesh,Sydney,27-Oct-22
24,0,4,2,0,0,0,3,lbw,2,v India,Perth,30-Oct-22
25,7,10,6,0,1,116.66,3,caught,2,v Pakistan,Sydney,03-Nov-22
26,25,29,19,2,0,131.57,3,caught,2,v Netherlands,Adelaide,06-Nov-22
27,10,7,7,2,0,142.85,3,caught,1,v West Indies,Centurion,25-Mar-23
28,16,8,4,1,2,400,3,caught,2,v West Indies,Centurion,26-Mar-23
29,42,37,21,4,3,200,3,caught,2,v West Indies,Johannesburg,28-Mar-23
