,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,DNB,-,-,-,-,-,-,-,1,v England,Durban,19-Sep-07
2,50*,52,40,7,2,125,5,not out,1,v South Africa,Durban,20-Sep-07
3,8*,11,5,0,1,160,6,not out,1,v Australia,Durban,22-Sep-07
4,30*,22,16,2,1,187.5,6,not out,1,v Pakistan,Johannesburg,24-Sep-07
5,DNB,-,-,-,-,-,-,-,2,v Australia,Brabourne,20-Oct-07
6,8,15,8,1,0,100,5,bowled,1,v Australia,Melbourne,01-Feb-08
7,4,13,11,0,0,36.36,6,caught,2,v Sri Lanka,Colombo (RPS),10-Feb-09
8,7,9,7,0,1,100,4,caught,1,v New Zealand,Christchurch,25-Feb-09
9,36,34,23,3,2,156.52,2,bowled,1,v Bangladesh,Nottingham,06-Jun-09
10,52*,61,45,4,1,115.55,2,not out,2,v Ireland,Nottingham,10-Jun-09
11,5,6,3,1,0,166.66,2,caught,1,v West Indies,Lord's,12-Jun-09
12,9,7,8,1,0,112.5,2,bowled,2,v England,Lord's,14-Jun-09
13,29,39,28,3,0,103.57,2,caught,2,v South Africa,Nottingham,16-Jun-09
14,3,-,4,0,0,75,5,run out,2,v Sri Lanka,Nagpur,09-Dec-09
15,79*,65,46,4,6,171.73,4,not out,2,v Australia,Bridgetown,07-May-10
16,5,10,8,1,0,62.5,4,caught,2,v West Indies,Bridgetown,09-May-10
17,DNB,-,-,-,-,-,-,-,1,v Sri Lanka,Gros Islet,11-May-10
18,10,22,15,1,0,66.66,4,stumped,2,v Zimbabwe,Harare,12-Jun-10
19,0*,1,0,0,0,-,5,not out,2,v Zimbabwe,Harare,13-Jun-10
20,53,38,34,5,2,155.88,3,caught,1,v South Africa,Durban,09-Jan-11
21,26,33,23,0,2,113.04,6,bowled,1,v West Indies,Port of Spain,04-Jun-11
22,1,7,3,0,0,33.33,5,stumped,1,v England,Manchester,31-Aug-11
23,0,2,1,0,0,0,5,bowled,2,v Australia,Sydney,01-Feb-12
24,DNB,-,-,-,-,-,-,-,2,v Australia,Melbourne,03-Feb-12
25,DNB,-,-,-,-,-,-,-,2,v South Africa,Johannesburg,30-Mar-12
26,DNB,-,-,-,-,-,-,-,1,v Sri Lanka,Pallekele,07-Aug-12
27,4*,2,2,0,0,200,6,not out,2,v New Zealand,Chennai,11-Sep-12
28,1*,2,1,0,0,100,7,not out,1,v Afghanistan,Colombo (RPS),19-Sep-12
29,55*,48,33,5,1,166.66,4,not out,1,v England,Colombo (RPS),23-Sep-12
30,1,5,2,0,0,50,5,bowled,1,v Australia,Colombo (RPS),28-Sep-12
31,DNB,-,-,-,-,-,-,-,2,v Pakistan,Colombo (RPS),30-Sep-12
32,25,48,27,2,0,92.59,4,lbw,1,v South Africa,Colombo (RPS),02-Oct-12
33,24,28,19,1,1,126.31,5,bowled,1,v England,Wankhede,22-Dec-12
34,2,8,2,0,0,100,7,run out,1,v Pakistan,Bengaluru,25-Dec-12
35,4*,1,2,1,0,200,7,not out,1,v Pakistan,Ahmedabad,28-Dec-12
36,8,8,8,0,1,100,1,caught,2,v Australia,Rajkot,10-Oct-13
37,24,41,21,1,2,114.28,1,bowled,2,v Pakistan,Mirpur,21-Mar-14
38,62*,83,55,5,2,112.72,1,not out,2,v West Indies,Mirpur,23-Mar-14
39,56,60,44,5,1,127.27,1,caught,2,v Bangladesh,Mirpur,28-Mar-14
40,5,1,3,1,0,166.66,1,caught,1,v Australia,Mirpur,30-Mar-14
41,24,17,13,4,1,184.61,1,caught,2,v South Africa,Mirpur,04-Apr-14
42,29,41,26,3,0,111.53,1,caught,1,v Sri Lanka,Mirpur,06-Apr-14
43,106,79,66,12,5,160.6,1,caught,1,v South Africa,Dharamsala,02-Oct-15
44,22,40,24,2,0,91.66,1,run out,1,v South Africa,Cuttack,05-Oct-15
45,31,21,20,4,1,155,1,caught,1,v Australia,Adelaide,26-Jan-16
46,60,69,47,5,2,127.65,1,run out,1,v Australia,Melbourne,29-Jan-16
47,52,57,38,5,1,136.84,1,caught,2,v Australia,Sydney,31-Jan-16
48,0,2,2,0,0,0,1,caught,1,v Sri Lanka,Pune,09-Feb-16
49,43,-,36,2,1,119.44,1,caught,1,v Sri Lanka,Ranchi,12-Feb-16
50,13,-,13,1,1,100,1,lbw,2,v Sri Lanka,Visakhapatnam,14-Feb-16
51,83,90,55,7,3,150.9,1,caught,1,v Bangladesh,Mirpur,24-Feb-16
52,0,2,2,0,0,0,1,lbw,2,v Pakistan,Mirpur,27-Feb-16
53,15,15,14,3,0,107.14,2,caught,2,v Sri Lanka,Mirpur,01-Mar-16
54,39,26,28,7,1,139.28,1,caught,2,v U.A.E.,Mirpur,03-Mar-16
55,1,8,5,0,0,20,1,caught,2,v Bangladesh,Mirpur,06-Mar-16
56,5,-,7,0,0,71.42,1,stumped,2,v New Zealand,Nagpur,15-Mar-16
57,10,11,11,2,0,90.9,1,caught,2,v Pakistan,Eden Gardens,19-Mar-16
58,18,29,16,1,1,112.5,1,caught,1,v Bangladesh,Bengaluru,23-Mar-16
59,12,25,17,1,0,70.58,1,bowled,2,v Australia,Mohali,27-Mar-16
60,43,29,31,3,3,138.7,1,lbw,1,v West Indies,Wankhede,31-Mar-16
61,62,54,28,4,4,221.42,1,caught,2,v West Indies,Lauderhill,27-Aug-16
62,10*,9,8,0,1,125,1,not out,2,v West Indies,Lauderhill,28-Aug-16
63,9,-,8,1,0,112.5,1,caught,2,v Sri Lanka,Colombo (RPS),06-Sep-17
64,11,5,7,1,1,157.14,1,bowled,2,v Australia,Ranchi,07-Oct-17
65,8,3,4,2,0,200,1,lbw,1,v Australia,Guwahati,10-Oct-17
66,80,85,55,6,4,145.45,1,caught,1,v New Zealand,Delhi,01-Nov-17
67,5,9,6,1,0,83.33,1,caught,2,v New Zealand,Rajkot,04-Nov-17
68,8,11,9,1,0,88.88,1,caught,1,v New Zealand,Thiruvananthapuram,07-Nov-17
69,17,21,13,2,0,130.76,1,caught,1,v Sri Lanka,Cuttack,20-Dec-17
70,118,61,43,12,10,274.41,1,caught,1,v Sri Lanka,Indore,22-Dec-17
71,27,31,20,4,1,135,1,caught,2,v Sri Lanka,Wankhede,24-Dec-17
72,21,8,9,2,2,233.33,1,caught,1,v South Africa,Johannesburg,18-Feb-18
73,0,5,1,0,0,0,2,lbw,1,v South Africa,Centurion,21-Feb-18
74,11,9,8,2,0,137.5,1,lbw,1,v South Africa,Cape Town,24-Feb-18
75,0,-,4,0,0,0,1,caught,1,v Sri Lanka,Colombo (RPS),06-Mar-18
76,17,-,13,3,0,130.76,1,bowled,2,v Bangladesh,Colombo (RPS),08-Mar-18
77,11,-,7,1,1,157.14,1,caught,2,v Sri Lanka,Colombo (RPS),12-Mar-18
78,89,-,61,5,5,145.9,1,run out,1,v Bangladesh,Colombo (RPS),14-Mar-18
79,56,-,42,4,3,133.33,2,caught,2,v Bangladesh,Colombo (RPS),18-Mar-18
80,97,87,61,8,5,159.01,1,bowled,1,v Ireland,Dublin (Malahide),27-Jun-18
