,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,10*,15,8,1,0,125,6,not out,2,v England,Cardiff,31-Aug-15
2,DNB,-,-,-,-,-,-,-,2,v India,Guwahati,10-Oct-17
3,DNB,-,-,-,-,-,-,-,2,v New Zealand,Sydney,03-Feb-18
4,6,13,11,1,0,54.54,5,caught,2,v England,Hobart,07-Feb-18
5,DNB,-,-,-,-,-,-,-,2,v England,Melbourne,10-Feb-18
6,4,9,5,0,0,80,6,run out,2,v New Zealand,Auckland,16-Feb-18
7,DNB,-,-,-,-,-,-,-,2,v New Zealand,Auckland,21-Feb-18
8,0,-,2,0,0,0,6,caught,2,v England,Birmingham,27-Jun-18
9,DNB,-,-,-,-,-,-,-,2,v Pakistan,Harare,02-Jul-18
10,1*,-,1,0,0,100,4,not out,1,v Zimbabwe,Harare,03-Jul-18
11,16,-,15,2,0,106.66,6,caught,2,v Pakistan,Harare,05-Jul-18
12,12*,-,7,1,0,171.42,6,not out,2,v Zimbabwe,Harare,06-Jul-18
13,12,-,10,0,1,120,4,caught,1,v Pakistan,Harare,08-Jul-18
14,5,-,3,1,0,166.66,5,caught,2,v South Africa,Carrara,17-Nov-18
15,33*,-,19,3,1,173.68,5,not out,1,v India,Brisbane,21-Nov-18
16,4,-,5,1,0,80,5,caught,1,v India,Melbourne,23-Nov-18
17,25*,-,15,3,0,166.66,7,not out,1,v India,Sydney,25-Nov-18
18,1,8,5,0,0,20,2,run out,2,v India,Visakhapatnam,24-Feb-19
19,7,11,11,1,0,63.63,2,bowled,2,v India,Bengaluru,27-Feb-19
20,23*,33,18,0,1,127.77,5,not out,2,v England,Southampton,04-Sep-20
21,35,-,26,2,2,134.61,5,caught,1,v England,Southampton,06-Sep-20
22,26,21,18,5,0,144.44,3,caught,2,v England,Southampton,08-Sep-20
23,16*,-,7,0,1,228.57,6,not out,1,v India,Sydney,06-Dec-20
24,8,25,11,1,0,72.72,6,caught,2,v New Zealand,Christchurch,22-Feb-21
25,78,47,37,7,5,210.81,5,caught,2,v New Zealand,Dunedin,25-Feb-21
26,9*,19,8,1,0,112.5,5,not out,1,v New Zealand,Wellington,03-Mar-21
27,19,14,13,2,1,146.15,5,caught,1,v New Zealand,Wellington,05-Mar-21
28,26,28,26,2,1,100,5,caught,1,v New Zealand,Wellington,07-Mar-21
29,24*,30,16,3,0,150,6,not out,2,v South Africa,Abu Dhabi,23-Oct-21
30,16*,10,7,2,1,228.57,5,not out,2,v Sri Lanka,Dubai (DICS),28-Oct-21
31,0,14,4,0,0,0,5,lbw,1,v England,Dubai (DICS),30-Oct-21
32,DNB,-,-,-,-,-,-,-,2,v Bangladesh,Dubai (DICS),04-Nov-21
33,DNB,-,-,-,-,-,-,-,2,v West Indies,Abu Dhabi,06-Nov-21
34,40*,50,31,2,2,129.03,6,not out,2,v Pakistan,Dubai (DICS),11-Nov-21
35,DNB,-,-,-,-,-,-,-,2,v New Zealand,Dubai (DICS),14-Nov-21
36,30,26,17,2,2,176.47,6,bowled,1,v Sri Lanka,Sydney,11-Feb-22
37,19,26,18,3,0,105.55,6,caught,1,v Sri Lanka,Sydney,13-Feb-22
38,12*,12,8,2,0,150,6,not out,2,v Sri Lanka,Canberra,15-Feb-22
39,8*,9,4,1,0,200,6,not out,2,v Sri Lanka,Melbourne,18-Feb-22
40,17,17,10,1,1,170,5,caught,1,v Sri Lanka,Melbourne,20-Feb-22
41,23,10,9,5,0,255.55,5,bowled,2,v Pakistan,Lahore,05-Apr-22
42,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Colombo (RPS),07-Jun-22
43,9,15,7,0,1,128.57,6,caught,2,v Sri Lanka,Colombo (RPS),08-Jun-22
44,38,29,23,3,1,165.21,6,stumped,1,v Sri Lanka,Pallekele,11-Jun-22
45,35,23,15,2,3,233.33,5,caught,2,v England,Perth,09-Oct-22
46,22,21,13,2,1,169.23,5,caught,2,v England,Canberra,12-Oct-22
47,8*,5,4,0,1,200,5,not out,2,v England,Canberra,14-Oct-22
48,7,16,14,0,0,50,5,caught,2,v New Zealand,Sydney,22-Oct-22
49,59*,22,18,4,6,327.77,5,not out,2,v Sri Lanka,Perth,25-Oct-22
50,35,41,25,3,1,140,5,caught,1,v Ireland,Brisbane,31-Oct-22
51,25,41,21,0,2,119.04,5,caught,1,v Afghanistan,Adelaide,04-Nov-22
52,6,9,9,0,1,66.66,5,caught,1,v South Africa,Durban,30-Aug-23
53,DNB,-,-,-,-,-,-,-,2,v South Africa,Durban,01-Sep-23
54,37*,30,21,2,3,176.19,5,not out,2,v South Africa,Durban,03-Sep-23
55,7*,29,6,0,0,116.66,4,not out,1,v India,Visakhapatnam,23-Nov-23
56,45,49,25,2,4,180,5,caught,2,v India,Thiruvananthapuram,26-Nov-23
57,17,28,21,2,0,80.95,5,caught,2,v India,Guwahati,28-Nov-23
58,9,7,6,0,1,150,5,caught,1,v West Indies,Hobart,09-Feb-24
59,16,32,15,2,0,106.66,5,caught,1,v West Indies,Adelaide,11-Feb-24
