,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,DNB,-,-,-,-,-,-,-,2,v England,Ahmedabad,14-Mar-21
2,57,57,31,6,3,183.87,3,caught,1,v England,Ahmedabad,18-Mar-21
3,32,22,17,3,2,188.23,3,caught,1,v England,Ahmedabad,20-Mar-21
4,50,-,34,5,2,147.05,4,caught,1,v Sri Lanka,Colombo (RPS),25-Jul-21
5,11,18,8,1,1,137.5,4,caught,1,v Pakistan,Dubai (DICS),24-Oct-21
6,DNB,-,-,-,-,-,-,-,1,v Afghanistan,Abu Dhabi,03-Nov-21
7,6*,3,2,0,1,300,4,not out,2,v Scotland,Dubai (DICS),05-Nov-21
8,25*,27,19,4,0,131.57,3,not out,2,v Namibia,Dubai (DICS),08-Nov-21
9,62,56,40,6,3,155,3,bowled,2,v New Zealand,Jaipur,17-Nov-21
10,1,3,2,0,0,50,4,bowled,2,v New Zealand,Ranchi,19-Nov-21
11,0,5,4,0,0,0,3,caught,1,v New Zealand,Eden Gardens,21-Nov-21
12,34*,35,18,5,1,188.88,5,not out,2,v West Indies,Eden Gardens,16-Feb-22
13,8,9,6,1,0,133.33,4,caught,1,v West Indies,Eden Gardens,18-Feb-22
14,65,57,31,1,7,209.67,5,caught,1,v West Indies,Eden Gardens,20-Feb-22
15,0,2,1,0,0,0,3,lbw,2,v Ireland,Dublin (Malahide),26-Jun-22
16,15,6,5,2,1,300,4,caught,1,v Ireland,Dublin (Malahide),28-Jun-22
17,39,37,19,4,2,205.26,4,caught,1,v England,Southampton,07-Jul-22
18,15,24,11,2,0,136.36,4,caught,1,v England,Birmingham,09-Jul-22
19,117,88,55,14,6,212.72,4,caught,2,v England,Nottingham,10-Jul-22
20,24,23,16,3,1,150,2,caught,1,v West Indies,Tarouba,29-Jul-22
21,11,11,6,0,1,183.33,2,caught,1,v West Indies,Basseterre,01-Aug-22
22,76,77,44,8,4,172.72,2,caught,2,v West Indies,Basseterre,02-Aug-22
23,24,30,14,1,2,171.42,2,lbw,1,v West Indies,Lauderhill,06-Aug-22
24,18,31,18,1,0,100,5,bowled,2,v Pakistan,Dubai (DICS),28-Aug-22
25,68*,39,26,6,6,261.53,4,not out,1,v Hong Kong,Dubai (DICS),31-Aug-22
26,13,13,10,2,0,130,4,caught,1,v Pakistan,Dubai (DICS),04-Sep-22
27,34,60,29,1,1,117.24,4,caught,1,v Sri Lanka,Dubai (DICS),06-Sep-22
28,6,3,2,0,1,300,3,bowled,1,v Afghanistan,Dubai (DICS),08-Sep-22
29,46,43,25,2,4,184,4,caught,1,v Australia,Mohali,20-Sep-22
30,0,-,1,0,0,0,4,lbw,2,v Australia,Nagpur,23-Sep-22
31,69,45,36,5,5,191.66,4,caught,2,v Australia,Hyderabad,25-Sep-22
32,50*,52,33,5,3,151.51,4,not out,2,v South Africa,Thiruvananthapuram,28-Sep-22
33,61,39,22,5,5,277.27,4,run out,1,v South Africa,Guwahati,02-Oct-22
34,8,17,6,0,1,133.33,5,caught,2,v South Africa,Indore,04-Oct-22
35,15,11,10,2,0,150,4,caught,2,v Pakistan,Melbourne,23-Oct-22
36,51*,38,25,7,1,204,4,not out,1,v Netherlands,Sydney,27-Oct-22
37,68,68,40,6,3,170,4,caught,1,v South Africa,Perth,30-Oct-22
38,30,18,16,4,0,187.5,4,bowled,1,v Bangladesh,Adelaide,02-Nov-22
39,61*,44,25,6,4,244,4,not out,1,v Zimbabwe,Melbourne,06-Nov-22
40,14,14,10,1,1,140,4,caught,1,v England,Adelaide,10-Nov-22
41,111*,72,51,11,7,217.64,3,not out,1,v New Zealand,Mount Maunganui,20-Nov-22
42,13,25,10,1,1,130,3,caught,2,v New Zealand,Napier,22-Nov-22
43,7,13,10,1,0,70,3,caught,1,v Sri Lanka,Wankhede,03-Jan-23
44,51,73,36,3,3,141.66,4,caught,2,v Sri Lanka,Pune,05-Jan-23
45,112*,67,51,7,9,219.6,4,not out,1,v Sri Lanka,Rajkot,07-Jan-23
46,47,44,34,6,2,138.23,4,caught,2,v New Zealand,Ranchi,27-Jan-23
47,26*,56,31,1,0,83.87,4,not out,2,v New Zealand,Lucknow,29-Jan-23
48,24,21,13,1,2,184.61,4,caught,1,v New Zealand,Ahmedabad,01-Feb-23
49,21,37,21,2,1,100,3,caught,2,v West Indies,Tarouba,03-Aug-23
50,1,4,3,0,0,33.33,3,run out,1,v West Indies,Providence,06-Aug-23
51,83,54,44,10,4,188.63,3,caught,2,v West Indies,Providence,08-Aug-23
52,DNB,-,-,-,-,-,-,-,2,v West Indies,Lauderhill,12-Aug-23
53,61,85,45,4,3,135.55,3,lbw,1,v West Indies,Lauderhill,13-Aug-23
54,80,76,42,9,4,190.47,4,caught,2,v Australia,Visakhapatnam,23-Nov-23
55,19,13,10,0,2,190,4,caught,1,v Australia,Thiruvananthapuram,26-Nov-23
56,39,34,29,5,2,134.48,4,caught,1,v Australia,Guwahati,28-Nov-23
57,1,2,2,0,0,50,4,caught,1,v Australia,Raipur,01-Dec-23
58,5,10,7,0,0,71.42,4,caught,1,v Australia,Bengaluru,03-Dec-23
59,56,55,36,5,3,155.55,4,caught,1,v South Africa,Gqeberha,12-Dec-23
60,100,82,56,7,8,178.57,4,caught,1,v South Africa,Johannesburg,14-Dec-23
