,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,89,64,43,7,6,206.97,2,caught,1,v South Africa,Melbourne,11-Jan-09
2,7,16,12,0,0,58.33,2,bowled,2,v South Africa,Brisbane,13-Jan-09
3,23,19,15,4,0,153.33,1,caught,1,v New Zealand,Sydney,15-Feb-09
4,38,37,29,4,1,131.03,1,caught,1,v South Africa,Johannesburg,27-Mar-09
5,20,21,15,2,1,133.33,2,bowled,2,v South Africa,Centurion,29-Mar-09
6,63,71,53,6,1,118.86,2,caught,1,v West Indies,The Oval,06-Jun-09
7,0,1,3,0,0,0,2,caught,1,v Sri Lanka,Nottingham,08-Jun-09
8,33,-,26,3,0,126.92,2,lbw,1,v England,Manchester,30-Aug-09
9,24,29,14,1,1,171.42,2,caught,1,v Pakistan,Melbourne,05-Feb-10
10,49,33,32,6,2,153.12,2,caught,1,v West Indies,Hobart,21-Feb-10
11,67,33,29,5,7,231.03,2,caught,2,v West Indies,Sydney,23-Feb-10
12,19,11,10,2,1,190,1,bowled,2,v New Zealand,Wellington,26-Feb-10
13,20,10,10,3,1,200,1,caught,2,v New Zealand,Christchurch,28-Feb-10
14,26,21,18,4,1,144.44,1,caught,1,v Pakistan,Gros Islet,02-May-10
15,16,17,11,2,1,145.45,1,caught,1,v Bangladesh,Bridgetown,05-May-10
16,72,54,42,2,7,171.42,2,caught,1,v India,Bridgetown,07-May-10
17,9,24,12,1,0,75,2,caught,1,v Sri Lanka,Bridgetown,09-May-10
18,25,14,12,4,1,208.33,1,caught,2,v West Indies,Gros Islet,11-May-10
19,0,2,2,0,0,0,1,caught,2,v Pakistan,Gros Islet,14-May-10
20,2,11,4,0,0,50,2,run out,1,v England,Bridgetown,16-May-10
21,41,50,31,6,0,132.25,1,bowled,2,v Pakistan,Birmingham,05-Jul-10
22,1,8,3,0,0,33.33,1,lbw,2,v Pakistan,Birmingham,06-Jul-10
23,2,-,8,0,0,25,1,caught,1,v Sri Lanka,Perth,31-Oct-10
24,30,45,28,5,0,107.14,1,caught,1,v England,Adelaide,12-Jan-11
25,30,41,26,3,0,115.38,1,caught,1,v England,Melbourne,14-Jan-11
26,53,62,31,6,2,170.96,2,caught,2,v Sri Lanka,Pallekele,06-Aug-11
27,16,29,18,2,0,88.88,2,caught,2,v Sri Lanka,Pallekele,08-Aug-11
28,0,2,1,0,0,0,2,run out,2,v South Africa,Cape Town,13-Oct-11
29,0,8,9,0,0,0,1,caught,1,v South Africa,Johannesburg,16-Oct-11
30,25,16,14,1,2,178.57,1,caught,1,v India,Sydney,01-Feb-12
31,8,10,8,1,0,100,1,caught,1,v India,Melbourne,03-Feb-12
32,0,-,5,0,0,0,1,bowled,2,v West Indies,Gros Islet,27-Mar-12
