,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
1,4,0,36,1,9,4,2,v Netherlands,Lord's,05-Jun-09
2,4,0,24,0,6,4,2,v Pakistan,The Oval,07-Jun-09
3,4,0,24,1,6,5,2,v South Africa,Nottingham,11-Jun-09
4,1,0,11,1,11,5,2,v West Indies,The Oval,15-Jun-09
5,1,0,25,0,25,5,1,v South Africa,Centurion,15-Nov-09
6,4,0,33,1,8.25,4,2,v New Zealand,Manchester,23-Jun-15
7,3,0,32,0,10.66,4,2,v Australia,Cardiff,31-Aug-15
8,DNB,-,-,-,-,-,2,v Pakistan,Dubai (DICS),26-Nov-15
9,4,0,18,2,4.5,5,2,v Pakistan,Dubai (DICS),27-Nov-15
10,4,0,29,1,7.25,4,2,v Pakistan,Sharjah,30-Nov-15
11,4,0,24,1,6,5,2,v South Africa,Cape Town,19-Feb-16
12,4,0,30,1,7.5,4,2,v South Africa,Johannesburg,21-Feb-16
13,2,0,20,1,10,5,2,v West Indies,Wankhede,16-Mar-16
14,4,0,35,1,8.75,6,1,v South Africa,Wankhede,18-Mar-16
15,3,0,18,2,6,5,2,v Afghanistan,Delhi,23-Mar-16
16,2,0,31,0,15.5,5,2,v Sri Lanka,Delhi,26-Mar-16
17,4,0,33,0,8.25,4,1,v New Zealand,Delhi,30-Mar-16
18,4,0,23,1,5.75,5,2,v West Indies,Eden Gardens,03-Apr-16
19,4,1,25,0,6.25,5,1,v Sri Lanka,Southampton,05-Jul-16
20,4,0,29,1,7.25,6,2,v Pakistan,Manchester,07-Sep-16
21,DNB,-,-,-,-,-,1,v India,Kanpur,26-Jan-17
22,3,0,24,1,8,6,1,v India,Nagpur,29-Jan-17
23,2,0,23,0,11.5,6,1,v India,Bengaluru,01-Feb-17
24,4,0,25,3,6.25,6,1,v West Indies,Chester-le-Street,16-Sep-17
25,4,0,30,1,7.5,5,2,v Australia,Hobart,07-Feb-18
26,4,0,34,0,8.5,4,2,v Australia,Melbourne,10-Feb-18
27,4,0,36,2,9,5,1,v New Zealand,Wellington,13-Feb-18
28,4,0,22,1,5.5,4,2,v New Zealand,Hamilton,18-Feb-18
29,4,0,27,3,6.75,4,2,v Australia,Birmingham,27-Jun-18
30,4,0,25,1,6.25,4,2,v India,Manchester,03-Jul-18
31,4,0,29,1,7.25,5,1,v India,Cardiff,06-Jul-18
32,4,0,32,0,8,6,2,v India,Bristol,08-Jul-18
33,4,0,11,3,2.75,4,2,v Sri Lanka,Colombo (RPS),27-Oct-18
34,4,0,15,1,3.75,4,1,v West Indies,Gros Islet,05-Mar-19
35,3,0,12,2,4,4,2,v West Indies,Basseterre,08-Mar-19
