,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
1,4,0,27,0,6.75,3,1,v West Indies,Karachi,03-Apr-18
2,4,0,37,3,9.25,3,2,v Australia,Harare,05-Jul-18
3,4,0,32,1,8,4,1,v Australia,Harare,08-Jul-18
4,3,0,23,2,7.66,4,2,v Australia,Abu Dhabi,24-Oct-18
5,4,0,35,2,8.75,4,2,v Australia,Dubai (DICS),26-Oct-18
6,3,0,29,0,9.66,6,2,v New Zealand,Abu Dhabi,31-Oct-18
7,4,0,20,3,5,5,1,v New Zealand,Dubai (DICS),02-Nov-18
8,4,0,27,1,6.75,2,1,v South Africa,Johannesburg,03-Feb-19
9,4,0,23,1,5.75,2,2,v South Africa,Centurion,06-Feb-19
10,4,0,35,1,8.75,3,2,v England,Cardiff,05-May-19
11,4,0,23,1,5.75,2,1,v Bangladesh,Lahore,24-Jan-20
12,4,0,22,1,5.5,2,1,v Bangladesh,Lahore,25-Jan-20
13,2,0,10,0,5,2,1,v England,Manchester,28-Aug-20
14,3.1,0,44,0,13.89,2,2,v England,Manchester,30-Aug-20
15,4,0,28,2,7,1,2,v England,Manchester,01-Sep-20
16,4,0,27,2,6.75,1,2,v New Zealand,Auckland,18-Dec-20
17,4,0,38,0,9.5,1,2,v New Zealand,Hamilton,20-Dec-20
18,4,0,43,2,10.75,1,1,v New Zealand,Napier,22-Dec-20
19,4,0,37,0,9.25,3,2,v South Africa,Lahore,11-Feb-21
20,3,1,18,2,6,1,2,v South Africa,Lahore,13-Feb-21
21,4,0,28,0,7,1,1,v South Africa,Lahore,14-Feb-21
22,4,0,45,1,11.25,1,1,v South Africa,Johannesburg,10-Apr-21
23,3,0,30,0,10,1,2,v South Africa,Johannesburg,12-Apr-21
24,4,0,39,1,9.75,1,1,v South Africa,Centurion,14-Apr-21
25,4,0,19,1,4.75,1,1,v South Africa,Centurion,16-Apr-21
26,3.2,0,30,3,9,2,2,v England,Nottingham,16-Jul-21
27,3.5,0,28,1,7.3,2,1,v England,Leeds,18-Jul-21
28,1,0,16,0,16,2,2,v England,Manchester,20-Jul-21
29,2,0,20,0,10,1,1,v West Indies,Bridgetown,28-Jul-21
30,4,0,44,1,11,2,2,v West Indies,Providence,31-Jul-21
31,4,0,31,3,7.75,1,1,v India,Dubai (DICS),24-Oct-21
32,4,1,21,1,5.25,1,1,v New Zealand,Sharjah,26-Oct-21
33,4,0,22,1,5.5,1,1,v Afghanistan,Dubai (DICS),29-Oct-21
34,4,0,36,0,9,1,2,v Namibia,Abu Dhabi,02-Nov-21
35,4,0,24,1,6,1,2,v Scotland,Sharjah,07-Nov-21
36,4,0,35,1,8.75,1,2,v Australia,Dubai (DICS),11-Nov-21
37,4,0,15,2,3.75,1,1,v Bangladesh,Mirpur,20-Nov-21
38,4,0,35,1,8.75,1,2,v West Indies,Karachi,13-Dec-21
39,4,0,26,3,6.5,1,2,v West Indies,Karachi,14-Dec-21
40,4,0,21,2,5.25,1,2,v Australia,Lahore,05-Apr-22
41,4,0,34,0,8.5,1,2,v India,Melbourne,23-Oct-22
42,4,0,29,0,7.25,1,1,v Zimbabwe,Perth,27-Oct-22
43,4,0,19,1,4.75,1,1,v Netherlands,Perth,30-Oct-22
44,3,0,14,3,4.66,1,2,v South Africa,Sydney,03-Nov-22
45,4,0,22,4,5.5,1,1,v Bangladesh,Adelaide,06-Nov-22
46,4,0,24,2,6,1,1,v New Zealand,Sydney,09-Nov-22
47,2.1,0,13,1,6,1,2,v England,Melbourne,13-Nov-22
48,2,0,11,1,5.5,1,2,v New Zealand,Lahore,14-Apr-23
49,4,0,25,0,6.25,1,2,v New Zealand,Lahore,15-Apr-23
50,4,0,33,2,8.25,1,1,v New Zealand,Lahore,17-Apr-23
51,4,0,40,1,10,1,1,v New Zealand,Rawalpindi,20-Apr-23
52,4,0,48,2,12,1,2,v New Zealand,Rawalpindi,24-Apr-23
53,4,0,46,3,11.5,1,1,v New Zealand,Auckland,12-Jan-24
54,4,0,30,0,7.5,1,1,v New Zealand,Hamilton,14-Jan-24
55,4,0,43,1,10.75,1,1,v New Zealand,Dunedin,17-Jan-24
56,4,0,34,3,8.5,1,2,v New Zealand,Christchurch,19-Jan-24
57,3.2,0,20,2,6,1,2,v New Zealand,Christchurch,21-Jan-24
58,0.2,0,0,1,0,1,1,v New Zealand,Rawalpindi,18-Apr-24
59,3.1,0,13,3,4.1,1,1,v New Zealand,Rawalpindi,20-Apr-24
60,3.2,0,37,0,11.1,1,2,v New Zealand,Rawalpindi,21-Apr-24
61,4,0,30,4,7.5,1,2,v New Zealand,Lahore,27-Apr-24
62,4,0,26,1,6.5,1,2,v Ireland,Dublin,10-May-24
63,4,0,49,3,12.25,1,1,v Ireland,Dublin,12-May-24
64,4,0,14,3,3.5,1,1,v Ireland,Dublin,14-May-24
65,4,0,36,3,9,1,1,v England,Birmingham,25-May-24
66,3,0,20,0,6.66,1,2,v England,The Oval,30-May-24
