,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
1,4,0,22,1,5.5,4,1,v Zimbabwe,Harare,12-Jun-10
2,4,0,48,1,12,5,1,v Zimbabwe,Harare,13-Jun-10
3,4,0,33,1,8.25,4,2,v South Africa,Durban,09-Jan-11
4,4,0,30,1,7.5,3,2,v West Indies,Port of Spain,04-Jun-11
5,4,0,37,0,9.25,4,2,v England,Manchester,31-Aug-11
6,4,0,20,0,5,1,2,v England,Eden Gardens,29-Oct-11
7,4,0,34,1,8.5,1,1,v Australia,Sydney,01-Feb-12
8,4,0,23,0,5.75,7,1,v Australia,Melbourne,03-Feb-12
9,4,0,33,1,8.25,4,1,v South Africa,Johannesburg,30-Mar-12
10,4,0,22,1,5.5,6,2,v Sri Lanka,Pallekele,07-Aug-12
11,3,0,34,0,11.33,5,1,v New Zealand,Chennai,11-Sep-12
12,4,0,20,2,5,6,2,v Afghanistan,Colombo (RPS),19-Sep-12
13,3.5,0,32,0,8.34,1,2,v Australia,Colombo (RPS),28-Sep-12
14,4,0,16,2,4,4,1,v Pakistan,Colombo (RPS),30-Sep-12
15,4,0,27,1,6.75,5,2,v South Africa,Colombo (RPS),02-Oct-12
16,4,1,33,1,8.25,2,1,v England,Pune,20-Dec-12
17,4,0,38,0,9.5,3,2,v England,Wankhede,22-Dec-12
18,4,0,28,1,7,4,2,v Pakistan,Ahmedabad,28-Dec-12
19,2,0,41,0,20.5,3,1,v Australia,Rajkot,10-Oct-13
20,4,0,23,0,5.75,1,1,v Pakistan,Mirpur,21-Mar-14
21,4,0,24,1,6,3,1,v West Indies,Mirpur,23-Mar-14
22,4,0,15,2,3.75,2,1,v Bangladesh,Mirpur,28-Mar-14
23,3.2,0,11,4,3.3,3,2,v Australia,Mirpur,30-Mar-14
24,4,0,22,3,5.5,3,1,v South Africa,Mirpur,04-Apr-14
25,3.5,0,29,1,7.56,3,2,v Sri Lanka,Mirpur,06-Apr-14
26,4,0,37,0,9.25,1,1,v England,Birmingham,07-Sep-14
27,4,0,26,1,6.5,5,2,v South Africa,Dharamsala,02-Oct-15
28,4,0,24,3,6,2,2,v South Africa,Cuttack,05-Oct-15
29,4,0,28,2,7,2,2,v Australia,Adelaide,26-Jan-16
30,4,0,27,1,6.75,4,2,v Australia,Melbourne,29-Jan-16
31,4,0,36,1,9,3,1,v Australia,Sydney,31-Jan-16
32,3,0,13,2,4.33,5,2,v Sri Lanka,Pune,09-Feb-16
33,4,0,14,3,3.5,1,2,v Sri Lanka,Ranchi,12-Feb-16
34,4,1,8,4,2,1,1,v Sri Lanka,Visakhapatnam,14-Feb-16
35,4,0,23,1,5.75,4,2,v Bangladesh,Mirpur,24-Feb-16
36,3,0,21,0,7,6,1,v Pakistan,Mirpur,27-Feb-16
37,4,0,26,2,6.5,6,1,v Sri Lanka,Mirpur,01-Mar-16
38,3,0,14,1,4.66,1,1,v Bangladesh,Mirpur,06-Mar-16
39,4,0,32,1,8,1,1,v New Zealand,Nagpur,15-Mar-16
40,3,0,12,0,4,2,1,v Pakistan,Eden Gardens,19-Mar-16
41,4,0,20,2,5,3,2,v Bangladesh,Bengaluru,23-Mar-16
42,2,0,31,1,15.5,3,1,v Australia,Mohali,27-Mar-16
43,2,0,20,0,10,4,2,v West Indies,Wankhede,31-Mar-16
44,4,0,36,0,9,4,1,v West Indies,Lauderhill,27-Aug-16
45,3,0,11,2,3.66,5,1,v West Indies,Lauderhill,28-Aug-16
46,4,0,39,0,9.75,2,2,v West Indies,Kingston,09-Jul-17
47,4,0,14,2,3.5,5,2,v Afghanistan,Abu Dhabi,03-Nov-21
48,4,0,29,1,7.25,3,1,v Scotland,Dubai (DICS),05-Nov-21
49,4,0,20,3,5,3,1,v Namibia,Dubai (DICS),08-Nov-21
50,4,0,23,2,5.75,4,1,v New Zealand,Jaipur,17-Nov-21
51,4,0,19,1,4.75,4,1,v New Zealand,Ranchi,19-Nov-21
52,4,0,22,2,5.5,4,2,v West Indies,Tarouba,29-Jul-22
53,4,0,32,1,8,4,2,v West Indies,Basseterre,01-Aug-22
54,4,0,26,0,6.5,6,1,v West Indies,Basseterre,02-Aug-22
55,4,0,32,1,8,5,2,v Sri Lanka,Dubai (DICS),06-Sep-22
56,4,0,27,1,6.75,5,2,v Afghanistan,Dubai (DICS),08-Sep-22
57,4,1,8,0,2,3,1,v South Africa,Thiruvananthapuram,28-Sep-22
58,4,0,37,0,9.25,3,2,v South Africa,Guwahati,02-Oct-22
59,4,0,35,0,8.75,3,1,v South Africa,Indore,04-Oct-22
60,3,0,23,0,7.66,5,1,v Pakistan,Melbourne,23-Oct-22
61,4,0,21,2,5.25,6,2,v Netherlands,Sydney,27-Oct-22
62,4,0,43,1,10.75,5,2,v South Africa,Perth,30-Oct-22
63,2,0,19,0,9.5,5,2,v Bangladesh,Adelaide,02-Nov-22
64,4,0,22,3,5.5,5,2,v Zimbabwe,Melbourne,06-Nov-22
65,2,0,27,0,13.5,5,2,v England,Adelaide,10-Nov-22
