,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
1,4,0,17,3,4.25,4,2,v Zimbabwe,Harare,17-Jul-15
2,4,0,23,1,5.75,6,1,v Zimbabwe,Harare,19-Jul-15
3,4,0,45,0,11.25,4,2,v South Africa,Dharamsala,02-Oct-15
4,3,0,17,1,5.66,6,2,v South Africa,Cuttack,05-Oct-15
5,4,0,18,1,4.5,4,1,v Zimbabwe,Harare,18-Jun-16
6,4,0,23,0,5.75,3,1,v Zimbabwe,Harare,20-Jun-16
7,4,0,18,1,4.5,4,2,v Zimbabwe,Harare,22-Jun-16
8,4,0,29,0,7.25,4,1,v Sri Lanka,Colombo (RPS),06-Sep-17
9,4,0,20,2,5,5,2,v New Zealand,Delhi,01-Nov-17
10,3,0,39,0,13,5,1,v New Zealand,Rajkot,04-Nov-17
11,1,0,16,0,16,6,2,v South Africa,Cape Town,24-Feb-18
12,3,0,24,0,8,1,2,v England,Ahmedabad,12-Mar-21
13,4,0,31,0,7.75,5,1,v New Zealand,Jaipur,17-Nov-21
14,4,0,26,1,6.5,3,1,v New Zealand,Ranchi,19-Nov-21
15,3,0,9,3,3,3,2,v New Zealand,Eden Gardens,21-Nov-21
16,4,0,40,1,10,6,2,v South Africa,Delhi,09-Jun-22
17,1,0,19,0,19,6,2,v South Africa,Cuttack,12-Jun-22
18,4,0,28,1,7,3,2,v South Africa,Visakhapatnam,14-Jun-22
19,3.5,0,19,1,4.95,6,2,v South Africa,Rajkot,17-Jun-22
20,TDNB,-,-,-,-,-,-,v South Africa,Bengaluru,19-Jun-22
21,1,0,12,0,12,4,1,v Ireland,Dublin (Malahide),26-Jun-22
22,2,0,12,0,6,6,2,v Ireland,Dublin (Malahide),28-Jun-22
23,2,0,23,0,11.5,6,2,v England,Southampton,07-Jul-22
24,4,0,48,2,12,3,2,v West Indies,Lauderhill,06-Aug-22
25,3,1,15,3,5,1,2,v West Indies,Lauderhill,07-Aug-22
26,4,0,24,0,6,4,2,v Afghanistan,Dubai (DICS),08-Sep-22
27,4,0,17,3,4.25,3,2,v Australia,Mohali,20-Sep-22
28,2,0,13,2,6.5,2,1,v Australia,Nagpur,23-Sep-22
29,4,0,33,3,8.25,2,1,v Australia,Hyderabad,25-Sep-22
30,4,0,16,1,4,5,1,v South Africa,Thiruvananthapuram,28-Sep-22
31,4,0,53,1,13.25,4,2,v South Africa,Guwahati,02-Oct-22
32,1,0,13,0,13,6,1,v South Africa,Indore,04-Oct-22
33,1,0,21,0,21,6,1,v Pakistan,Melbourne,23-Oct-22
34,4,0,18,2,4.5,4,2,v Netherlands,Sydney,27-Oct-22
35,1,0,6,0,6,4,2,v Bangladesh,Adelaide,02-Nov-22
36,3.2,0,40,1,12,6,2,v Zimbabwe,Melbourne,06-Nov-22
37,4,0,30,0,7.5,3,2,v England,Adelaide,10-Nov-22
38,3,0,31,0,10.33,6,2,v Sri Lanka,Wankhede,03-Jan-23
39,4,0,24,2,6,4,1,v Sri Lanka,Pune,05-Jan-23
40,3,0,19,1,6.33,4,2,v Sri Lanka,Rajkot,07-Jan-23
41,2,0,22,0,11,3,1,v West Indies,Tarouba,03-Aug-23
42,DNB,-,-,-,-,-,2,v West Indies,Providence,06-Aug-23
43,4,0,24,1,6,3,1,v West Indies,Providence,08-Aug-23
44,4,0,39,1,9.75,1,1,v West Indies,Lauderhill,12-Aug-23
45,1,0,8,0,8,7,2,v West Indies,Lauderhill,13-Aug-23
46,4,0,32,0,8,3,1,v Australia,Visakhapatnam,23-Nov-23
47,4,0,25,1,6.25,4,2,v Australia,Thiruvananthapuram,26-Nov-23
48,4,0,37,1,9.25,5,2,v Australia,Guwahati,28-Nov-23
49,4,0,16,3,4,4,2,v Australia,Raipur,01-Dec-23
50,4,0,14,1,3.5,5,2,v Australia,Bengaluru,03-Dec-23
51,4,0,23,2,5.75,3,1,v Afghanistan,Mohali,11-Jan-24
52,4,0,17,2,4.25,4,1,v Afghanistan,Indore,14-Jan-24
