,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
1,4,0,38,1,9.5,5,1,v Zimbabwe,Harare,18-Jun-16
2,4,1,19,1,4.75,4,1,v Zimbabwe,Harare,20-Jun-16
3,4,0,32,1,8,5,2,v Zimbabwe,Harare,22-Jun-16
4,4,0,27,2,6.75,3,2,v England,Kanpur,26-Jan-17
5,4,0,33,0,8.25,1,2,v England,Nagpur,29-Jan-17
6,4,0,25,6,6.25,2,2,v England,Bengaluru,01-Feb-17
7,4,0,43,3,10.75,3,1,v Sri Lanka,Colombo (RPS),06-Sep-17
8,4,0,23,1,5.75,4,1,v Australia,Ranchi,07-Oct-17
9,3.3,0,29,0,8.28,5,2,v Australia,Guwahati,10-Oct-17
10,4,0,26,2,6.5,2,2,v New Zealand,Delhi,01-Nov-17
11,4,0,36,1,9,4,1,v New Zealand,Rajkot,04-Nov-17
12,2,0,8,0,4,3,2,v New Zealand,Thiruvananthapuram,07-Nov-17
13,4,0,23,4,5.75,3,2,v Sri Lanka,Cuttack,20-Dec-17
14,4,0,52,4,13,5,2,v Sri Lanka,Indore,22-Dec-17
15,4,0,39,1,9.75,5,2,v South Africa,Johannesburg,18-Feb-18
16,4,0,64,0,16,5,2,v South Africa,Centurion,21-Feb-18
17,4,0,37,2,9.25,4,2,v Sri Lanka,Colombo (RPS),06-Mar-18
18,4,0,19,1,4.75,4,1,v Bangladesh,Colombo (RPS),08-Mar-18
19,4,0,34,1,8.5,4,1,v Sri Lanka,Colombo (RPS),12-Mar-18
20,4,0,21,1,5.25,4,2,v Bangladesh,Colombo (RPS),14-Mar-18
21,4,0,18,3,4.5,3,1,v Bangladesh,Colombo (RPS),18-Mar-18
22,4,0,38,3,9.5,4,2,v Ireland,Dublin (Malahide),27-Jun-18
23,4,0,21,3,5.25,4,2,v Ireland,Dublin (Malahide),29-Jun-18
24,4,0,34,0,8.5,3,1,v England,Manchester,03-Jul-18
25,4,0,28,1,7,4,2,v England,Cardiff,06-Jul-18
26,4,0,30,0,7.5,5,1,v England,Bristol,08-Jul-18
27,4,0,28,2,7,5,1,v West Indies,Chennai,11-Nov-18
28,4,0,35,1,8.75,5,1,v New Zealand,Wellington,06-Feb-19
29,4,0,37,0,9.25,5,1,v New Zealand,Auckland,08-Feb-19
30,4,0,28,1,7,2,2,v Australia,Visakhapatnam,24-Feb-19
31,4,0,47,0,11.75,4,2,v Australia,Bengaluru,27-Feb-19
