,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
1,4,0,25,3,6.25,2,1,v South Africa,Cape Town,13-Oct-11
2,4,1,27,2,6.75,2,2,v South Africa,Johannesburg,16-Oct-11
3,3,0,14,1,4.66,3,2,v Pakistan,Dubai (DICS),05-Sep-12
4,4,0,37,1,9.25,1,1,v Pakistan,Dubai (DICS),07-Sep-12
5,4,0,15,3,3.75,3,2,v Pakistan,Dubai (DICS),10-Sep-12
6,4,0,29,0,7.25,3,1,v Ireland,Colombo (RPS),19-Sep-12
7,4,1,41,1,10.25,3,1,v West Indies,Colombo (RPS),22-Sep-12
8,4,0,16,2,4,3,1,v India,Colombo (RPS),28-Sep-12
9,4,0,33,0,8.25,3,1,v South Africa,Colombo (RPS),30-Sep-12
10,4,0,42,1,10.5,4,1,v Pakistan,Colombo (RPS),02-Oct-12
11,4,0,36,2,9,3,1,v West Indies,Colombo (RPS),05-Oct-12
12,4,0,21,1,5.25,2,2,v South Africa,Adelaide,05-Nov-14
13,4,1,11,1,2.75,5,1,v South Africa,Melbourne,07-Nov-14
14,4,0,23,1,5.75,6,1,v South Africa,Sydney,09-Nov-14
15,4,0,25,2,6.25,3,1,v England,Cardiff,31-Aug-15
16,4,0,29,1,7.25,1,2,v Sri Lanka,Melbourne,17-Feb-17
17,3,0,28,1,9.33,2,2,v Sri Lanka,Geelong,19-Feb-17
18,3,0,20,0,6.66,3,2,v Sri Lanka,Adelaide,22-Feb-17
19,4,0,19,1,4.75,5,1,v India,Visakhapatnam,24-Feb-19
20,3,0,40,1,13.33,4,1,v India,Bengaluru,27-Feb-19
21,4,0,27,2,6.75,3,2,v Sri Lanka,Adelaide,27-Oct-19
22,4,0,29,2,7.25,3,1,v Sri Lanka,Brisbane,30-Oct-19
23,4,0,23,2,5.75,3,1,v Sri Lanka,Melbourne,01-Nov-19
24,3,0,15,0,5,4,1,v Pakistan,Sydney,03-Nov-19
25,4,0,19,1,4.75,3,1,v Pakistan,Canberra,05-Nov-19
26,2,0,13,2,6.5,3,2,v South Africa,Johannesburg,21-Feb-20
27,4,0,31,1,7.75,2,1,v South Africa,Gqeberha,23-Feb-20
28,3,0,27,1,9,2,2,v South Africa,Cape Town,26-Feb-20
29,3,0,24,1,8,3,1,v England,Southampton,04-Sep-20
30,3,0,24,0,8,2,2,v England,Southampton,06-Sep-20
31,4,0,17,1,4.25,4,1,v South Africa,Abu Dhabi,23-Oct-21
32,4,0,34,2,8.5,3,1,v Sri Lanka,Dubai (DICS),28-Oct-21
33,1,0,14,0,14,3,2,v England,Dubai (DICS),30-Oct-21
34,3,0,18,0,6,4,1,v Bangladesh,Dubai (DICS),04-Nov-21
35,4,0,37,1,9.25,3,1,v West Indies,Abu Dhabi,06-Nov-21
36,4,0,30,1,7.5,4,1,v Pakistan,Dubai (DICS),11-Nov-21
37,4,0,27,0,6.75,4,1,v New Zealand,Dubai (DICS),14-Nov-21
38,4,0,32,1,8,3,2,v Sri Lanka,Sydney,11-Feb-22
39,4,0,30,1,7.5,2,2,v Sri Lanka,Sydney,13-Feb-22
40,4,0,47,0,11.75,2,1,v India,Mohali,20-Sep-22
41,2,0,23,1,11.5,2,2,v India,Nagpur,23-Sep-22
42,4,0,40,1,10,4,2,v India,Hyderabad,25-Sep-22
43,4,0,22,2,5.5,3,1,v West Indies,Carrara,05-Oct-22
44,4,0,32,2,8,3,2,v West Indies,Brisbane,07-Oct-22
45,4,0,29,1,7.25,2,1,v England,Canberra,12-Oct-22
46,3,0,23,1,7.66,3,1,v England,Canberra,14-Oct-22
47,4,0,46,0,11.5,3,1,v New Zealand,Sydney,22-Oct-22
48,4,0,36,1,9,2,1,v Sri Lanka,Perth,25-Oct-22
49,4,0,28,2,7,2,2,v Ireland,Brisbane,31-Oct-22
50,4,0,22,0,5.5,2,2,v Afghanistan,Adelaide,04-Nov-22
51,4,0,43,1,10.75,4,1,v New Zealand,Wellington,21-Feb-24
52,3,0,19,1,6.33,2,2,v New Zealand,Auckland,23-Feb-24
