,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
1,4,0,36,1,9,2,1,v West Indies,Brisbane,13-Feb-13
2,4,0,43,2,10.75,2,2,v England,Southampton,29-Aug-13
3,4,0,46,0,11.5,3,2,v England,Hobart,29-Jan-14
4,4,0,30,4,7.5,4,1,v England,Melbourne,31-Jan-14
5,4,0,50,0,12.5,1,1,v South Africa,Johannesburg,06-Mar-16
6,4,0,26,1,6.5,1,2,v Pakistan,Mohali,25-Mar-16
7,4,0,38,0,9.5,1,2,v India,Mohali,27-Mar-16
8,4,0,23,1,5.75,2,1,v England,Southampton,08-Sep-20
9,4,0,39,0,9.75,2,1,v India,Canberra,04-Dec-20
10,4,1,12,3,3,2,1,v West Indies,Gros Islet,09-Jul-21
11,4,0,39,1,9.75,2,1,v West Indies,Gros Islet,10-Jul-21
12,3,0,33,0,11,2,2,v West Indies,Gros Islet,12-Jul-21
13,4,0,32,0,8,2,1,v West Indies,Gros Islet,16-Jul-21
14,4,0,24,3,6,2,1,v Bangladesh,Mirpur,03-Aug-21
15,3.4,0,21,1,5.72,2,2,v Bangladesh,Mirpur,04-Aug-21
16,4,0,16,2,4,2,1,v Bangladesh,Mirpur,06-Aug-21
17,4,0,24,2,6,2,1,v Bangladesh,Mirpur,07-Aug-21
18,4,1,19,2,4.75,3,1,v South Africa,Abu Dhabi,23-Oct-21
19,4,0,26,0,6.5,2,1,v Sri Lanka,Dubai (DICS),28-Oct-21
20,2,0,18,0,9,2,2,v England,Dubai (DICS),30-Oct-21
21,2,0,8,2,4,2,1,v Bangladesh,Dubai (DICS),04-Nov-21
22,4,0,39,4,9.75,2,1,v West Indies,Abu Dhabi,06-Nov-21
23,4,0,49,0,12.25,2,1,v Pakistan,Dubai (DICS),11-Nov-21
24,4,0,16,3,4,2,1,v New Zealand,Dubai (DICS),14-Nov-21
25,4,0,12,4,3,2,2,v Sri Lanka,Sydney,11-Feb-22
26,4,0,22,3,5.5,1,2,v Sri Lanka,Sydney,13-Feb-22
27,4,0,31,1,7.75,2,1,v Sri Lanka,Canberra,15-Feb-22
28,4,0,16,4,4,2,1,v Sri Lanka,Colombo (RPS),07-Jun-22
29,4,1,16,0,4,2,1,v Sri Lanka,Colombo (RPS),08-Jun-22
30,4,1,25,2,6.25,2,2,v Sri Lanka,Pallekele,11-Jun-22
31,4,0,39,2,9.75,1,1,v India,Mohali,20-Sep-22
32,1,0,20,0,20,1,2,v India,Nagpur,23-Sep-22
33,4,0,40,1,10,2,2,v India,Hyderabad,25-Sep-22
34,4,0,35,3,8.75,2,1,v West Indies,Carrara,05-Oct-22
35,4,0,19,0,4.75,2,2,v West Indies,Brisbane,07-Oct-22
36,4,0,39,0,9.75,1,1,v England,Canberra,12-Oct-22
37,3,0,36,1,12,2,1,v England,Canberra,14-Oct-22
38,4,0,41,2,10.25,2,1,v New Zealand,Sydney,22-Oct-22
39,4,0,26,1,6.5,1,1,v Sri Lanka,Perth,25-Oct-22
40,3,0,24,0,8,1,2,v Ireland,Brisbane,31-Oct-22
41,4,0,33,2,8.25,1,2,v Afghanistan,Adelaide,04-Nov-22
42,4,0,44,0,11,2,2,v West Indies,Hobart,09-Feb-24
43,4,1,31,2,7.75,2,2,v West Indies,Adelaide,11-Feb-24
44,4,0,36,0,9,2,1,v New Zealand,Wellington,21-Feb-24
45,4,1,12,1,3,1,2,v New Zealand,Auckland,23-Feb-24
