,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
1,3,0,34,2,11.33,1,2,v New Zealand,Wellington,15-Jan-14
2,4,0,20,1,5,2,1,v South Africa,Cape Town,09-Jan-15
3,4,0,40,2,10,3,1,v South Africa,Johannesburg,11-Jan-15
4,2,0,27,0,13.5,1,1,v Sri Lanka,Pallekele,09-Nov-15
5,3.1,0,27,2,8.52,2,2,v Pakistan,Bridgetown,26-Mar-17
6,4,0,32,0,8,2,1,v Pakistan,Port of Spain,30-Mar-17
7,4,0,26,0,6.5,2,1,v Pakistan,Port of Spain,01-Apr-17
8,3,0,24,0,8,2,2,v Pakistan,Port of Spain,02-Apr-17
9,4,0,26,1,6.5,4,2,v England,Gros Islet,05-Mar-19
10,4,0,29,0,7.25,2,1,v England,Basseterre,08-Mar-19
11,3,0,19,1,6.33,3,2,v England,Basseterre,10-Mar-19
12,4,0,29,1,7.25,2,2,v Afghanistan,Lucknow,14-Nov-19
13,4,0,23,2,5.75,1,1,v Afghanistan,Lucknow,16-Nov-19
14,4,0,26,0,6.5,2,1,v Afghanistan,Lucknow,17-Nov-19
15,4,0,46,0,11.5,2,2,v India,Hyderabad,06-Dec-19
16,4,0,42,1,10.5,3,1,v India,Thiruvananthapuram,08-Dec-19
17,4,0,54,0,13.5,2,1,v India,Wankhede,11-Dec-19
18,4,0,19,1,4.75,3,1,v Sri Lanka,Coolidge,03-Mar-21
19,4,0,36,1,9,3,1,v Sri Lanka,Coolidge,05-Mar-21
20,4,0,27,1,6.75,3,1,v Sri Lanka,Coolidge,07-Mar-21
21,3,0,29,1,9.66,2,1,v South Africa,St George's,26-Jun-21
22,3,0,26,1,8.66,3,1,v South Africa,St George's,27-Jun-21
23,3,0,18,0,6,2,1,v South Africa,St George's,29-Jun-21
24,TDNB,-,-,-,-,-,-,v Pakistan,Bridgetown,28-Jul-21
25,4,0,26,4,6.5,2,1,v Pakistan,Providence,31-Jul-21
26,TDNB,-,-,-,-,-,-,v Pakistan,Providence,01-Aug-21
27,TDNB,-,-,-,-,-,-,v Pakistan,Providence,03-Aug-21
28,4,0,22,1,5.5,2,2,v Bangladesh,Sharjah,29-Oct-21
29,4,0,37,0,9.25,2,1,v Sri Lanka,Abu Dhabi,04-Nov-21
30,2,0,26,0,13,3,2,v Australia,Abu Dhabi,06-Nov-21
31,3.4,1,7,4,1.9,2,1,v England,Bridgetown,22-Jan-22
32,4,0,25,2,6.25,2,1,v England,Bridgetown,23-Jan-22
33,4,0,41,1,10.25,2,2,v England,Bridgetown,26-Jan-22
34,4,0,44,3,11,2,1,v England,Bridgetown,29-Jan-22
35,2.5,0,27,5,9.52,2,2,v England,Bridgetown,30-Jan-22
36,4,0,45,0,11.25,3,1,v India,Eden Gardens,18-Feb-22
37,4,0,29,1,7.25,1,1,v India,Eden Gardens,20-Feb-22
38,4,0,50,1,12.5,2,1,v India,Tarouba,29-Jul-22
39,3.4,0,23,2,6.27,5,1,v India,Basseterre,01-Aug-22
40,3,0,30,1,10,4,2,v India,Basseterre,02-Aug-22
41,4,0,33,0,8.25,5,1,v India,Lauderhill,06-Aug-22
42,4,0,38,1,9.5,1,1,v India,Lauderhill,07-Aug-22
43,4,0,42,1,10.5,2,1,v New Zealand,Kingston,10-Aug-22
44,4,0,40,0,10,4,1,v New Zealand,Kingston,12-Aug-22
45,4,0,30,1,7.5,4,2,v Australia,Carrara,05-Oct-22
46,3,0,27,0,9,3,1,v Australia,Brisbane,07-Oct-22
47,3,0,14,2,4.66,5,1,v Scotland,Hobart,17-Oct-22
48,3.2,0,12,3,3.6,5,2,v Zimbabwe,Hobart,19-Oct-22
49,4,0,23,0,5.75,5,2,v Ireland,Hobart,21-Oct-22
50,4,0,48,1,12,3,2,v South Africa,Centurion,26-Mar-23
51,4,0,42,1,10.5,4,2,v South Africa,Johannesburg,28-Mar-23
52,4,1,19,2,4.75,4,2,v India,Tarouba,03-Aug-23
53,4,0,29,0,7.25,4,1,v India,Providence,06-Aug-23
54,4,0,33,0,8.25,3,2,v India,Lauderhill,12-Aug-23
55,4,0,36,2,9,3,1,v India,Lauderhill,13-Aug-23
56,4,0,43,1,10.75,2,1,v England,Bridgetown,12-Dec-23
57,4,0,27,1,6.75,2,2,v England,St George's,14-Dec-23
58,4,0,52,1,13,2,2,v England,St George's,16-Dec-23
59,4,0,55,1,13.75,4,1,v England,Tarouba,19-Dec-23
60,3.3,0,24,2,6.85,4,1,v England,Tarouba,21-Dec-23
61,3,0,37,1,12.33,2,1,v Australia,Hobart,09-Feb-24
62,4,0,42,2,10.5,2,1,v Australia,Adelaide,11-Feb-24
63,4,0,49,0,12.25,2,2,v Australia,Perth,13-Feb-24
