,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
1,2,0,12,2,6,1,2,v Sri Lanka,Centurion,20-Jan-17
2,4,0,19,4,4.75,1,2,v Sri Lanka,Johannesburg,22-Jan-17
3,2,0,13,0,6.5,1,2,v Sri Lanka,Cape Town,25-Jan-17
4,3,0,25,0,8.33,2,2,v Sri Lanka,Colombo (RPS),14-Aug-18
5,3,0,7,1,2.33,1,2,v Zimbabwe,East London,09-Oct-18
6,4,0,36,2,9,1,1,v Zimbabwe,Potchefstroom,12-Oct-18
7,2,0,16,2,8,2,2,v Australia,Carrara,17-Nov-18
8,4,0,30,3,7.5,2,2,v England,East London,12-Feb-20
9,4,0,48,3,12,3,1,v England,Durban,14-Feb-20
10,4,0,55,2,13.75,2,2,v England,Centurion,16-Feb-20
11,3,0,37,1,12.33,2,1,v Australia,Johannesburg,21-Feb-20
12,4,0,41,3,10.25,3,2,v Australia,Gqeberha,23-Feb-20
13,4,0,33,1,8.25,3,1,v Australia,Cape Town,26-Feb-20
14,3.2,0,31,2,9.3,4,2,v England,Cape Town,27-Nov-20
15,4,0,51,2,12.75,4,2,v England,Paarl,29-Nov-20
16,3,0,23,0,7.66,4,2,v England,Cape Town,01-Dec-20
17,3,0,46,0,15.33,4,2,v West Indies,St George's,26-Jun-21
18,4,0,49,1,12.25,2,2,v West Indies,St George's,27-Jun-21
19,3,0,22,1,7.33,4,2,v West Indies,St George's,29-Jun-21
20,4,0,48,0,12,2,1,v West Indies,St George's,01-Jul-21
21,4,0,32,3,8,4,2,v West Indies,St George's,03-Jul-21
22,4,0,18,2,4.5,3,2,v Ireland,Dublin (Malahide),19-Jul-21
23,3.3,0,14,1,4,2,2,v Ireland,Belfast,22-Jul-21
24,3,0,20,2,6.66,2,1,v India,Rajkot,17-Jun-22
25,1.3,0,6,2,4,2,1,v India,Bengaluru,19-Jun-22
26,4,0,39,5,9.75,3,1,v England,Bristol,27-Jul-22
27,2.4,0,11,2,4.12,2,2,v England,Cardiff,28-Jul-22
28,2,0,10,0,5,3,2,v England,Southampton,31-Jul-22
29,4,0,39,1,9.75,2,2,v Ireland,Bristol,03-Aug-22
30,3,0,14,1,4.66,3,2,v Ireland,Bristol,05-Aug-22
31,4,0,49,0,12.25,3,1,v India,Guwahati,02-Oct-22
32,3,0,51,2,17,3,2,v India,Indore,04-Oct-22
33,2,0,20,2,10,3,1,v Zimbabwe,Hobart,24-Oct-22
34,4,0,29,4,7.25,3,1,v India,Perth,30-Oct-22
35,4,0,32,1,8,3,1,v Pakistan,Sydney,03-Nov-22
36,3,0,35,0,11.66,3,1,v Netherlands,Adelaide,06-Nov-22
37,4,0,45,2,11.25,3,1,v West Indies,Johannesburg,28-Mar-23
38,4,0,49,0,12.25,2,1,v Australia,Durban,30-Aug-23
39,2.5,0,41,0,14.47,2,2,v Australia,Durban,01-Sep-23
40,1,0,18,0,18,4,2,v Australia,Durban,03-Sep-23
41,4,0,41,0,10.25,2,1,v West Indies,Kingston,23-May-24
42,4,0,41,2,10.25,1,1,v West Indies,Kingston,25-May-24
