,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
1,3,0,27,0,9,2,1,v Australia,Adelaide,05-Nov-14
2,3,0,25,1,8.33,2,2,v Australia,Melbourne,07-Nov-14
3,4,0,38,0,9.5,2,2,v West Indies,Cape Town,09-Jan-15
4,3,0,28,2,9.33,2,2,v Bangladesh,Mirpur,05-Jul-15
5,4,0,29,2,7.25,2,1,v New Zealand,Durban,14-Aug-15
6,4,0,30,3,7.5,3,1,v New Zealand,Centurion,16-Aug-15
7,4,0,32,0,8,2,1,v India,Dharamsala,02-Oct-15
8,4,0,18,1,4.5,3,1,v India,Cuttack,05-Oct-15
9,4,0,29,1,7.25,2,1,v England,Cape Town,19-Feb-16
10,3.4,0,28,2,7.63,1,1,v England,Johannesburg,21-Feb-16
11,4,0,26,2,6.5,1,1,v Australia,Durban,04-Mar-16
12,4,0,25,2,6.25,1,2,v Australia,Johannesburg,06-Mar-16
13,4,0,38,1,9.5,2,2,v Australia,Cape Town,09-Mar-16
14,4,0,50,2,12.5,1,2,v England,Wankhede,18-Mar-16
15,4,0,37,2,9.25,1,2,v Afghanistan,Wankhede,20-Mar-16
16,3.4,0,38,1,10.36,1,2,v West Indies,Nagpur,25-Mar-16
17,4,0,24,2,6,1,2,v Sri Lanka,Colombo (RPS),14-Aug-18
18,2,0,21,0,10.5,1,2,v Australia,Carrara,17-Nov-18
19,4,0,42,1,10.5,2,1,v Sri Lanka,Cape Town,19-Mar-19
20,3,0,24,0,8,1,2,v India,Mohali,18-Sep-19
21,4,0,39,3,9.75,2,1,v India,Bengaluru,22-Sep-19
22,3,0,45,0,15,3,1,v Australia,Johannesburg,21-Feb-20
23,4,0,27,1,6.75,1,2,v Australia,Gqeberha,23-Feb-20
24,4,0,42,1,10.5,1,1,v Australia,Cape Town,26-Feb-20
25,4,0,32,0,8,2,2,v England,Cape Town,27-Nov-20
26,3.5,0,25,1,6.52,2,2,v England,Paarl,29-Nov-20
27,3,0,32,0,10.66,2,2,v West Indies,St George's,26-Jun-21
28,4,0,37,3,9.25,3,2,v West Indies,St George's,27-Jun-21
29,4,0,41,1,10.25,5,2,v West Indies,St George's,29-Jun-21
30,3,0,36,1,12,4,1,v West Indies,St George's,01-Jul-21
31,4,0,24,2,6,2,2,v West Indies,St George's,03-Jul-21
32,4,0,28,1,7,2,2,v Ireland,Dublin (Malahide),19-Jul-21
33,3,0,21,0,7,3,2,v Sri Lanka,Colombo (RPS),10-Sep-21
34,2,0,29,0,14.5,3,1,v Sri Lanka,Colombo (RPS),12-Sep-21
35,3,0,23,2,7.66,2,1,v Sri Lanka,Colombo (RPS),14-Sep-21
36,4,0,28,1,7,1,2,v Australia,Abu Dhabi,23-Oct-21
37,4,0,27,1,6.75,2,1,v West Indies,Dubai (DICS),26-Oct-21
38,3,0,32,0,10.66,2,1,v Sri Lanka,Sharjah,30-Oct-21
39,4,0,20,3,5,2,1,v Bangladesh,Abu Dhabi,02-Nov-21
40,4,0,48,3,12,3,2,v England,Sharjah,06-Nov-21
41,4,0,35,0,8.75,2,1,v India,Delhi,09-Jun-22
42,4,0,15,1,3.75,1,1,v India,Cuttack,12-Jun-22
43,4,0,31,1,7.75,1,1,v India,Visakhapatnam,14-Jun-22
44,1,0,5,0,5,3,1,v India,Bengaluru,19-Jun-22
45,4,0,30,0,7.5,2,1,v England,Bristol,27-Jul-22
46,3,0,35,1,11.66,1,2,v England,Cardiff,28-Jul-22
47,4,1,16,1,4,1,2,v India,Thiruvananthapuram,28-Sep-22
48,4,0,57,0,14.25,1,1,v India,Guwahati,02-Oct-22
49,4,0,24,1,6,1,2,v India,Indore,04-Oct-22
50,2,0,20,0,10,1,1,v Zimbabwe,Hobart,24-Oct-22
51,3,0,24,1,8,1,2,v Bangladesh,Sydney,27-Oct-22
52,4,0,26,0,6.5,2,1,v India,Perth,30-Oct-22
53,4,0,44,1,11,2,1,v Pakistan,Sydney,03-Nov-22
54,3,0,37,0,12.33,2,1,v Netherlands,Adelaide,06-Nov-22
55,4,0,39,0,9.75,3,1,v West Indies,Centurion,26-Mar-23
56,4,0,50,2,12.5,4,1,v West Indies,Johannesburg,28-Mar-23
