,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
1,4,0,17,1,4.25,2,1,v Pakistan,Dubai (DICS),07-Sep-12
2,3.1,0,11,3,3.47,2,2,v Pakistan,Dubai (DICS),10-Sep-12
3,4,0,20,2,5,2,1,v Ireland,Colombo (RPS),19-Sep-12
4,4,0,35,3,8.75,2,1,v West Indies,Colombo (RPS),22-Sep-12
5,4,0,27,1,6.75,2,1,v India,Colombo (RPS),28-Sep-12
6,4,0,30,0,7.5,2,1,v South Africa,Colombo (RPS),30-Sep-12
7,4,0,20,3,5,2,1,v Pakistan,Colombo (RPS),02-Oct-12
8,4,0,32,1,8,1,1,v West Indies,Colombo (RPS),05-Oct-12
9,4,0,19,1,4.75,2,2,v Sri Lanka,Sydney,26-Jan-13
10,4,0,35,0,8.75,2,1,v Sri Lanka,Melbourne,28-Jan-13
11,4,0,19,1,4.75,3,1,v England,Melbourne,31-Jan-14
12,2.2,0,8,1,3.42,1,2,v England,Sydney,02-Feb-14
13,2,0,24,0,12,1,1,v South Africa,Durban,12-Mar-14
14,4,1,16,2,4,1,1,v South Africa,Centurion,14-Mar-14
15,4,0,35,1,8.75,1,1,v Pakistan,Mirpur,23-Mar-14
16,4,0,50,2,12.5,2,2,v West Indies,Mirpur,28-Mar-14
17,4,0,36,1,9,3,1,v India,Mirpur,30-Mar-14
18,4,0,25,1,6.25,1,1,v Bangladesh,Mirpur,01-Apr-14
19,4,0,17,1,4.25,2,1,v Pakistan,Dubai (DICS),05-Oct-14
20,4,0,32,1,8,1,1,v England,Cardiff,31-Aug-15
21,4,0,26,3,6.5,1,2,v Sri Lanka,Pallekele,06-Sep-16
22,4,0,32,1,8,1,1,v Sri Lanka,Colombo (RPS),09-Sep-16
23,4,0,26,1,6.5,1,2,v India,Sydney,25-Nov-18
24,4,0,18,2,4.5,1,2,v Sri Lanka,Adelaide,27-Oct-19
25,4,0,32,2,8,1,1,v Sri Lanka,Melbourne,01-Nov-19
26,3,0,22,2,7.33,1,1,v Pakistan,Sydney,03-Nov-19
27,4,0,25,0,6.25,1,1,v Pakistan,Canberra,05-Nov-19
28,4,0,29,2,7.25,1,1,v Pakistan,Perth,08-Nov-19
29,3,0,23,1,7.66,1,2,v South Africa,Johannesburg,21-Feb-20
30,4,0,38,0,9.5,1,1,v South Africa,Gqeberha,23-Feb-20
31,2.3,0,23,3,9.2,1,2,v South Africa,Cape Town,26-Feb-20
32,3,0,30,0,10,1,1,v England,Southampton,04-Sep-20
33,4,0,25,1,6.25,1,2,v England,Southampton,06-Sep-20
34,4,0,20,1,5,1,1,v England,Southampton,08-Sep-20
35,4,0,34,2,8.5,1,1,v India,Canberra,04-Dec-20
36,4,0,40,0,10,1,1,v West Indies,Gros Islet,09-Jul-21
37,4,0,49,0,12.25,1,1,v West Indies,Gros Islet,10-Jul-21
38,4,0,15,1,3.75,1,2,v West Indies,Gros Islet,12-Jul-21
39,4,0,37,0,9.25,1,2,v West Indies,Gros Islet,14-Jul-21
40,4,0,33,2,8.25,1,1,v Bangladesh,Mirpur,03-Aug-21
41,3,0,28,1,9.33,1,2,v Bangladesh,Mirpur,04-Aug-21
42,4,0,32,2,8,1,1,v South Africa,Abu Dhabi,23-Oct-21
43,4,0,27,2,6.75,1,1,v Sri Lanka,Dubai (DICS),28-Oct-21
44,3,0,37,0,12.33,1,2,v England,Dubai (DICS),30-Oct-21
45,4,0,21,2,5.25,1,1,v Bangladesh,Dubai (DICS),04-Nov-21
46,4,0,33,1,8.25,1,1,v West Indies,Abu Dhabi,06-Nov-21
47,4,0,38,2,9.5,1,1,v Pakistan,Dubai (DICS),11-Nov-21
48,4,0,60,0,15,1,1,v New Zealand,Dubai (DICS),14-Nov-21
49,4,0,41,0,10.25,1,2,v Sri Lanka,Sydney,11-Feb-22
50,4,0,30,0,7.5,1,1,v Sri Lanka,Canberra,15-Feb-22
51,4,0,26,3,6.5,1,1,v Sri Lanka,Colombo (RPS),07-Jun-22
52,4,0,40,2,10,1,1,v West Indies,Carrara,05-Oct-22
53,4,0,20,4,5,1,2,v West Indies,Brisbane,07-Oct-22
54,4,0,42,1,10.5,4,1,v England,Canberra,12-Oct-22
55,2,0,11,0,5.5,1,1,v England,Canberra,14-Oct-22
56,4,0,36,0,9,1,1,v New Zealand,Sydney,22-Oct-22
57,4,0,23,1,5.75,3,1,v Sri Lanka,Perth,25-Oct-22
58,4,1,43,2,10.75,4,2,v Ireland,Brisbane,31-Oct-22
59,4,0,39,1,9.75,1,1,v New Zealand,Wellington,21-Feb-24
60,2,0,15,0,7.5,1,2,v New Zealand,Auckland,25-Feb-24
