,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
1,4,0,26,0,6.5,6,2,v South Africa,Durban,04-Mar-16
2,4,0,23,0,5.75,5,1,v South Africa,Cape Town,09-Mar-16
3,1,0,3,0,3,5,1,v New Zealand,Dharamsala,18-Mar-16
4,4,0,23,3,5.75,6,1,v Bangladesh,Bengaluru,21-Mar-16
5,4,0,32,2,8,5,2,v Pakistan,Mohali,25-Mar-16
6,2,0,11,0,5.5,6,2,v India,Mohali,27-Mar-16
7,4,0,27,1,6.75,5,2,v Sri Lanka,Pallekele,06-Sep-16
8,4,0,16,3,4,5,1,v Sri Lanka,Colombo (RPS),09-Sep-16
9,4,0,26,2,6.5,5,2,v Sri Lanka,Melbourne,17-Feb-17
10,4,0,25,3,6.25,6,2,v Sri Lanka,Adelaide,22-Feb-17
11,1,0,6,0,6,4,2,v India,Ranchi,07-Oct-17
12,4,0,19,2,4.75,4,1,v India,Guwahati,10-Oct-17
13,3,0,21,1,7,5,1,v New Zealand,Sydney,03-Feb-18
14,4,0,22,0,5.5,4,1,v U.A.E.,Abu Dhabi,22-Oct-18
15,4,0,32,1,8,5,1,v Pakistan,Abu Dhabi,24-Oct-18
16,4,0,21,0,5.25,6,1,v Pakistan,Dubai (DICS),26-Oct-18
17,4,0,25,1,6.25,5,1,v Pakistan,Dubai (DICS),28-Oct-18
18,4,0,22,2,5.5,4,2,v India,Brisbane,21-Nov-18
19,TDNB,-,-,-,-,-,-,v India,Melbourne,23-Nov-18
20,4,1,22,1,5.5,4,2,v India,Sydney,25-Nov-18
21,3,0,22,1,7.33,4,1,v India,Visakhapatnam,24-Feb-19
22,4,0,23,0,5.75,5,1,v India,Bengaluru,27-Feb-19
23,4,0,14,3,3.5,4,2,v Sri Lanka,Adelaide,27-Oct-19
24,4,0,20,2,5,5,1,v Sri Lanka,Brisbane,30-Oct-19
25,4,0,30,0,7.5,5,1,v Sri Lanka,Melbourne,01-Nov-19
26,3,0,30,0,10,3,1,v Pakistan,Sydney,03-Nov-19
27,4,0,31,0,7.75,4,1,v Pakistan,Canberra,05-Nov-19
28,2.3,0,9,2,3.6,4,2,v South Africa,Johannesburg,21-Feb-20
29,4,0,37,1,9.25,4,1,v South Africa,Gqeberha,23-Feb-20
30,3,0,10,2,3.33,5,2,v South Africa,Cape Town,26-Feb-20
31,4,0,47,0,11.75,5,1,v England,Southampton,04-Sep-20
32,3.5,0,42,1,10.95,5,2,v England,Southampton,06-Sep-20
33,4,0,34,2,8.5,5,1,v England,Southampton,08-Sep-20
34,4,0,20,1,5,3,1,v India,Canberra,04-Dec-20
35,4,0,36,1,9,7,2,v India,Sydney,06-Dec-20
36,3,0,21,1,7,6,2,v India,Sydney,08-Dec-20
37,3,0,20,0,6.66,2,1,v New Zealand,Christchurch,22-Feb-21
38,4,0,43,1,10.75,5,1,v New Zealand,Dunedin,25-Feb-21
39,2,0,17,1,8.5,3,2,v New Zealand,Wellington,03-Mar-21
40,4,0,24,2,6,4,2,v New Zealand,Wellington,05-Mar-21
41,2.3,0,43,0,17.2,5,2,v New Zealand,Wellington,07-Mar-21
42,3,0,23,0,7.66,4,1,v West Indies,Gros Islet,09-Jul-21
43,4,0,36,0,9,4,1,v West Indies,Gros Islet,10-Jul-21
44,3,0,34,0,11.33,4,2,v West Indies,Gros Islet,12-Jul-21
45,4,0,20,2,5,5,2,v West Indies,Gros Islet,14-Jul-21
46,4,0,30,2,7.5,3,1,v West Indies,Gros Islet,16-Jul-21
47,4,0,28,1,7,3,1,v Bangladesh,Mirpur,03-Aug-21
48,4,0,24,1,6,4,2,v Bangladesh,Mirpur,04-Aug-21
49,4,0,24,2,6,3,1,v Bangladesh,Mirpur,06-Aug-21
50,4,0,24,1,6,3,1,v Bangladesh,Mirpur,09-Aug-21
51,4,0,21,2,5.25,5,1,v South Africa,Abu Dhabi,23-Oct-21
52,4,0,12,2,3,6,1,v Sri Lanka,Dubai (DICS),28-Oct-21
53,3,0,37,1,12.33,5,2,v England,Dubai (DICS),30-Oct-21
54,4,0,19,5,4.75,5,1,v Bangladesh,Dubai (DICS),04-Nov-21
